n_escalones,uplift_fisico_fusion_kg,uplift_fisico_reduccion_kg,uplift_fisico_total_kg,uplift_J_total_kg,pct_escalones_con_mejora,support_medio_historico,support_medio_recomendado,R_sdi_pred_hist,R_sdi_pred_rec,R_d_sn_dep_pred,R_d_feo_ret_pred,F_d_sn_dep_pred,Batch,es_lockbox,fold,dist_Fusión_tasa_feed_Carbon_kg_min,dir_Fusión_tasa_feed_Carbon_kg_min,dist_Fusión_tasa_gn_nm3_min,dir_Fusión_tasa_gn_nm3_min,dist_Fusión_tasa_o2_nm3_min,dir_Fusión_tasa_o2_nm3_min,dist_Fusión_tasa_aire_nm3_min,dir_Fusión_tasa_aire_nm3_min,dist_Fusión_posicion_vertical_lanza_mm,dir_Fusión_posicion_vertical_lanza_mm,dist_F,dist_Reducción_tasa_feed_Carbon_kg_min,dir_Reducción_tasa_feed_Carbon_kg_min,dist_Reducción_tasa_gn_nm3_min,dir_Reducción_tasa_gn_nm3_min,dist_Reducción_tasa_o2_nm3_min,dir_Reducción_tasa_o2_nm3_min,dist_Reducción_tasa_aire_nm3_min,dir_Reducción_tasa_aire_nm3_min,dist_Reducción_posicion_vertical_lanza_mm,dir_Reducción_posicion_vertical_lanza_mm,dist_R,dist_total,rendimiento_proxy_batch,recuperacion_refinada_pct,recuperacion_real_pct,f_metal,f_dross,f_polvo,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,sn_cargado_batch_kg,temperatura_media_fusion,frac_carga_secundaria_media_fusion,feed_dross_Fe_total_t,fecha_inicio_batch,idx_cronologico,recuperacion_refinada_pct_next,recuperacion_refinada_pct_media2,rendimiento_proxy_batch_next,rendimiento_proxy_batch_media2,recuperacion_real_pct_next,recuperacion_real_pct_media2
10,0.0,11.121515632714505,11.121515632714505,11.12151563271442,10.0,0.22680479000718443,0.2291694351396719,3.4082893181939276,3.4121868125322483,-0.030036399839608263,0.005618194400319397,0.0,AP0001,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15385465121902575,-0.05338472574955205,0.10726658676857492,-0.10726658676857492,0.005791335866434397,0.005791335866434397,0.025198214904433847,0.010209503365532429,0.05028020246603346,0.05028020246603346,0.06847819824490047,0.03423909912245023,79.91765201995008,78.4385053607697,67.62373749669,0.7991765201995008,0.08263694984335675,0.11818652995714247,41.43282990669513,299.99971591319826,49907.386443483614,1199.8433943567873,7.04913158954446e-05,0.008429022004681047,2026-04-21 18:36:00,1,72.14314023686171,75.2908227988157,73.05531072136027,76.48648137065518,67.26438959007012,67.44406354338005
10,0.0,94.4084668046885,94.4084668046885,94.40846680468847,10.0,0.17405075213625812,0.17487352379858515,2.3208201891980886,2.403598450226375,-0.0005088922753599401,0.013789263791994404,0.0,AP0002,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02852443678541023,-0.02852443678541023,0.021845823066302547,-0.021845823066302547,0.014854914965496185,-0.014854914965496185,0.057425828193834336,0.057425828193834336,0.22835336558872385,-0.22835336558872385,0.07020087371995343,0.035100436859976714,73.05531072136027,72.14314023686171,67.26438959007012,0.7305531072136027,0.12935509971758247,0.14009179306881472,41.43282990669513,299.99971591319826,49489.247137855884,1309.4844819802286,3.2638419299333144e-05,0.0025644468226412665,2026-04-22 03:22:00,2,78.14326293566891,75.14320158626532,79.15175258246624,76.10353165191326,74.59717483983012,70.93078221495011
10,0.0,136.44223740378777,136.44223740378777,135.3030019144685,30.0,0.24630294482200013,0.24940884926690393,0.08139503428772105,0.18495252205457768,-0.05609179341670428,0.026432000195953806,0.0,AP0003,False,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16268905504766015,-0.13583753472968754,0.3058034813087449,-0.3058034813087449,0.2098676478821534,0.11217436358172886,0.041009136317339975,-0.006105417974577365,0.19385743826212215,0.029305434890483636,0.1826453517636041,0.09132267588180205,79.15175258246624,78.14326293566891,74.59717483983012,0.7915175258246625,0.07712140760278896,0.13136106657254842,41.432829906695126,299.99971591319826,50071.225995084955,1267.0349252921192,3.2441315410357124e-05,0.034214071363375904,2026-04-22 12:29:00,3,71.85093529025706,74.99709911296299,72.52505027310832,75.83840142778729,71.4049721091537,73.0010734744919
10,0.0,278.74452410627975,278.74452410627975,205.87151694397517,30.0,0.26117280739737325,0.2599174249012311,0.9592152896439838,1.2016730441695818,-0.07811759321137651,0.0530753886981745,0.0,AP0004,False,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13195407430288703,-0.05276335604701161,0.46328475632907834,-0.33402025197710333,0.15518143949643093,0.13091506179705514,0.01925291162637142,0.008897863729481766,0.31528362494137346,-0.10014490514053503,0.21699136133922825,0.10849568066961413,72.52505027310832,71.85093529025706,71.4049721091537,0.7252505027310832,0.12284919932885231,0.1519002979400646,41.43282990669514,299.99971591319826,50407.47014784682,1216.3569351554343,2.62387222673284e-05,0.0022026860074982227,2026-04-22 21:08:00,4,70.15845553393244,71.00469541209475,71.60074551166002,72.06289789238417,66.48723551500777,68.94610381208074
10,26.764140581838475,105.36865756722332,132.13279814906178,114.08589687577556,20.0,0.21288499915146594,0.21286999092300157,3.719969051154212,3.794738447476618,-0.060641006054632296,0.0224189407909004,-0.054103365350290866,AP0005,False,3,0.10816966169913284,-0.10816966169913284,0.03062204570992121,-0.03062204570992121,0.009362886870165713,-0.009362886870165713,0.09216180026917509,-0.09216180026917509,0.08630766853747653,0.08630766853747653,0.06532481261717428,0.2436847673470372,-0.2436847673470372,0.1586168715768431,-0.1586168715768431,0.04834776602840786,-0.04834776602840786,0.10649236532436918,-0.10649236532436918,0.2796183305928581,-0.2796183305928581,0.16735202017390308,0.11633841639553869,71.60074551166002,70.15845553393244,66.48723551500777,0.7160074551166002,0.12240181182456374,0.16159073305883612,41.43282990669513,299.99971591319826,48723.45759162705,1249.450937337607,0.014676235221650857,3.483878779855645e-21,2026-04-23 05:45:00,5,72.57614671931469,71.36730112662357,73.67015516465584,72.63545033815794,66.61048864864914,66.54886208182845
9,8.324591882314095,242.03003483585866,250.35462671817274,214.3427075620346,33.33333333333333,0.27520708712893965,0.2745414059710287,1.4520395308180711,1.6529949549786145,-0.0710055860240153,0.0450266573153243,-0.006642603330914598,AP0006,False,4,0.053267588983103624,-0.053267588983103624,0.1232226211674446,-0.1232226211674446,0.047643420869304565,-0.047643420869304565,0.0033744560062630713,-0.0033744560062630713,0.023132976977587868,-0.023132976977587868,0.05012821280074074,0.1771301181798591,-0.1771301181798591,0.2940106959670457,-0.2940106959670457,0.02803611615232701,-0.02803611615232701,0.08398753158950883,0.08398753158950883,0.4419061062016862,-0.4419061062016862,0.20501411361808536,0.12757116320941306,73.67015516465584,72.57614671931469,66.61048864864914,0.7367015516465584,0.08747735129382754,0.175821097059614,41.43282990669514,299.99971591319826,49795.58125591482,1230.02669141176,1.1348174603105027e-05,0.0010495267869860942,2026-04-23 14:40:00,6,71.86118676988926,72.21866674460198,74.14683229482415,73.90849372974,70.55223508172128,68.58136186518522
8,0.0,118.6041560665778,118.6041560665778,118.60415606657772,12.5,0.18679872045008974,0.18868731236765612,2.0977277627488977,2.200959452521526,-0.008846971054877306,0.0185560696734281,0.0,AP0007,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10511139734454929,-0.10511139734454929,0.04281435136599703,-0.04281435136599703,0.029923439663970212,-0.029923439663970212,0.10534939103469772,0.10534939103469772,0.4246888885991658,-0.4246888885991658,0.14157749360167599,0.07078874680083799,74.14683229482415,71.86118676988926,70.55223508172128,0.7414683229482415,0.08838031171581676,0.1701513653359418,41.43282990669513,299.99971591319826,49049.84223379435,1210.4768121249883,8.27745483211954e-05,0.007755194640619015,2026-04-23 22:38:00,7,58.92715260043539,65.39416968516232,59.56529046993668,66.85606138238042,56.917572411043004,63.734903746382145
4,0.0,173.50794873120077,173.50794873120077,147.88166920767708,100.0,0.3634142763853715,0.36163874383927674,2.6215629442824535,2.7780896571078455,0.037380703323503905,0.0197261605135576,,AP0008,False,0,,,,,,,,,,,,0.24190518018803894,-0.05995779313317519,0.14348654935890734,-0.049395333976391544,0.22224997049779882,0.10841346341149222,0.19965090074362224,-0.16412726305589068,0.33868863909216107,-0.33868863909216107,0.2291962479761057,0.2291962479761057,59.56529046993668,58.92715260043539,56.917572411043004,0.5956529046993667,0.21681947670288612,0.18752761859774708,41.80029722790323,299.99971591319826,45648.046639036,1195.196995634653,,0.0017468299636686964,2026-04-24 07:23:00,8,76.67768621035799,67.80241940539669,77.74576970038642,68.65553008516154,65.78759067589957,61.35258154347129
10,3.1275431479103304,26.849290125496548,29.97683327340688,29.976833273406953,20.0,0.24294857226301722,0.2455478513758972,3.1887532184627396,3.2058353286932944,0.0122513495006282,0.0007997948228355006,0.01311625984652065,AP0009,False,2,0.06261326325697789,-0.06261326325697789,0.018282213319390648,0.018282213319390648,0.07117522470087904,0.07117522470087904,0.04042855429383262,0.04042855429383262,0.03219181140985603,-0.03219181140985603,0.04493821339618725,0.09023056953764336,-0.09023056953764336,0.0370033149355617,-0.0370033149355617,0.017910556538578214,0.017910556538578214,0.05700911471848597,-0.05700911471848597,0.020241186489880773,-0.020241186489880773,0.04447894844403,0.04470858092010862,77.74576970038642,76.67768621035799,65.78759067589957,0.7774576970038642,0.07465371759361254,0.1478885854025233,42.415478561836736,299.99971591319826,49688.51977121447,1245.9461460727223,0.5889689319920993,26.167411716411905,2026-04-24 15:46:00,9,68.16148386572002,72.419585038039,68.50557650116588,73.12567310077614,68.30094269633042,67.044266686115
10,0.0,0.0,0.0,0.0,0.0,0.11954620904961044,0.11954620904961044,2.7753198116358555,2.7753198116358555,0.0,0.0,0.0,AP0010,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.50557650116588,68.16148386572002,68.30094269633042,0.6850557650116589,0.12254939092734289,0.19239484406099827,42.415478561836736,299.99971591319826,47940.42176779384,1227.4300561958028,0.599878308490001,25.135725653255392,2026-04-24 23:48:00,10,64.46025013766302,66.31086700169152,65.4900480917299,66.99781229644789,62.541515006437095,65.42122885138376
