subset,dist,n,kpi_cerca,kpi_medio,kpi_lejos,d_cerca_lejos_pp,proxy_cerca,proxy_lejos,ols_pp_por_sd,ols_p
DEV,dist_total,297,68.8200857586778,67.93829787821464,67.60488907827582,1.2151966804019878,69.89588687191926,68.71704691622053,-0.22867562900047317,0.36864559278999476
DEV,dist_R,297,69.24071252616329,67.60057842121282,67.52198176779216,1.7187307583711373,70.30703014547427,68.62904442292685,0.16660027527813545,0.43855950236202446
DEV,dist_F,297,68.51405380152262,68.74325251213783,67.10596640150781,1.4080874000148071,69.60716819414908,68.12243034988694,-0.6461899591114982,0.022993092593257443
LOCKBOX,dist_total,63,68.72360889160247,69.01188949362681,70.2226728458942,-1.499063954291728,69.72237962360268,71.09828737789667,-0.5555448911794001,0.27997083692591707
LOCKBOX,dist_R,63,68.85183578332718,69.7274927777336,69.3788426700627,-0.5270068867355207,70.10248918497442,70.30501406497316,-0.3422979199510323,0.5067598129599333
LOCKBOX,dist_F,63,69.26563875777667,68.30243361850593,70.39009885484086,-1.124460097064187,70.29426528673343,71.33662505841816,-0.4770319668203107,0.419976057198716
TOTAL,dist_total,360,68.75840461586881,68.03777737981827,68.19619795977336,0.5622066560954551,69.7980382882363,69.27855092996604,-0.05789192442535196,0.7994438911408495
TOTAL,dist_R,360,69.30088933747226,67.32901909584274,68.36247152214543,0.9384178153268294,70.34183166594423,69.44321089918564,0.13686131288780023,0.4920426559253682
TOTAL,dist_F,360,68.71139598272607,68.02158330094598,68.25940067178838,0.45199531093768996,69.7973634283076,69.29971726454245,-0.27448163419184146,0.27248346119023437
