fase,target,columna,forma,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,sd_target_dev,sd_target_lockbox
Fusión,sn_dep,v5_ln_sn_dep,PLM_v5,24,4,1407,313,0.1795328939015537,0.1469084755450294,-0.37976318368328865,0.14762527347326948,0.23793789988959238,0.17591700807229552
Fusión,sn_dep,v5_ln_sn_dep,HGB_estado+palancas_ref,24,4,1407,313,0.157142988886537,0.15051172476821378,-0.50100640955112,0.15350644522149992,0.23793789988959238,0.17591700807229552
Fusión,dT,d_temperatura_horno_celsius,PLM_v5,8,4,1482,314,0.4831550488660167,9.055034538697829,0.059209903661080476,6.925350569022114,17.18533679373835,9.183425574197875
Fusión,dT,d_temperatura_horno_celsius,HGB_estado+palancas_ref,8,4,1482,314,0.4702819609356814,9.222783721835308,0.0043514541956071184,7.2625417099566985,17.18533679373835,9.183425574197875
Reducción,sn_dep,v5_ln_sn_dep,PLM_v5,37,4,1015,242,0.7656281464705066,0.24436240175200716,0.802078997953702,0.22794953758225567,0.6781693340478023,0.7152165295134604
Reducción,sn_dep,v5_ln_sn_dep,HGB_estado+palancas_ref,37,4,1015,242,0.7608268225705039,0.24850032323953988,0.8008437174833103,0.2288090487270784,0.6781693340478023,0.7152165295134604
Reducción,feo_ret,v5_ln_feo_ret,PLM_v5,37,5,1015,242,0.16869395151246358,0.06426269717850894,0.19392129381183698,0.05390610986316793,0.10905280813016531,0.07775480378520355
Reducción,feo_ret,v5_ln_feo_ret,HGB_estado+palancas_ref,37,5,1015,242,0.13308429207364647,0.06593171810549314,0.18573541837646113,0.05439976727629404,0.10905280813016531,0.07775480378520355
Reducción,dT,d_temperatura_horno_celsius,PLM_v5,6,4,1183,252,0.466266076905406,9.223860690454318,0.4646553945266043,6.399750909681872,17.534419817786862,11.29939684249102
Reducción,dT,d_temperatura_horno_celsius,HGB_estado+palancas_ref,6,4,1183,252,0.4614592525438582,9.280239792298257,0.350332088497914,7.004982879534625,17.534419817786862,11.29939684249102
