pendientes_de,kpi,politica_en,n_batches,b_sn_dep_pp_por_unidad,b_sn_lo,b_sn_hi,b_feo_ret_pp_por_unidad,b_feo_lo,b_feo_hi,w_implicito,d_sn_dep_medio,d_feo_ret_medio,uplift_kpi_pp_medio,uplift_kpi_pp_mediana,uplift_ci_lo,uplift_ci_hi,uplift_kg_sn_medio,pct_batches_uplift_pos
DEV,recuperacion_refinada_pct,DEV,299,1.8921638210932645,0.7575003990536665,3.1102150891602514,12.020616991619647,8.44277488783345,17.330962121913327,6.352841576198361,-0.014644802937436663,0.03252775755869805,0.36329334892411214,0.29254924846820135,0.25332630956722896,0.5308401038291046,186.18784132360747,97.9933110367893
DEV,recuperacion_refinada_pct,LOCKBOX,63,1.8921638210932645,0.7575003990536665,3.1102150891602514,12.020616991619647,8.44277488783345,17.330962121913327,6.352841576198361,-0.04198636598287715,0.0328699939196044,0.31567252473244994,0.2707536058811947,0.20828981616534234,0.47752564261538843,161.7821689253806,100.0
DEV,recuperacion_refinada_pct,TOTAL,362,1.8921638210932645,0.7575003990536665,3.1102150891602514,12.020616991619647,8.44277488783345,17.330962121913327,6.352841576198361,-0.01940314125749951,0.0325873180303475,0.3550057469239058,0.2893776165977351,0.2456099792916304,0.5210154841579785,181.94044529850171,98.34254143646409
DEV,rendimiento_proxy_batch,DEV,299,1.2479495674369723,0.013946783445759918,2.5426575378235747,12.401896382517272,8.663973373605248,18.495765969199212,9.937818567450748,-0.014644802937436663,0.03252775755869805,0.38512990330764246,0.3033704913812247,0.26827662369502475,0.5764708725400087,197.37907544516676,97.9933110367893
DEV,rendimiento_proxy_batch,LOCKBOX,63,1.2479495674369723,0.013946783445759918,2.5426575378235747,12.401896382517272,8.663973373605248,18.495765969199212,9.937818567450748,-0.04198636598287715,0.0328699939196044,0.35525339141832446,0.2944345830759601,0.24263603564601777,0.5434560959739477,182.0673631018913,100.0
DEV,rendimiento_proxy_batch,TOTAL,362,1.2479495674369723,0.013946783445759918,2.5426575378235747,12.401896382517272,8.663973373605248,18.495765969199212,9.937818567450748,-0.01940314125749951,0.0325873180303475,0.3799303998572915,0.3033166553535273,0.2628466007890263,0.5697350599425911,194.7143299268619,98.34254143646409
DEV,recuperacion_refinada_pct_media2,DEV,299,1.4995773084214008,0.538455710061728,2.4771936823943923,8.4098655103287,5.066330341593495,13.36163646976401,5.608157354142503,-0.014644802937436663,0.03252775755869805,0.2515930522499453,0.20367377346443874,0.14165974026235817,0.40891663927091454,128.941439278097,97.9933110367893
DEV,recuperacion_refinada_pct_media2,LOCKBOX,63,1.4995773084214008,0.538455710061728,2.4771936823943923,8.4098655103287,5.066330341593495,13.36163646976401,5.608157354142503,-0.04198636598287715,0.0328699939196044,0.21347042649819634,0.17594902580747424,0.09713058418995944,0.37006176718832345,109.40359358032562,100.0
DEV,recuperacion_refinada_pct_media2,TOTAL,362,1.4995773084214008,0.538455710061728,2.4771936823943923,8.4098655103287,5.066330341593495,13.36163646976401,5.608157354142503,-0.01940314125749951,0.0325873180303475,0.2449584516356907,0.19854963836931047,0.13337278531152233,0.4016258053755624,125.54120646329147,98.34254143646409
TOTAL,recuperacion_refinada_pct,DEV,299,2.3234155312911398,1.3145707475927437,3.263588653071786,11.202114957704792,7.924447995624789,16.173676600053234,4.821399705234685,-0.014644802937436663,0.03252775755869805,0.33035371689134807,0.2675337721090764,0.23016990131688678,0.48414753312886455,169.3062799068159,97.65886287625418
