variante,n,variable,coef,se,ci_lo,ci_hi,pvalue,r2
a_crudo_simple,338,FeO_total_R_t,0.30000613391077635,0.10824007725101911,0.08785948081494568,0.512152787006607,0.005576897466266984,0.021813109601088176
a_crudo_controles,338,FeO_total_R_t,0.3220406172979781,0.10966046182700595,0.10711006158901704,0.5369711730069392,0.0033171763108531187,0.11430069390569053
a_crudo_controles,338,sn_cargado_total_t,0.16293183726363775,0.06492989224122625,0.03567158695076761,0.2901920875765079,0.012095350951511092,0.11430069390569053
a_crudo_controles,338,ley_sn_conc_batch_pct,0.1440620637599614,0.08581065517252069,-0.024123729867964877,0.31224785738788763,0.09318390434857034,0.11430069390569053
a_crudo_controles,338,espesor_ladrillo_norm_mm,0.01928702904652702,0.007791367257976087,0.004016229830569292,0.03455782826248475,0.013307370327469837,0.11430069390569053
a_crudo_controles,338,dross_fe_alimentado_total_t,0.032102158176497045,0.02923782665683544,-0.025202929057125553,0.08940724541011964,0.27221905839371463,0.11430069390569053
a_crudo_controles,338,temp_media_R_c,-0.0039345755289204995,0.0023991178381662648,-0.008636760086393972,0.0007676090285529732,0.10100323653374253,0.11430069390569053
b_suavizado_simple,338,FeO_total_R_suav_t,0.421793492509553,0.11210013679776902,0.2020812617239125,0.6415057232951935,0.00016812293315785956,0.03257413336471715
b_suavizado_controles,338,FeO_total_R_suav_t,0.4351802673851388,0.1103063725809571,0.21898374986120636,0.6513767849090712,7.973470900874121e-05,0.12424965553121547
b_suavizado_controles,338,sn_cargado_total_t,0.16853482299768704,0.060897212626330445,0.049178479491201535,0.28789116650417257,0.005648296011878239,0.12424965553121547
b_suavizado_controles,338,ley_sn_conc_batch_pct,0.1357718586289976,0.08276137991274331,-0.026437465310815977,0.2979811825688112,0.10089669274399836,0.12424965553121547
b_suavizado_controles,338,espesor_ladrillo_norm_mm,0.017797467058357476,0.007720908024630187,0.0026647654021360167,0.03293016871457893,0.02116095920951994,0.12424965553121547
b_suavizado_controles,338,dross_fe_alimentado_total_t,0.030599072277661107,0.028397639515665467,-0.02505927841899467,0.08625742297431688,0.2812472699512518,0.12424965553121547
b_suavizado_controles,338,temp_media_R_c,-0.0034012524528369446,0.0023464438925543396,-0.008000197973987423,0.0011976930683135333,0.1471882446590569,0.12424965553121547
c_R01_R23_simple,338,FeO_R01_t,0.3438368710629225,0.11668691153273573,0.11513472699154897,0.572539015134296,0.003212242611704907,0.024035786112278634
c_R01_R23_simple,338,FeO_R23_t,0.1819089597953994,0.17750155793395747,-0.1659877009549071,0.5298056205457059,0.30544330687121524,0.024035786112278634
c_R01_R23_simple,338,FeO_R23_t - FeO_R01_t = 0,-0.1619279112675231,0.1836523379935774,-0.5218798794115118,0.19802405687646563,0.3779342163726631,0.024035786112278634
c_R01_R23_controles,338,FeO_R01_t,0.379516562865043,0.11781448508131073,0.14860441524854245,0.6104287104815436,0.0012760761329301115,0.1179765786974496
c_R01_R23_controles,338,FeO_R23_t,0.17021763218162733,0.17924680331088844,-0.1810996466516489,0.5215349110149036,0.3423017345851216,0.1179765786974496
c_R01_R23_controles,338,sn_cargado_total_t,0.1684295474744075,0.06737427388294207,0.03637839717930347,0.30048069776951153,0.012422524378382852,0.1179765786974496
c_R01_R23_controles,338,ley_sn_conc_batch_pct,0.1390232654330392,0.08718066595980542,-0.0318476999963965,0.3098942308624749,0.11078894277689048,0.1179765786974496
c_R01_R23_controles,338,espesor_ladrillo_norm_mm,0.019703290841549547,0.007862686581479851,0.004292708320122681,0.03511387336297642,0.012213205128021435,0.1179765786974496
c_R01_R23_controles,338,dross_fe_alimentado_total_t,0.03127108386431374,0.02960543418173114,-0.026754500878550344,0.08929666860717782,0.2908487054791371,0.1179765786974496
c_R01_R23_controles,338,temp_media_R_c,-0.0038964896589945334,0.002425884983987196,-0.008651136858245964,0.000858157540256897,0.10822696757018535,0.1179765786974496
c_R01_R23_controles,338,FeO_R23_t - FeO_R01_t = 0,-0.20929893068341565,0.1845469826325131,-0.5710043700986802,0.15240650873184886,0.2567430636981862,0.1179765786974496
d_frac_sn_dross_vs_FeO,338,FeO_total_R_t,0.0038411990546994047,0.0020386014473938096,-0.0001543863610236878,0.007836784470422497,0.05953353635933798,0.010722385688756386
e_rendimiento_vs_FeO,338,FeO_total_R_t,-0.6393991624967209,0.24379362544186037,-1.117225888023215,-0.16157243697022677,0.008723434720934136,0.02029837229679121
