fase,modelo,r2_oof,mae_oof,r2_lockbox,mae_lockbox,n_dev,n_lockbox
Fusión,"XGBoost (actual, sin restriccion)",0.538203872145897,1.882605881262028,0.46520682920145473,2.131711716665204,1773,375
Fusión,XGBoost + monotonico(carbon),0.5318042025392727,1.9025943795685112,0.4467379908241388,2.1691295127791723,1773,375
Fusión,HistGradientBoosting,0.5357071437886429,1.8969546141433258,0.45141439841799413,2.1484470013246924,1773,375
Fusión,HistGB + monotonico(carbon),0.5295966692952038,1.917524128307227,0.44220924252453353,2.1642823495472223,1773,375
Fusión,ElasticNet (lineal),0.5540577580633268,1.86569078475688,0.3869522613807256,2.3529306032169592,1773,375
Reducción,"XGBoost (actual, sin restriccion)",0.9568654632275887,0.6328467338266032,0.9648206891641771,0.6872824498430711,1086,242
Reducción,XGBoost + monotonico(carbon),0.957185337110459,0.6374926156897819,0.9673346534629104,0.6673077629741591,1086,242
Reducción,HistGradientBoosting,0.955932834635918,0.6473853353275759,0.9722275031414463,0.6064292471521405,1086,242
Reducción,HistGB + monotonico(carbon),0.955289975802229,0.6543607517214852,0.9727792373194567,0.5932652380159823,1086,242
Reducción,ElasticNet (lineal),0.9295999330481465,0.7832852137592824,0.9384491192483044,0.815460785187141,1086,242
