Batch,fase,orden_escalon_fase,ley_sn_escoria_pct_prev,sn_inventario_escoria_est_kg_prev,sn_extraido_real_kg,d_ley_sn_real_pts,feo_extraido_real_kg,temperatura_real,pred_sn_kg_historico,pred_sn_kg_recomendado,pred_feo_reducido_kg_historico,pred_feo_reducido_kg_recomendado,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,rec_derivada__exceso_o2_combustion_pct,rec_derivada__oxygen_enrichment_pct,rec_derivada__relacion_C_Sn_carga,rec_derivada__relacion_CaO_carga,rec_derivada__ley_sn_carga_pct,rec_derivada__frac_carga_secundaria
AP0300,Fusión,1,7.7087,351.33637177091913,2985.2156265669432,16.4265,-1265.5982057913525,1017.4705948569814,3500.38873184573,3299.0599718452686,0.0,0.0,1026.1756271528552,1030.859914794422,0.2637687477028965,0.40628742738815943,-3222.880628145314,-2921.5867650469822,301.2938630983317,35.0,35.0,171.58806287977433,171.58806287977433,46.99937891077113,46.99937891077113,57.02610654477714,57.02610654477714,69.3266402633102,69.3266402633102,100.82389486365848,100.82389486365848,42.31676714861834,44.861165328434545,22.427045299388748,37.49048953991554,31.370890192909844,31.370890192909844,49.28568508572049,49.28568508572049,119.78614873976936,119.78614873976936,18.646260694725935,44.02908198056648,0.21287837647292593,0.10063880647358056,39.50794939391207,0.48714089379098496
AP0300,Fusión,2,24.1352,3530.049443072107,4287.597617007821,1.0231999999999992,-1419.4273449189575,1031.2028669224906,4979.778425925948,5018.933868363177,0.0,0.0,1022.9850415017237,1022.838053678481,0.48112989674691825,0.5095245690627099,-2997.737206912344,-2937.992786271021,59.744420641322904,40.0,40.0,171.6481322249746,171.6481322249746,46.98757234899009,46.98757234899009,59.04759610804125,59.04759610804125,73.57425834841844,73.57425834841844,91.75033218373271,91.75033218373271,40.714751849911075,43.72485734145778,38.18617226205221,47.21252499227834,31.422736443413623,31.422736443413623,49.66102571275499,49.66102571275499,119.54199110243056,119.54199110243056,18.966156844587182,44.186472115877464,0.2695265612926781,0.0986999514198732,39.54068556816122,0.47925142439168456
AP0300,Fusión,3,25.1584,6249.186118349548,5670.763427194764,-1.4704000000000015,-1793.3329447378583,1025.5924629240774,5201.185250048216,5126.1528736358105,0.0,0.0,1039.106718397602,1040.3358739589007,0.37744407325643053,0.42729921030153417,-3237.2864204619077,-3129.538904019634,107.74751644227354,45.0,45.0,171.4318745046422,171.4318745046422,47.01585083007812,47.01585083007812,58.41604817708333,58.41604817708333,68.31639227383378,68.31639227383378,96.67908422497734,96.67908422497734,39.150152676347375,45.29340394600123,41.71717122395833,50.39331052679472,31.866102008584104,31.866102008584104,51.085958462938855,51.085958462938855,119.92204843026622,119.92204843026622,19.671977157339835,44.600010267896586,0.2884225612392071,0.10250640661005318,39.54209812880308,0.47981642870166485
AP0300,Fusión,4,23.688,8440.841511522363,7193.62448795837,-2.373899999999999,-2283.4077804088975,1026.178331510656,5969.440246017195,5707.766184072013,0.0,0.0,1022.8931275355068,1024.6339936354561,0.383274478913051,0.4420038081739648,-3362.5967952820183,-3199.8201305569482,162.77666472507008,50.0,50.0,171.5265660105188,171.5265660105188,47.00796887765524,47.00796887765524,58.160406494140595,58.160406494140595,61.71154641544119,61.71154641544119,93.75269480187907,93.75269480187907,39.18221228107129,45.25787789851153,44.62038997076696,51.83158560176294,31.422423556857645,31.422423556857645,50.52693471238765,50.52693471238765,119.68884176974827,119.68884176974827,20.39426454030209,44.450398810109974,0.3027483866659431,0.10472501735648591,39.615843909183674,0.46851303465776817
AP0300,Fusión,5,21.3141,9807.392384457762,5804.408100549752,1.2769000000000013,-2377.040654496631,1026.8515239043306,9024.337072618877,8871.920548400089,0.0,0.0,1025.820766294865,1027.7189748530982,0.4024720317692735,0.4476512830094106,-3780.7084101811697,-3725.172079441856,55.5363307393136,55.0,55.0,171.34261358351938,171.34261358351938,46.97340356735956,46.97340356735956,58.37967899867473,58.37967899867473,68.27450772240049,68.27450772240049,91.97047544206893,91.97047544206893,39.12431110200428,43.92532470054625,53.274930463518416,49.44557817886218,32.10600744998817,32.10600744998817,51.23954457909171,51.23954457909171,120.70286275844381,120.70286275844381,19.272297992307873,44.542324923960585,0.28590740171786444,0.10052926353643019,39.58034553652527,0.47424832830203045
AP0300,Fusión,6,22.591,13514.828970325221,7641.712891242314,-1.3942000000000014,-1820.3935309889348,1017.8071635685875,9670.078687642741,8660.25010628017,0.0,31.97646989414954,1029.8535232263926,1034.3611664903517,0.2633625106540164,0.3528672375505972,-4314.376271595105,-3792.265806251383,522.1104653437224,47.0,47.0,171.60603931583958,171.60603931583958,39.591935019521735,39.591935019521735,57.528110637635955,57.528110637635955,64.90307779876201,64.90307779876201,110.22383064767715,110.22383064767715,33.45759132892584,45.96082986331536,56.270447616312396,49.35836464466181,32.10701983534973,32.10701983534973,51.20817121311999,51.20817121311999,119.65717284499229,119.65717284499229,18.877706342776907,44.676220289941305,0.28377490667356675,0.1035496674455969,39.18750552414971,0.483761170138271
AP0300,Reducción,0,21.1968,14917.731727480874,9416.63293748545,-10.9347,348.4450498534861,989.2195439261479,12349.67139596898,12827.821886436248,1633.6613349664628,1470.5994971477014,1004.6819662004895,1009.09952934942,0.22060468365838523,0.27811900431601955,9781.72003318213,10456.781202264396,675.0611690822661,30.0,28.916635039356365,,,,,,,17.315701307082787,17.315701307082787,41.65549201438194,41.65549201438194,,,62.9648419123824,61.88820521031331,27.554672828956882,28.808536726359787,31.28911656782835,29.71517618781106,121.10991988570602,123.95749792742014,-3.2469936219261073,36.27596843324797,2.911430954012149,0.0,36.046365079244154,1.0
AP0300,Reducción,1,10.2621,6388.1356117717605,5014.510332381722,-7.565300000000001,2514.3171452193546,971.3269080382461,5292.719093933003,5292.719093933003,1175.113262824949,1175.113262824949,976.8075632032968,976.8075632032968,0.11936035922525666,0.11936035922525666,2705.0566931079647,2705.0566931079647,0.0,25.0,25.0,,,,,,,0.007091059865669229,0.007091059865669229,0.036841786333469136,0.036841786333469136,,,32.39840025290465,32.39840025290465,20.380081386990017,20.380081386990017,24.935947889539936,24.935947889539936,125.1510576171875,125.1510576171875,25.656195911575242,34.12531938806225,,,,
AP0300,Reducción,2,2.6968,1374.020459683271,304.8041658946398,-0.6377999999999999,-152.73676434093068,952.8401781003836,303.4925454378166,317.5632647037281,0.0,0.0,965.8216309481602,959.5704573999543,0.06743037442103557,0.4293090109812605,-1980.4118089542037,-1259.7334846936603,720.6783242605434,20.0,25.313620634667053,,,,,,,1.0419830983097304e-25,1.0419830983097304e-25,2.3451857290018502e-22,2.3451857290018502e-22,,,10.781295376732235,31.123214608204457,13.150246344672308,25.48118575320691,16.435739673764477,27.978568237111194,124.0097675238715,102.2272556095906,-2.9749000026378227,37.975484086903016,,,,
AP0300,Reducción,3,2.059,1069.2162961274207,77.02753823943218,-0.17610000000000015,317.0236853497663,953.2547334986461,194.55835621690616,283.60280097106,329.8487032134494,537.624252764925,953.671282916367,956.5050398536818,0.28417156843450614,0.42955136914470976,-1741.9556904926808,-1429.5966803676315,312.3590101250493,13.0,13.0,,,,,,,1.0419830987949414e-25,1.0419830987949414e-25,3.369192531880002e-22,3.369192531880002e-22,,,5.774434502718522,10.525353490720889,17.33236644280408,20.097400900819906,13.126493536385931,20.33346637876275,120.50164135928132,79.01895144740722,-8.128801418267585,37.16814043451631,,,,
