,media,std,frac_positiva
interaccion_Sn_x_FeO_prev,0.15522879616434593,0.042157968723907,1.0
ley_sn_escoria_pct_prev,0.10915915226109119,0.06952976530071349,1.0
log_ratio_sn_sio2_prev,0.044577949468786106,0.04077397835743182,0.8
interaccion_C_x_Sn_prev,0.01391421450324971,0.017238491800726344,0.76
posicion_vertical_lanza_mm_prev,0.011622295251246417,0.014863678206285045,0.8
interaccion_lanza_x_gn,0.00871573044158118,0.012238433818225291,0.8
log_ratio_sn_feo_prev,0.006368411342283287,0.007649694863800357,0.76
interaccion_C_x_exceso_o2,0.005498506530070287,0.003986298976964657,0.92
tiro_horno_pct_prev,0.0054060701063419515,0.0076414142585559215,0.64
ratio_sn_sio2_prev,0.004430234144267647,0.00806923920294728,0.68
posicion_vertical_lanza_mm,0.004049157468615298,0.00503289761479835,0.8
cum_feed_Carbon_kg_prev,0.004042529631827227,0.003919391468085331,0.8
cum_aire_nm3_prev,0.002219470384483396,0.0044845788402219765,0.64
ley_cao_escoria_pct_prev,0.0021613036431725042,0.0037899673528196585,0.6
interaccion_C_x_FeO_prev,0.0019989437161512897,0.008998253656843147,0.44
cum_feed_dross_Fe_kg_prev,0.0017606869170388995,0.003463641496711,0.68
relacion_C_cum_Sn_cum_prev,0.0013985203581858196,0.002175667422723507,0.68
temperatura_gas_pre_bhf_celsius_prev,0.0012603682205741473,0.0046813217996440615,0.6
tasa_feed_dross_Fe_kg_min,0.0011921750459068115,0.0064633825603054714,0.56
margen_presion_gn,0.0010044061502483676,0.001878209777315171,0.64
feed_Fe_kgh,0.000922214159569899,0.0016815876183283777,0.76
exceso_o2_combustion_pct,0.0008071095100277248,0.00430215279119239,0.56
volumen_o2_inyectado_lanza_escalon_nm3,0.0007862012243873212,0.002437198545029026,0.52
carga_termica_relativa,0.0007709400098937741,0.0030226948682132468,0.6
relacion_C_carga,0.0006207451010060066,0.002173658088377595,0.6
indice_estructural_molar_prev,0.0005647523416454642,0.000927949447887104,0.8
exceso_C_estequiometrico_pct,0.0005255428742557016,0.003398212615170154,0.52
temperatura_horno_celsius_prev,0.0005029251970975024,0.0012663977015737499,0.6
tasa_feed_Carbon_kg_min,0.0004477566032825936,0.003766176579178409,0.52
basicidad_B2_prev,0.0004272796406164209,0.00137390488681295,0.68
tasa_aire_nm3_min,0.0004270477102362741,0.0021598358813395683,0.56
presion_punta_lanza_kpa_prev,0.0003526582388854188,0.008401642594489283,0.64
tasa_gn_nm3_min,0.00033093321748283724,0.003920007540140179,0.44
basicidad_B4_prev,0.0003226640298077832,0.001220115969940488,0.68
ley_sio2_escoria_pct_prev,0.00029517863849161277,0.005835802097399308,0.48
tasa_feed_Fe_kg_min,0.00013144559351263961,0.000544604679333073,0.68
indice_severidad_reductora,2.5746388215627804e-05,0.0023008580699613057,0.56
presion_suministro_gn_lanza_kpa,2.3145999395112747e-05,0.0033290885421048853,0.68
ratio_sn_feo_prev,1.914118974268908e-05,0.0025958827386605965,0.56
tasa_feed_Sn_kg_min,-6.611925709946731e-06,0.0005145452242105332,0.4
orden_escalon_fase,-9.244935939405896e-06,7.972976749367702e-05,0.16
interaccion_C_x_temp_prev,-5.606038026035598e-05,0.0020216755286726635,0.6
interaccion_FeO_x_B2_prev,-0.00010484655264894671,0.0008102543226611303,0.44
interaccion_B2_x_temp_prev,-0.00011431459333817951,0.0007811444412967349,0.36
carbon_sobre_inventario_sn_prev,-0.00013174241872077497,0.009696617758387071,0.64
volumen_gas_natural_inyectado_lanza_escalon_nm3,-0.00018550638639136364,0.0007273059636886083,0.32
delta_tiempo,-0.00020215879841923857,0.00040260697001652805,0.04
total_process_gas_nm3_min,-0.00020986958668196053,0.0011007358454556513,0.52
d_presion_suministro_o2_lanza_kpa,-0.0002932197521531027,0.0011696628637266426,0.36
o2_disponible_nm3,-0.0003028438963043761,0.002463681495878664,0.48
tasa_o2_nm3_min,-0.0003772960547653848,0.0013622669715598705,0.44
tasa_feed_total_kg_min,-0.00040650369952370703,0.0007972039844710876,0.2
ratio_feo_sio2_prev,-0.00046433680682392395,0.0011225949259859344,0.36
oxidante_sobre_carga_total,-0.0005066234008423271,0.0019558682024852347,0.56
ley_feo_escoria_pct_prev,-0.0005538373580572431,0.0009741705613591728,0.36
cum_feed_CaO_kg_prev,-0.0005798196529743266,0.0018411117409417178,0.32
grad_presion_suministro_o2_lanza_kpa,-0.0005854707839980828,0.0017954857250623629,0.24
feed_total_kgh,-0.0006481042410745785,0.0019028650055669487,0.4
o2_teorico_combustion_nm3,-0.0006890608836491824,0.0023027318408750334,0.4
presion_suministro_o2_lanza_kpa,-0.0007045012041416283,0.002073339249541214,0.44
oxygen_enrichment_pct,-0.0007122081728505492,0.0018718978813877759,0.44
feed_Sn_kgf,-0.000761468164924623,0.002188872932776567,0.36
cum_feed_Sn_kg_prev,-0.0007776974379334978,0.0018248401300265688,0.4
cum_o2_nm3_prev,-0.0009042909741312344,0.005444143243744599,0.52
grad_presion_suministro_gn_lanza_kpa,-0.0009544080385160236,0.002397476698587767,0.28
feed_dross_Fe_kgh,-0.0009726792097941023,0.004104384794411412,0.52
feed_Carbon_kgh,-0.0009951126159143187,0.0024039946316967487,0.28
cum_feed_Fe_kg_prev,-0.0010169214803540016,0.0011922973056724424,0.12
d_presion_suministro_gn_lanza_kpa,-0.0010447737093371807,0.0018783970567828778,0.36
lanza_pos_x_gas_total,-0.0011796330628866252,0.003355174390374451,0.56
grad_posicion_vertical_lanza_mm,-0.001296705714696863,0.002358473908882997,0.28
volumen_aire_inyectado_lanza_escalon_nm3,-0.0013452196099595708,0.0036615646940312725,0.4
ley_fe_total_escoria_pct_prev,-0.001555236635065732,0.0018817637495484468,0.16
grad_temperatura_horno_celsius_prev,-0.00169012522248709,0.005742366434910715,0.6
d_posicion_vertical_lanza_mm,-0.0017332151136309514,0.004194955634489562,0.4
tasa_feed_CaO_kg_min,-0.0018810218866011598,0.002745778403517294,0.28
cum_gn_nm3_prev,-0.0018854376875086093,0.0020806999342229244,0.16
feed_CaO_kgh,-0.002465342314947187,0.00331780492781924,0.24
