item,valor,p_valor,n_pares,r2_oof
autocorr_resid_OOF_sn_kg_Fusion,-0.019801761191264925,0.45180427538683215,1446,0.7239634216472339
autocorr_resid_OOF_sn_kg_Reduccion,-0.03606307095969251,0.31571235280448245,776,0.970392645054269
autocorr_resid_OOF_feo_kg_Reduccion,-0.13833574268274745,0.0001140974876328533,773,0.27456246079454405
autocorr_target_sn_extraido_kg_Reduccion,0.4142132384542964,8.3816565991123e-41,953,
autocorr_target_feo_extraido_kg_Reduccion,-0.3130294085686952,4.136593749527234e-23,953,
R2_OOF_baseline_solo_inventario_prev_Reduccion,0.9707747040207797,,1076,0.9707747040207797
R2_OOF_regla_fisica_trivial_Reduccion,0.9710499527174108,,1076,0.9710499527174108
R2_OOF_modelo_curado_v3_Reduccion,0.970392645054269,,1076,0.970392645054269
R2_extra_aportado_por_palancas_quimicas_Reduccion,-0.0006573076631417596,,1076,
