,perm_media,perm_frac_pos,boruta_frac,score
indice_estructural_molar_prev,0.0004764580104176093,0.5333333333333333,0.0,0.4067796610169492
presion_punta_lanza_kpa_prev,0.0004422853763979168,0.6,0.0,0.40254237288135597
d_presion_suministro_o2_lanza_kpa,0.00041866168937008865,0.5333333333333333,0.0,0.39830508474576276
indice_irf_prev,0.0004076601324723095,0.6666666666666666,0.0,0.39406779661016955
frac_Fe_carga,0.0003966352975516729,0.5333333333333333,0.0,0.38983050847457623
frac_dross_carga,-0.00034627682547473264,0.3333333333333333,0.05,0.3855932203389831
tasa_feed_CaO_kg_min,0.00038109966010634445,0.6,0.0,0.385593220338983
ley_sn_Fe_batch_pct,0.00036390914663569056,0.7333333333333333,0.0,0.3813559322033898
tasa_feed_conc_kg_min,-0.0011557574866564316,0.26666666666666666,0.35,0.37923728813559326
tasa_o2_nm3_min,0.0003541993484606993,0.6666666666666666,0.0,0.3771186440677966
exceso_C_estequiometrico_pct,-0.00038778388415732466,0.6,0.05,0.364406779661017
ley_sn_pellets_batch_pct,0.00018464632576546466,0.5333333333333333,0.0,0.36016949152542377
interaccion_C_x_FeO_prev,0.0001826530225773467,0.4,0.0,0.35593220338983056
feed_Carbon_kgh,-0.0015023980278656283,0.26666666666666666,0.25,0.3559322033898305
grad_temperatura_horno_celsius_prev,-0.0004303496492513715,0.5333333333333333,0.05,0.3516949152542373
feed_conc_t1_kgh,0.000163075081928706,0.6,0.0,0.3474576271186441
feed_dross_Fe_kgh,0.0001487659116500679,0.5333333333333333,0.0,0.3432203389830508
relacion_C_carga,-0.0005153815053249152,0.5333333333333333,0.05,0.33898305084745767
ley_sn_carga_pct,9.900614023446875e-05,0.6,0.0,0.3347457627118644
espesor_ladrillo_norm_mm,9.06101817833226e-05,0.4,0.0,0.3305084745762712
margen_presion_gn,2.0623285925380763e-05,0.4666666666666667,0.0,0.326271186440678
tasa_feed_Carbon_fusion_kg_min,4.694387535907193e-07,0.3333333333333333,0.0,0.3220338983050848
relacion_C_cum_Sn_cum_prev,-0.0007335799333883446,0.4,0.05,0.3135593220338983
orden_escalon_fase,0.0,0.0,0.0,0.3072033898305085
tasa_feed_Carbon_kg_min,-0.0001309598090297663,0.4666666666666667,0.0,0.2669491525423729
ley_sn_reciclo_batch_pct,-0.00013466508413871253,0.4,0.0,0.2627118644067797
ley_feo_escoria_pct_prev,-0.00014208354881869076,0.4666666666666667,0.0,0.2584745762711864
indice_severidad_reductora,-0.0001457728389017859,0.5333333333333333,0.0,0.2542372881355932
presion_suministro_o2_lanza_kpa,-0.00017035531895321677,0.4,0.0,0.25
relacion_CaO_carga_Fe,-0.00018422558510737568,0.3333333333333333,0.0,0.2457627118644068
tasa_feed_Sn_kg_min,-0.0002421176475812069,0.4666666666666667,0.0,0.24152542372881358
interaccion_C_x_exceso_o2,-0.00029783087294299714,0.4,0.0,0.23728813559322035
frac_reciclo_carga,-0.00037300032155434724,0.6666666666666666,0.0,0.2245762711864407
tasa_feed_Fe_kg_min,-0.00037786687938662236,0.4,0.0,0.22033898305084748
interaccion_FeO_x_B2_prev,-0.00038687281845166676,0.3333333333333333,0.0,0.21610169491525424
termocupla_media_celsius_prev,-0.00041313499442110493,0.26666666666666666,0.0,0.2076271186440678
tasa_feed_Carbon_reduccion_kg_min,-0.0004275399386926029,0.3333333333333333,0.0,0.2033898305084746
feed_Carbon_reduccion_kgh,-0.00047735437651278784,0.3333333333333333,0.0,0.19491525423728814
interaccion_C_x_temp_prev,-0.0004774250912816728,0.3333333333333333,0.0,0.19067796610169493
frac_conc_carga,-0.0005174232676927883,0.4,0.0,0.1822033898305085
exceso_o2_combustion_pct,-0.0005268586050536866,0.4,0.0,0.17796610169491528
feed_pellets_t7_kgh,-0.0006887654863065962,0.6,0.0,0.17372881355932204
tasa_feed_pellets_kg_min,-0.000701875547400705,0.4666666666666667,0.0,0.16949152542372883
basicidad_B2_prev,-0.0007060096650097152,0.26666666666666666,0.0,0.1652542372881356
presion_suministro_gn_lanza_kpa,-0.0011265222711730645,0.2,0.0,0.14830508474576273
ley_sio2_escoria_pct_prev,-0.0013315399081291015,0.26666666666666666,0.0,0.1398305084745763
