fase,target,set,n_features,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox
Fusión,sn_kg,default,13,1749,374,0.7220772975809956,1036.7970475099935,0.6802473882572309,1113.0941994691282
Fusión,sn_kg,sin_campana,13,1749,374,0.7220772975809956,1036.7970475099935,0.6802473882572309,1113.0941994691282
Fusión,sn_kg,con_campana,15,1749,374,0.7251732013019329,1022.382001992102,0.6831416967149251,1126.9201316537549
Fusión,sn_kg,temp_desv_movil20,13,1713,374,0.7181682851707776,1031.3978692727298,0.687635386963316,1087.91297356083
Reducción,sn_kg,default,10,1076,238,0.971498308217752,361.8258390605074,0.982742926388621,347.40699630831904
Reducción,sn_kg,sin_campana,10,1076,238,0.971498308217752,361.8258390605074,0.982742926388621,347.40699630831904
Reducción,sn_kg,con_campana,12,1076,238,0.9713001243570659,359.8640191834542,0.983966002470205,348.08337526529
Reducción,sn_kg,temp_desv_movil20,10,1057,238,0.9719293907082722,361.1669424101163,0.9833137127288554,345.2991298780731
