kpi,variable,grid_value,pd_value
f_dross,C_por_Sn_F,0.2511451331738443,0.012044326293571782
f_dross,C_por_Sn_F,0.25400137932988753,0.012044326293571782
f_dross,C_por_Sn_F,0.2568576254859307,0.012044326293571782
f_dross,C_por_Sn_F,0.25971387164197396,0.003357045759326984
f_dross,C_por_Sn_F,0.2625701177980172,0.003357045759326984
f_dross,C_por_Sn_F,0.26542636395406044,0.0003008445502399609
f_dross,C_por_Sn_F,0.2682826101101036,0.0003008445502399609
f_dross,C_por_Sn_F,0.27113885626614687,-0.0012122223801817704
f_dross,C_por_Sn_F,0.2739951024221901,-0.003899887917478465
f_dross,C_por_Sn_F,0.27685134857823335,-0.004174642213725059
f_dross,C_por_Sn_F,0.27970759473427653,-0.004174642213725059
f_dross,C_por_Sn_F,0.2825638408903198,-0.006511185412412148
f_dross,C_por_Sn_F,0.285420087046363,-0.006511185412412148
f_dross,C_por_Sn_F,0.2882763332024062,-0.006511185412412148
f_dross,C_por_Sn_F,0.29113257935844944,-0.006511185412412148
f_dross,C_por_Sn_F,0.2939888255144927,-0.004297782235708391
f_dross,C_por_Sn_F,0.2968450716705359,-0.003228083525571524
f_dross,C_por_Sn_F,0.29970131782657916,-0.003228083525571524
f_dross,C_por_Sn_F,0.30255756398262235,-0.003228083525571524
f_dross,C_por_Sn_F,0.3054138101386656,-0.003228083525571524
f_dross,exceso_o2_F,17.85809670325085,-0.001885626545683089
f_dross,exceso_o2_F,18.042417030822055,-0.001885626545683089
f_dross,exceso_o2_F,18.22673735839326,-0.001885626545683089
f_dross,exceso_o2_F,18.411057685964465,-0.001885626545683089
f_dross,exceso_o2_F,18.59537801353567,-0.001885626545683089
f_dross,exceso_o2_F,18.779698341106876,-0.001885626545683089
f_dross,exceso_o2_F,18.96401866867808,-0.0020917436666333757
f_dross,exceso_o2_F,19.148338996249283,-0.0020917436666333757
f_dross,exceso_o2_F,19.332659323820486,-0.0020917436666333757
f_dross,exceso_o2_F,19.516979651391694,-0.0009184645981805365
f_dross,exceso_o2_F,19.701299978962897,0.003456762264556609
f_dross,exceso_o2_F,19.8856203065341,0.003456762264556609
f_dross,exceso_o2_F,20.069940634105308,0.003456762264556609
f_dross,exceso_o2_F,20.25426096167651,0.005839199778198402
f_dross,exceso_o2_F,20.438581289247715,0.011964222959833409
f_dross,exceso_o2_F,20.622901616818922,0.011964222959833409
f_dross,exceso_o2_F,20.807221944390125,0.011964222959833409
f_dross,exceso_o2_F,20.99154227196133,0.011964222959833409
f_dross,exceso_o2_F,21.175862599532536,0.011964222959833409
f_dross,exceso_o2_F,21.36018292710374,0.011964222959833409
f_dross,perfil_carbon_R,0.4860355580171924,-0.003505725406045846
f_dross,perfil_carbon_R,0.4972184779518006,-0.003505725406045846
f_dross,perfil_carbon_R,0.5084013978864088,-0.003505725406045846
f_dross,perfil_carbon_R,0.519584317821017,-0.003505725406045846
f_dross,perfil_carbon_R,0.5307672377556252,-0.0005976025828275032
f_dross,perfil_carbon_R,0.5419501576902335,-0.0005976025828275032
f_dross,perfil_carbon_R,0.5531330776248417,-0.0005976025828275032
f_dross,perfil_carbon_R,0.5643159975594498,-0.0005976025828275032
f_dross,perfil_carbon_R,0.575498917494058,-0.0020941076289719153
f_dross,perfil_carbon_R,0.5866818374286663,-0.00222674291121865
f_dross,perfil_carbon_R,0.5978647573632745,0.0002956516873842033
f_dross,perfil_carbon_R,0.6090476772978827,0.0002956516873842033
f_dross,perfil_carbon_R,0.6202305972324909,0.001300338353986309
f_dross,perfil_carbon_R,0.6314135171670991,0.001300338353986309
f_dross,perfil_carbon_R,0.6425964371017073,0.004093841414487161
f_dross,perfil_carbon_R,0.6537793570363155,0.004093841414487161
f_dross,perfil_carbon_R,0.6649622769709237,1.2334636663180105e-05
f_dross,perfil_carbon_R,0.6761451969055319,-0.0014130965340351535
f_dross,perfil_carbon_R,0.6873281168401402,-0.0014130965340351535
f_dross,perfil_carbon_R,0.6985110367747484,-0.0014130965340351535
f_dross,lanza_media_F,1641.3771465061434,0.0041696949368691325
f_dross,lanza_media_F,1680.9240358811228,0.0041696949368691325
f_dross,lanza_media_F,1720.470925256102,0.0041696949368691325
f_dross,lanza_media_F,1760.0178146310814,0.0041696949368691325
f_dross,lanza_media_F,1799.5647040060605,0.0041696949368691325
f_dross,lanza_media_F,1839.11159338104,0.003202320087009443
f_dross,lanza_media_F,1878.658482756019,0.003202320087009443
f_dross,lanza_media_F,1918.2053721309985,0.003202320087009443
f_dross,lanza_media_F,1957.7522615059777,0.003202320087009443
f_dross,lanza_media_F,1997.299150880957,0.003354789658899006
f_dross,lanza_media_F,2036.8460402559363,0.003354789658899006
f_dross,lanza_media_F,2076.3929296309157,0.004124446424029033
f_dross,lanza_media_F,2115.939819005895,0.0060526397642667405
f_dross,lanza_media_F,2155.486708380874,-0.00889400708060354
f_dross,lanza_media_F,2195.0335977558534,-0.00889400708060354
f_dross,lanza_media_F,2234.580487130833,-0.007099635792009782
f_dross,lanza_media_F,2274.127376505812,-0.007099635792009782
f_dross,lanza_media_F,2313.6742658807916,-0.007099635792009782
f_dross,lanza_media_F,2353.2211552557706,-0.020855780369934157
