Batch,cal_total_F,cal_por_carga_F,Sn_extraido_total_F,sn_inv_fin_F,feed_sn_F,F_avance_final,sn_metal_t,sn_dross_t,sn_polvo_t,f_metal,f_dross,f_polvo,rendimiento_proxy_batch,feed_sn_total_batch,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,temp_media_F,carbon_total_F,gn_total_F,n_escalones_F
AP0001,14120.866362410887,0.1250434483694545,35394.40476075241,12995.90856980535,49860.57665084247,0.7393550287071186,33.74924000000001,3.48976,4.99101946,0.7991765201995008,0.08263694984335675,0.11818652995714247,79.91765201995008,49907.386443483614,41.43282990669513,299.9997159131983,1199.8433943567873,14117.54126315219,8640.8695473565,7
AP0002,14415.636644352335,0.12907725402888645,34637.2328300792,11345.639951573596,49312.616563278585,0.7699241950178263,33.28864000000001,5.89424,6.383471948,0.7305531072136027,0.12935509971758247,0.14009179306881472,73.05531072136027,49489.24713785589,41.43282990669513,299.9997159131983,1309.4844819802286,14679.012220003035,8976.297098174606,7
AP0003,15711.730781490289,0.1387030616374145,36675.62675843797,10144.191495782872,50000.83013983299,0.7971195384673917,37.35171999999999,3.6393600000000004,6.198930052000001,0.7915175258246625,0.07712140760278896,0.13136106657254842,79.15175258246624,50071.225995084955,41.432829906695126,299.9997159131983,1267.0349252921192,15007.779303529625,8766.561578227,7
AP0004,16974.17883753027,0.1491712373943324,35637.51147736219,11584.043711669368,50322.76698881836,0.7698051119835416,35.99344,6.09688,7.538656284,0.7252505027310832,0.12284919932885231,0.1519002979400646,72.52505027310832,50407.47014784683,41.43282990669514,299.9997159131983,1216.3569351554343,13875.869105683629,9112.7428314209,7
AP0005,14733.839061920487,0.13191807495506763,36333.88911343657,9586.169417734518,48657.07989853712,0.8029851064280016,32.39488,5.537920000000001,7.310974724,0.7160074551166002,0.12240181182456374,0.16159073305883612,71.60074551166002,48723.45759162705,41.43282990669513,299.9997159131983,1249.450937337607,14132.536257052574,8786.306757948134,7
AP0006,15504.609325578815,0.13865077704169204,35572.540311007186,10627.029552168797,49427.61002614224,0.7849981104377055,33.169079999999994,3.93856,7.916128344,0.7367015516465584,0.08747735129382754,0.175821097059614,73.67015516465584,49795.581255914825,41.43282990669514,299.9997159131983,1230.02669141176,13809.300325088678,8643.901789833077,7
AP0007,16010.994949298369,0.14460532306264604,33180.70017165049,12855.485402007,48921.072199925504,0.737219876345503,34.60576,4.12488,7.941293148,0.7414683229482415,0.08838031171581676,0.1701513653359418,74.14683229482415,49049.84223379435,41.43282990669513,299.9997159131983,1210.4768121249883,13778.291944259665,7974.224871961594,7
AP0008,14546.782785160625,0.1417921819413166,31142.5883897659,10821.136218370539,45639.636863624546,0.7629004750693986,25.981759999999998,9.457439999999998,8.179759624,0.5956529046993667,0.21681947670288612,0.18752761859774708,59.56529046993668,45648.04663903601,41.80029722790323,299.9997159131983,1195.196995634653,12712.595514026796,8142.640941424606,7
AP0009,0.13032927787010057,1.0352238748384765e-06,44651.28295804007,0.07507881379114523,48778.78938847029,0.9999984608307272,32.688880000000005,3.13888,6.218103236000001,0.7774576970038642,0.07465371759361254,0.1478885854025233,77.74576970038642,49688.51977121447,42.415478561836736,299.9997159131983,1245.9461460727223,13574.684715218023,8634.32121887207,7
AP0010,1.2251991771552616e-20,9.972737118053969e-26,46622.37939042586,8.914851120628629e-21,47784.45007488914,1.0,32.743759999999995,5.857520000000001,9.195938376,0.6850557650116589,0.12254939092734289,0.19239484406099827,68.50557650116588,47940.421767793836,42.415478561836736,299.9997159131983,1227.430056195803,13483.929318309383,9099.769230725316,7
