fase,target,nominal,cobertura_empirica,ancho_medio,n
Fusión,sn_kg,0.8,0.893048128342246,5063.386058269528,374
Fusión,sn_kg,0.9,0.9705882352941176,7061.032670383942,374
Fusión,sn_pts,0.8,0.8746666666666667,8.426445038086712,375
Fusión,sn_pts,0.9,0.9413333333333334,10.914995111877898,375
Fusión,feo_pts,0.8,0.8506666666666667,2.9429551530071403,375
Fusión,feo_pts,0.9,0.9306666666666666,4.32929995203496,375
Fusión,dT,0.8,0.9814814814814815,47.48836515803205,378
Fusión,dT,0.9,1.0,59.78364108252542,378
Reducción,sn_kg,0.8,0.9327731092436975,1693.2708570795955,238
Reducción,sn_kg,0.9,0.9621848739495799,2597.0987128521824,238
Reducción,sn_pts,0.8,0.9256198347107438,3.179908116630878,242
Reducción,sn_pts,0.9,0.9669421487603306,4.848773983868183,242
Reducción,feo_kg,0.8,0.9338842975206612,2575.1868041173184,242
Reducción,feo_kg,0.9,0.9628099173553719,3120.718868299504,242
Reducción,feo_pts,0.8,0.9173553719008265,2.67523575386131,242
Reducción,feo_pts,0.9,0.9586776859504132,3.2370226052881064,242
Reducción,dT,0.8,0.9880952380952381,41.990800657393024,252
Reducción,dT,0.9,1.0,54.59441736059378,252
