fase,feature,periodo,n,mediana,p5,p95,p1_dev,p99_dev,pct_fuera_rango_p1_p99_dev
Fusión,basicidad_B2_prev,dev_tercio1,593,0.5321745209571325,0.4627829597343591,0.6186960635929292,0.420882774185508,0.671349631268779,
Fusión,basicidad_B2_prev,dev_tercio2,599,0.5271053623284787,0.4591520040234392,0.6101689339566837,0.420882774185508,0.671349631268779,
Fusión,basicidad_B2_prev,dev_tercio3,589,0.530768069636972,0.45338609668215313,0.6199476034646348,0.420882774185508,0.671349631268779,
Fusión,basicidad_B2_prev,lockbox,376,0.5127378965803003,0.4529461913044892,0.600590536460908,0.420882774185508,0.671349631268779,1.8617021276595744
Fusión,espesor_ladrillo_norm_mm,dev_tercio1,594,293.99999883582484,285.03208862608784,299.9997159131983,232.01307244785002,299.9997159131983,
Fusión,espesor_ladrillo_norm_mm,dev_tercio2,600,270.8754835471876,258.8236152628452,283.14316729751994,232.01307244785002,299.9997159131983,
Fusión,espesor_ladrillo_norm_mm,dev_tercio3,600,244.18169464692846,232.01307244785002,255.5885753320456,232.01307244785002,299.9997159131983,
Fusión,espesor_ladrillo_norm_mm,lockbox,378,221.62700755918218,218.10000287269162,227.6074769868469,232.01307244785002,299.9997159131983,100.0
Fusión,feo_inventario_escoria_est_kg_prev,dev_tercio1,592,3723.185775947049,3.1732106930404818e-21,9040.131838620646,1.2316788275799273e-21,11524.634537437067,
Fusión,feo_inventario_escoria_est_kg_prev,dev_tercio2,598,5026.031292760091,891.0467120353914,10448.72166740074,1.2316788275799273e-21,11524.634537437067,
Fusión,feo_inventario_escoria_est_kg_prev,dev_tercio3,589,5205.505260507067,875.968001279451,10896.297949502194,1.2316788275799273e-21,11524.634537437067,
Fusión,feo_inventario_escoria_est_kg_prev,lockbox,376,4592.753164449943,828.622461673081,9938.67178792607,1.2316788275799273e-21,11524.634537437067,0.0
Fusión,ley_sn_escoria_pct_prev,dev_tercio1,593,20.4726,13.6755,25.06218,8.973704999999999,26.354640000000003,
Fusión,ley_sn_escoria_pct_prev,dev_tercio2,599,19.1715,13.071019999999999,24.17743,8.973704999999999,26.354640000000003,
Fusión,ley_sn_escoria_pct_prev,dev_tercio3,594,19.98375,11.455855,24.361455,8.973704999999999,26.354640000000003,
Fusión,ley_sn_escoria_pct_prev,lockbox,376,22.5255,15.704324999999999,26.55895,8.973704999999999,26.354640000000003,6.382978723404255
Fusión,masa_escoria_est_kg_prev,dev_tercio1,592,22145.72643427904,1.9403959396472925e-20,53044.43884633046,7.815854826280341e-21,66197.77696466727,
Fusión,masa_escoria_est_kg_prev,dev_tercio2,598,27174.373656148764,5392.581750123667,56005.732434470236,7.815854826280341e-21,66197.77696466727,
Fusión,masa_escoria_est_kg_prev,dev_tercio3,589,30181.813112069227,5154.590517877551,58987.68242854337,7.815854826280341e-21,66197.77696466727,
Fusión,masa_escoria_est_kg_prev,lockbox,376,27411.893718672298,5245.6976533553425,55905.985866143776,7.815854826280341e-21,66197.77696466727,0.0
Fusión,sn_inventario_escoria_est_kg_prev,dev_tercio1,592,4731.683526964451,4.09804962112414e-21,10867.124021987796,1.5733278775903401e-21,14958.757842790634,
Fusión,sn_inventario_escoria_est_kg_prev,dev_tercio2,598,5541.311022908832,812.8079420985894,10604.20188906967,1.5733278775903401e-21,14958.757842790634,
Fusión,sn_inventario_escoria_est_kg_prev,dev_tercio3,588,6018.471065062429,631.6499251387166,12180.612667952777,1.5733278775903401e-21,14958.757842790634,
Fusión,sn_inventario_escoria_est_kg_prev,lockbox,376,6391.0240296888405,923.966419209921,12721.033894697974,1.5733278775903401e-21,14958.757842790634,0.5319148936170213
Fusión,temperatura_horno_celsius_prev,dev_tercio1,594,1163.0241165797474,1073.9681878706297,1245.9187976617347,938.1091442326376,1258.478604418421,
Fusión,temperatura_horno_celsius_prev,dev_tercio2,600,1078.5339599955141,1013.3826525525841,1153.0756192285116,938.1091442326376,1258.478604418421,
Fusión,temperatura_horno_celsius_prev,dev_tercio3,600,1001.1811565133765,943.1766941842312,1073.6701396406052,938.1091442326376,1258.478604418421,
Fusión,temperatura_horno_celsius_prev,lockbox,378,995.1126792255178,965.5397226404771,1042.6423499153855,938.1091442326376,1258.478604418421,0.0
Fusión,termocupla_media_celsius_prev,dev_tercio1,593,301.4942617735802,289.7699742799578,315.6482732501932,289.0437905099932,395.42986135493055,
Fusión,termocupla_media_celsius_prev,dev_tercio2,599,331.7954263256226,307.2647558861993,356.8571621499108,289.0437905099932,395.42986135493055,
Fusión,termocupla_media_celsius_prev,dev_tercio3,600,364.6949021827877,344.7905821835519,391.67422805517486,289.0437905099932,395.42986135493055,
Fusión,termocupla_media_celsius_prev,lockbox,378,395.85653810335094,378.16657573605653,410.3337167680241,289.0437905099932,395.42986135493055,51.32275132275132
Reducción,espesor_ladrillo_norm_mm,dev_tercio1,396,293.99999883582484,285.03208862608784,299.9997159131983,231.93570033697392,299.9997159131983,
Reducción,espesor_ladrillo_norm_mm,dev_tercio2,400,270.8754835471876,258.8236152628452,283.14316729751994,231.93570033697392,299.9997159131983,
Reducción,espesor_ladrillo_norm_mm,dev_tercio3,400,244.18169464692846,232.01307244785002,255.5885753320456,231.93570033697392,299.9997159131983,
Reducción,espesor_ladrillo_norm_mm,lockbox,252,221.62700755918218,218.10000287269162,226.81695425089393,231.93570033697392,299.9997159131983,100.0
Reducción,feo_inventario_escoria_est_kg_prev,dev_tercio1,393,9490.889434051827,1.0284288093748714e-20,11804.639003308435,6.225823728470005e-21,15535.54978309322,
Reducción,feo_inventario_escoria_est_kg_prev,dev_tercio2,398,10879.905635366224,9021.533141661499,13042.460340823127,6.225823728470005e-21,15535.54978309322,
Reducción,feo_inventario_escoria_est_kg_prev,dev_tercio3,392,11319.107639349066,9072.448515179085,14446.318525480066,6.225823728470005e-21,15535.54978309322,
Reducción,feo_inventario_escoria_est_kg_prev,lockbox,252,10138.842682365848,8291.654420937777,12785.455869606145,6.225823728470005e-21,15535.54978309322,0.0
Reducción,grad_temperatura_horno_celsius_prev,dev_tercio1,396,-0.11830791123694083,-0.7286265610067881,0.8256677755103078,-2.7108537226707043,1.2003441885722361,
Reducción,grad_temperatura_horno_celsius_prev,dev_tercio2,400,-0.4440461804346129,-2.6027128680181146,0.5633447139336001,-2.7108537226707043,1.2003441885722361,
