fase,Batch,avance_prev,palanca,valor,pred_sn_extraido_kg,sn_lo,sn_hi,pred_feo_extraido_kg,feo_lo,feo_hi,pred_feo_reducido_kg,pred_dT,dT_lo,dT_hi,pred_temperatura,support_score,derivada__exceso_o2_combustion_pct,derivada__oxygen_enrichment_pct,derivada__relacion_C_Sn_carga,derivada__relacion_CaO_carga,J_costo,J_temperatura,J_soporte,J_sn,J_feo,J_incertidumbre,J
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,3.294660545117927,8489.829319079106,8010.273767368684,8969.384870789529,1102.8072883392801,243.65201335417612,1961.962563324384,1102.8072883392801,-17.526182827884853,-31.910735179394408,-3.141630476375296,1068.0727046773568,0.06657223126652873,-5.271007860241145,33.04014141352544,0.17368793824122855,0.0,-34.27868284445098,-0.0,-1866.8555374669427,8489.829319079106,-661.6843730035681,-239.77777585521108,5687.232949908934
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,5.916107315446935,8542.989061669072,8063.43350995865,9022.544613379494,1118.1516508581753,258.9963758730713,1977.3069258432793,1118.1516508581753,-17.3018206303335,-31.686372981843057,-2.9172682788239417,1068.2970668749083,0.07343677593422877,-5.271007860241145,33.04014141352544,0.3118853878759907,0.0,-38.210852999944485,-0.0,-1853.1264481315425,8542.989061669072,-670.8909905149052,-239.77777585521108,5740.982994167469
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,8.537554085775941,8596.148804259035,8116.593252548613,9075.704355969458,1133.4960133770703,274.3407383919663,1992.6512883621745,1133.4960133770703,-17.077458432782144,-31.4620107842917,-2.6929060812725876,1068.5214290724596,0.08113508541827193,-5.271007860241145,33.04014141352544,0.45008283751075273,0.0,-42.143023155438,-0.0,-1837.729829163456,8596.148804259035,-680.0976080262421,-239.77777585521108,5796.400568058688
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,11.15900085610495,8649.308546849,8169.752995138579,9128.864098559423,1148.8403758959653,289.68510091086125,2007.9956508810692,1148.8403758959653,-16.853096235230794,-31.23764858674035,-2.468543883721237,1068.7457912700108,0.08989326119494793,-5.271007860241145,33.04014141352544,0.588280287145515,0.0,-46.07519331093151,-0.0,-1820.2134776101043,8649.308546849,-689.3042255375791,-239.77777585521108,5853.937874535175
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,13.780447626433958,8702.468289438964,8222.912737728542,9182.023841149386,1164.18473841486,305.029463429756,2023.340013399964,1164.18473841486,-16.628734037679436,-31.01328638918899,-2.2441816861698793,1068.9701534675623,0.09942848990605464,-5.271007860241145,33.04014141352544,0.7264777367802772,0.0,-50.007363466425026,-0.0,-1801.1430201878907,8702.468289438964,-698.510843048916,-239.77777585521108,5913.029286880521
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,16.401894396762966,8755.628032028928,8276.072480318506,9235.18358373935,1179.529100933755,320.37382594865096,2038.6843759188591,1179.529100933755,-16.404371840128086,-30.78892419163764,-2.019819488618529,1069.1945156651136,0.1101220996990856,-5.271007860241145,33.04014141352544,0.8646751864150393,0.0,-53.939533621918535,-0.0,-1779.7558006018287,8755.628032028928,-707.717460560253,-239.77777585521108,5974.437461389716
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,19.02334116709197,8808.787774618891,8329.23222290847,9288.343326329314,1194.87346345265,335.71818846754593,2054.028738437754,1194.87346345265,-16.18000964257673,-30.56456199408629,-1.7954572910671747,1069.4188778626649,0.12166667030720318,-5.271007860241145,33.04014141352544,1.0028726360498013,0.0,-57.871703777412044,-0.0,-1756.6666593855937,8808.787774618891,-716.92407807159,-239.77777585521108,6037.547557529085
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,21.64478793742098,8861.947517208857,8382.391965498435,9341.503068919279,1210.217825971545,351.0625509864409,2069.373100956649,1210.217825971545,-15.955647445025377,-30.340199796534932,-1.5710950935158206,1069.6432400602164,0.1342807004805569,-5.271007860241145,33.04014141352544,1.1410700856845635,0.0,-61.80387393290556,-0.0,-1731.4385990388862,8861.947517208857,-726.1306955829269,-239.77777585521108,6102.796572798927
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,24.266234707749987,8915.10725979882,8435.551708088398,9394.662811509243,1225.56218849044,366.40691350533587,2084.717463475544,1225.56218849044,-15.731285247474025,-30.115837598983582,-1.3467328959644682,1069.8676022577677,0.14815945378831968,-5.271007860241145,33.04014141352544,1.2792675353193257,0.0,-65.73604408839907,-0.0,-1703.6810924233605,8915.10725979882,-735.3373130942639,-239.77777585521108,6170.575034337586
Reducción,AP0044,0.7494676036533982,tasa_feed_Carbon_kg_min,26.887681478078996,8968.267002388784,8488.711450678362,9447.822554099206,1240.9065510093346,381.7512760242306,2100.0618259944385,1240.9065510093346,-15.506923049922671,-29.891475401432228,-1.122370698413114,1070.091964455319,0.16316903371153108,-5.271007860241145,33.04014141352544,1.4174649849540877,0.0,-69.66821424389258,-0.0,-1673.661932576938,8968.267002388784,-744.5439306056007,-239.77777585521108,6240.615149107141
