Batch,fase,orden_escalon_fase,avance_reduccion_sn_prev,ley_sn_escoria_pct_prev,sn_extraido_real_kg,feo_extraido_real_kg,temperatura_real,pred_sn_kg_historico,pred_sn_kg_recomendado,pred_feo_reducido_kg_historico,pred_feo_reducido_kg_recomendado,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,J_sn_hist,J_sn_rec,J_feo_hist,J_feo_rec,J_costo_hist,J_costo_rec,J_temperatura_hist,J_temperatura_rec,J_soporte_hist,J_soporte_rec,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,hist_derivada__exceso_o2_combustion_pct,rec_derivada__exceso_o2_combustion_pct,hist_derivada__relacion_C_Sn_carga,rec_derivada__relacion_C_Sn_carga,fold,es_lockbox
AP0005,Fusión,1,0.6859271298824883,21.6502,3840.7871493557777,-1452.3924598585681,1258.1090970113253,3468.9157775852595,3468.9157775852595,,,1248.603569445175,1248.603569445175,0.2809825395937074,0.2809825395937074,-2002.0646450925365,-2002.0646450925365,0.0,-159.20751347268836,-159.20751347268836,-227.1286567423271,-227.1286567423271,-99.34628982487432,-99.34628982487432,-69.40361583374624,-69.40361583374624,-1438.0349208125854,-1438.0349208125854,35.0,35.0,289.56549207899303,289.56549207899303,4.9987696894892935,4.9987696894892935,54.38705206977,54.38705206977,7.590149847180055e-21,7.590149847180055e-21,0.00033260675408888096,0.00033260675408888096,46.39459963198061,46.39459963198061,34.51754348189743,34.51754348189743,25.531316082666788,25.531316082666788,34.66487669929625,34.66487669929625,122.38737002418155,122.38737002418155,18.21996212204081,18.21996212204081,0.22700948315658262,0.22700948315658262,3,False
AP0005,Fusión,2,0.7063709202280657,20.6548,3964.4356199967265,-1776.1899712126483,1264.4014744246679,4039.808148711171,4039.808148711171,,,1258.2907376073495,1258.2907376073495,0.27989235412812535,0.27989235412812535,-1964.326137753691,-1964.326137753691,0.0,-65.04029339209947,-65.04029339209947,-239.31132566227683,-239.31132566227683,-122.03762639115494,-122.03762639115494,-88.7779521580951,-88.7779521580951,-1440.2152917437495,-1440.2152917437495,40.0,40.0,289.6813555957825,289.6813555957825,5.001399776799891,5.001399776799891,54.41070844448675,54.41070844448675,7.590149847180055e-21,7.590149847180055e-21,0.006677797856334465,0.006677797856334465,46.400282845846036,46.400282845846036,38.57951054766895,38.57951054766895,25.70231424119737,25.70231424119737,35.08957051595051,35.08957051595051,122.97846452501085,122.97846452501085,18.501095844054607,18.501095844054607,0.25362023668650513,0.25362023668650513,3,False
AP0005,Fusión,3,0.6847068047492093,20.8182,4732.823342913436,-1152.0143920679811,1252.8913989130644,4878.6385888424065,4867.464762140663,,,1250.2768502417994,1251.1365784384059,0.3167378956737534,0.29319834364423664,-1713.5441285983143,-1710.8234298276836,2.7206987706306336,118.42080679214553,175.42718653675237,-229.2329895684033,-230.31419140211355,-154.51391133625307,-158.9198300242727,-72.75017742699492,-74.46963382020795,-1366.5242086524931,-1413.6033127115265,45.0,45.0,286.62085350147186,286.62085350147186,4.952606610284335,4.952606610284335,53.82176721545222,53.82176721545222,7.590149847180055e-21,7.590149847180055e-21,0.006561709762267445,0.006561709762267445,45.901908940854284,45.901908940854284,45.97237473639889,48.3968455302092,25.91922071668837,25.456628105184915,35.744711581836185,34.80106586511634,123.21817810812115,124.6552928044072,18.870334988247897,19.769745431489273,0.3054645845939116,0.32157404093889724,3,False
AP0005,Fusión,4,0.6890213935194034,21.6596,6093.327598793797,-684.9488975599679,1243.9066645626826,4943.358756793636,4943.358756793636,,,1240.4223603105372,1240.4223603105372,0.17109788489247404,0.17109788489247404,-2022.241837502321,-2022.241837502321,0.0,51.84785044741447,51.84785044741447,-216.83989530208086,-216.83989530208086,-137.46071646181667,-137.46071646181667,-53.04119756447062,-53.04119756447062,-1657.804230215052,-1657.804230215052,50.0,50.0,213.05469100251602,213.05469100251602,4.1137941487689655,4.1137941487689655,40.3653534568992,40.3653534568992,7.590149847180055e-21,7.590149847180055e-21,0.0014395180086548007,0.0014395180086548007,34.09704505463481,34.09704505463481,32.128655636772436,32.128655636772436,26.0468738538954,26.0468738538954,36.137533178084944,36.137533178084944,123.49118231879339,123.49118231879339,19.151883280128594,19.151883280128594,0.2866517054250053,0.2866517054250053,3,False
AP0005,Fusión,5,0.7693848996214017,17.8486,5492.782075934166,-2225.241310699944,1239.6264231935913,5659.068239411227,5659.068239411227,,,1231.6023111376082,1231.6023111376082,0.19575093956164366,0.19575093956164366,-1845.9490616055575,-1845.9490616055575,0.0,215.45546034493148,215.45546034493148,-205.74772294246006,-205.74772294246006,-202.81393050638835,-202.81393050638835,-35.40109921861267,-35.40109921861267,-1608.4981208767126,-1608.4981208767126,55.0,55.0,289.51173502604166,289.51173502604166,4.997791926066081,4.997791926066081,54.36287151518327,54.36287151518327,7.590149847180055e-21,7.590149847180055e-21,0.00034851021919166667,0.00034851021919166667,46.37223474411738,46.37223474411738,50.60420277913412,50.60420277913412,26.353455465297507,26.353455465297507,36.671220629142994,36.671220629142994,123.37662595190183,123.37662595190183,18.732649996219187,18.732649996219187,0.33288564733044324,0.33288564733044324,3,False
AP0005,Fusión,6,0.7433712141923892,18.3332,12209.733326442665,-2039.3029990975838,1229.9961626630097,9572.212561602011,9572.212561602011,,,1223.9236154769337,1223.9236154769337,0.2772069061585021,0.2772069061585021,-1697.3316938344217,-1697.3316938344217,0.0,220.45366850894484,220.45366850894484,-196.09092692065403,-196.09092692065403,-247.1208914361379,-247.1208914361379,-20.04370789726363,-20.04370789726363,-1445.5861876829958,-1445.5861876829958,67.0,67.0,288.05323215060764,288.05323215060764,4.61476432671401,4.61476432671401,53.45535338956217,53.45535338956217,7.590149847180055e-21,7.590149847180055e-21,0.0015300615054521978,0.0015300615054521978,44.436005668142364,44.436005668142364,50.43796413361081,50.43796413361081,26.520027514027465,26.520027514027465,37.08724818708427,37.08724818708427,122.77139734066473,122.77139734066473,18.531629719030086,18.531629719030086,0.3342980930353284,0.3342980930353284,3,False
AP0005,Reducción,0,0.8029851064280016,15.2977,7435.370408363389,2164.3697995521134,1222.769520265375,6998.831554108259,6998.831554108259,0.0,0.0,1225.5988410570758,1225.5988410570758,0.003198430277914308,0.003198430277914308,4634.836033986668,4634.836033986668,0.0,6998.831554108259,6998.831554108259,-0.0,-0.0,-36.75313114102643,-36.75313114102643,-93.9260536444117,-93.9260536444117,-1993.6031394441713,-1993.6031394441713,30.0,30.0,,,,,,,7.590149847180055e-21,7.590149847180055e-21,2.6987195381098677e-05,2.6987195381098677e-05,,,15.050070617019488,15.050070617019488,11.192540230598622,11.192540230598622,13.682463359861455,13.682463359861455,25.458645749771804,25.458645749771804,-14.993475228742602,-14.993475228742602,,,3,False
AP0005,Reducción,1,0.9545127191856114,4.5169,-196.64256260155676,-1510.3562301922348,1222.2840040143824,869.9934988562457,869.9934988562457,0.0,0.0,1215.998956747324,1215.998956747324,0.04636241693194887,0.04636241693194887,-1399.7858839518408,-1399.7858839518408,0.0,869.9934988562457,869.9934988562457,-0.0,-0.0,-48.06473575509416,-48.06473575509416,-74.72628502490807,-74.72628502490807,-1907.2751661361024,-1907.2751661361024,25.0,25.0,,,,,,,7.590149847180055e-21,7.590149847180055e-21,8.93081471569668e-20,8.93081471569668e-20,,,24.628783397185497,24.628783397185497,17.290835565760517,17.290835565760517,17.242519337167604,17.242519337167604,73.90679738356008,73.90679738356008,-5.259214735137692,-5.259214735137692,,,3,False
AP0005,Reducción,2,0.950470849761829,4.3718,673.0337285563638,-256.63346901227123,1217.8252944929257,1337.4709130810925,1337.4709130810925,290.51741221091845,290.51741221091845,1226.2173843500545,1226.2173843500545,0.20913738823523326,0.20913738823523326,-828.6248749812491,-828.6248749812491,0.0,1337.4709130810925,1337.4709130810925,-174.31044732655107,-174.31044732655107,-75.18378108390573,-75.18378108390573,-95.16314023036921,-95.16314023036921,-1581.7252235295337,-1581.7252235295337,20.0,20.0,,,,,,,7.590149847180055e-21,7.590149847180055e-21,8.93081471569668e-20,8.93081471569668e-20,,,56.33337881905692,56.33337881905692,24.442741139729815,24.442741139729815,20.9237879050546,20.9237879050546,118.91245008680555,118.91245008680555,-6.116498634671789,-6.116498634671789,,,3,False
AP0005,Reducción,3,0.9642805120710387,3.0893,792.0315250726696,1155.737574902796,1215.042651278873,647.4103124376993,606.2334563267666,387.6055024779823,313.4567129728772,1222.4316923086724,1221.2046787710703,0.2694152867055253,0.32613605627309794,-1403.6582531937304,-1279.1620525613034,124.49620063242696,647.4103124376993,606.2334563267666,-232.56330148678938,-188.0740277837263,-30.030885516104046,-24.742668686156787,-87.59175614760488,-85.13772907240082,-1461.1694265889494,-1347.7278874538042,15.0,15.0,,,,,,,7.590149847180055e-21,7.590149847180055e-21,8.93081471569668e-20,8.93081471569668e-20,,,28.74533235806945,21.979196675995457,16.792186759174733,16.123144657616585,6.102681372822195,6.685707221551548,119.62390685150588,119.54400416698961,-7.029077691210288,-1.415174360537143,,,3,False
