target,modelo,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox
crudo,HGB_pequeno,295,63.0,0.2598254836889049,750.8271147840115,0.2500427647826168,752.24310596062
crudo,Ridge,295,63.0,0.35786429563481914,701.0015539096785,0.3578342532544273,684.2039503688043
suavizado,HGB_pequeno,296,63.0,0.08468079023919739,721.6225000341494,0.17691466294991054,591.9325677600117
suavizado,Ridge,296,63.0,0.24071335357729218,655.8007407767059,0.23340361889347494,601.200958994462
crudo,corr_con_sn_dross_pearson,360,,0.17322293472075434,,,
crudo,corr_con_sn_dross_spearman,360,,0.16930325223294118,,,
suavizado,corr_con_sn_dross_pearson,360,,0.19046082569899128,,,
suavizado,corr_con_sn_dross_spearman,360,,0.1846046928507897,,,
