fase,Batch,orden_escalon_fase,avance_reduccion_sn_prev,palanca,valor_historico,J_historico,x_optimo,J_optimo,rango_J,tipo_forma,delta_relativo_optimo_vs_hist,lo_grid,hi_grid
Fusión,AP0089,1,0.7249703752809644,tasa_feed_Carbon_kg_min,32.19957041114268,-2532.4646130318665,30.296638686310715,-2512.6677323395334,699.4956279743246,óptimo_interior,-0.0478293572776439,24.328760902215688,64.11461279618254
Fusión,AP0089,1,0.7249703752809644,tasa_feed_CaO_kg_min,42.07607779454703,-2529.468320160914,42.13613065324437,-2529.468320160914,1067.3572923227803,óptimo_interior,0.0012114289827133994,2.0311371810206232e-23,49.57191841558162
Fusión,AP0093,3,0.703233296070336,tasa_feed_Carbon_kg_min,51.7643014360768,-2813.2303295313013,52.17885722799248,-2813.2303295313013,700.9529427866855,óptimo_interior,0.010419678659150314,24.328760902215688,64.11461279618254
Fusión,AP0093,3,0.703233296070336,tasa_feed_CaO_kg_min,41.67988404266595,-2807.113422068436,42.13613065324437,-2807.113422068436,1131.4423667838478,óptimo_interior,0.009203731167987565,2.0311371810206232e-23,49.57191841558162
Fusión,AP0062,6,0.6878344143837088,tasa_feed_Carbon_kg_min,34.98139070851544,-3714.659883368628,48.2002720385958,-3606.2564108663437,257.29906169672995,óptimo_interior,0.33225080526891715,24.328760902215688,64.11461279618254
Fusión,AP0062,6,0.6878344143837088,tasa_feed_CaO_kg_min,25.109122470234084,-3713.456570207472,39.657534732465294,-3468.1240920424666,569.6137022364769,óptimo_interior,0.2934809207960429,2.0311371810206232e-23,49.57191841558162
Fusión,AP0193,5,0.6757755082831148,tasa_feed_Carbon_kg_min,46.9421941025452,-3222.337067157995,46.21097944389746,-3222.337067157995,629.8472509722392,óptimo_interior,-0.018378760887073672,24.328760902215688,64.11461279618254
Fusión,AP0193,5,0.6757755082831148,tasa_feed_CaO_kg_min,45.63853015059945,-3216.471008198743,44.61472657402346,-3216.471008198743,923.7281065125117,frontera_alta,-0.0206528940032748,2.0311371810206232e-23,49.57191841558162
Fusión,AP0088,3,0.5661935584862716,tasa_feed_Carbon_kg_min,50.244485544603926,-3156.7318806898893,50.18956463329414,-3156.7318806898893,508.8954358193387,óptimo_interior,-0.0013804131040389806,24.328760902215688,64.11461279618254
Fusión,AP0088,3,0.5661935584862716,tasa_feed_CaO_kg_min,43.39060408717902,-3171.897583404021,42.13613065324437,-3162.9057367160012,847.9459505512641,óptimo_interior,-0.02530613044703831,2.0311371810206232e-23,49.57191841558162
Fusión,AP0215,1,0.8300919751548952,tasa_feed_Carbon_kg_min,32.11919655848031,-2602.8703354597174,32.285931281009056,-2602.8703354597174,798.2066864081917,óptimo_interior,0.004190804383757033,24.328760902215688,64.11461279618254
Fusión,AP0215,1,0.8300919751548952,tasa_feed_CaO_kg_min,44.9133131855666,-2606.3819090392462,44.61472657402346,-2606.3819090392462,1174.46344329566,frontera_alta,-0.006023301520025311,2.0311371810206232e-23,49.57191841558162
Fusión,AP0077,6,0.7832949618822685,tasa_feed_Carbon_kg_min,47.61617469787597,-3755.556935766019,46.21097944389746,-3737.55719243955,585.8581971221574,óptimo_interior,-0.03531896860530958,24.328760902215688,64.11461279618254
Fusión,AP0077,6,0.7832949618822685,tasa_feed_CaO_kg_min,42.23160676935764,-3740.636811941534,37.178938811686216,-3726.651740270512,710.8566545907579,óptimo_interior,-0.10192601212873884,2.0311371810206232e-23,49.57191841558162
Fusión,AP0005,4,0.6890213935194034,tasa_feed_Carbon_kg_min,32.128655636772436,-3484.1320049677697,40.24310165980243,-3381.5433127641145,496.44473621068573,óptimo_interior,0.20395305458472465,24.328760902215688,64.11461279618254
Fusión,AP0005,4,0.6890213935194034,tasa_feed_CaO_kg_min,34.09704505463481,-3485.1864315464704,37.178938811686216,-3463.1959828022827,589.640361047906,óptimo_interior,0.06217015309382685,2.0311371810206232e-23,49.57191841558162
Fusión,AP0164,5,0.7623162926565041,tasa_feed_Carbon_kg_min,44.732317539431016,-3129.1710545710025,44.221686849199116,-3129.1710545710025,746.914276456459,óptimo_interior,-0.012834479241333813,24.328760902215688,64.11461279618254
Fusión,AP0164,5,0.7623162926565041,tasa_feed_CaO_kg_min,42.66328769899763,-3095.1365738790096,42.13613065324437,-3095.1365738790096,1033.8656177598582,óptimo_interior,-0.010634186906665252,2.0311371810206232e-23,49.57191841558162
Fusión,AP0222,2,0.6704311900338966,tasa_feed_Carbon_kg_min,46.407598341557026,-2709.219176449311,46.21097944389746,-2709.219176449311,627.5649848540256,óptimo_interior,-0.004941930065581536,24.328760902215688,64.11461279618254
Fusión,AP0222,2,0.6704311900338966,tasa_feed_CaO_kg_min,45.145833440412545,-2714.258567345196,44.61472657402346,-2714.258567345196,1197.7495220283608,frontera_alta,-0.010713865498135503,2.0311371810206232e-23,49.57191841558162
Fusión,AP0123,4,0.779591124657675,tasa_feed_Carbon_kg_min,52.7876101175944,-3021.476371025467,52.17885722799248,-3021.476371025467,730.8249846465351,óptimo_interior,-0.015300737840785764,24.328760902215688,64.11461279618254
