fase,target,feature_set,algoritmo,n_features,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,r2_oof_dSn_pts,r2_lockbox_dSn_pts,mae_lockbox_dSn_pts,r2_oof_kgSn,r2_lockbox_kgSn,mae_lockbox_kgSn
Fusión,T1 d_ley_sn (pts %Sn),v2_actual,HistGB+mono(C),7,1747,374,0.5230737149869289,1.8913354829553006,0.4410939359011906,2.1313544037115864,0.5230737149869289,0.4410939359011906,2.1313544037115864,,,
Fusión,T1 d_ley_sn (pts %Sn),v2_actual,XGBoost,7,1747,374,0.5379789502665955,1.851897782090045,0.4680056506957415,2.06582822836658,0.5379789502665955,0.4680056506957415,2.06582822836658,,,
Fusión,T1 d_ley_sn (pts %Sn),v3_carga,HistGB+mono(C),39,1747,374,0.5535608631168965,1.8197681677446766,0.35393023856339645,2.291817912026009,0.5535608631168965,0.35393023856339645,2.291817912026009,,,
Fusión,T1 d_ley_sn (pts %Sn),v3_carga,XGBoost,39,1747,374,0.5692182411837381,1.7865783670159505,0.3121655611347486,2.4063571293305586,0.5692182411837381,0.3121655611347486,2.4063571293305586,,,
Fusión,T1 d_ley_sn (pts %Sn),v3_carga+inventario,HistGB+mono(C),47,1747,374,0.5523077231406803,1.8251386377191299,0.3274235709743675,2.3332965732025444,0.5523077231406803,0.3274235709743675,2.3332965732025444,,,
Fusión,T1 d_ley_sn (pts %Sn),v3_carga+inventario,XGBoost,47,1747,374,0.5617363920718892,1.799250086928898,0.3517561747867398,2.292686458322306,0.5617363920718892,0.3517561747867398,2.292686458322306,,,
Fusión,T1 d_ley_sn (pts %Sn),v3_pool_seguro,HistGB+mono(C),128,1747,374,0.5484955387367119,1.8225316782580976,0.28185753246990874,2.4395463498349477,0.5484955387367119,0.28185753246990874,2.4395463498349477,,,
Fusión,T1 d_ley_sn (pts %Sn),v3_pool_seguro,XGBoost,128,1747,374,0.563547077498318,1.7891673796379157,0.3280850190271807,2.3054726565364607,0.563547077498318,0.3280850190271807,2.3054726565364607,,,
Fusión,T3 tasa_relativa_sn,v2_actual,HistGB+mono(C),7,1747,374,0.6698744810089885,0.10658093900114832,0.6561060045212204,0.10376403317510258,0.5161874165690401,0.4292633960297171,2.1521606457444284,,,
Fusión,T3 tasa_relativa_sn,v2_actual,XGBoost,7,1747,374,0.693203137392606,0.10380972934743632,0.6658335366862738,0.10016208452285937,0.5350551400758473,0.47385742079188076,2.063857906597695,,,
Fusión,T3 tasa_relativa_sn,v3_carga,HistGB+mono(C),39,1747,374,0.6992466975666118,0.10119517942414022,0.5648762052145155,0.11911150385770108,0.5520135601006535,0.2689624690059158,2.478535694991161,,,
