Batch,rendimiento_ha_batch,frac_sn_metal,frac_sn_dross,frac_sn_polvo,feed_sn_total_t,feed_total_t,F_frac_conc,F_frac_reciclo,F_frac_Fe,F_frac_dross,F_frac_pellets,F_frac_secundaria,ley_sn_conc_batch_pct,ley_sn_carga_batch_pct,ley_sn_reciclo_batch_pct,ley_sn_dross_batch_pct,F_cal_por_t_carga,F_C_por_t_Sn,R_C_por_t_Sn_escoria_inicio,F_feed_rate_mean,F_feed_rate_cv,F_gn_por_t_carga,F_o2_enriq_mean,R_o2_enriq_mean,F_gn_rate_mean,R_gn_rate_mean,F_tiro_mean,R_tiro_mean,F_tgas_mean,R_tgas_mean,F_temp_max,R_temp_mean,R_temp_max,F_termocupla_mean,espesor_ladrillo_norm_mm,F_desvio_duracion_total,R_desvio_duracion_total,F_lanza_mean,F_lanza_std,F_tipp_mean,R_tipp_mean,F_b2_final,F_irf_final,R_b2_final,F_feo_final,R_feo_final,R_sio2_final,R_cao_final,R_al2o3_final,R_mgo_final,F_masa_escoria_final_t,R_masa_escoria_final_t,F_sn_escoria_final_t,R_sn_escoria_final_t,F_sn_extraido_t,R_sn_extraido_t,R_feo_extraido_t,F_feo_escoria_final_t,R_feo_extraido_frac,R_selectividad_masa,F_avance_reduccion_final,R_sn_extraido_frac,R_frac_sn_extraido_R0,rendimiento_proxy_batch,fusion_carbon_total_kg,fusion_carbon_rate_mean,fusion_carbon_rate_cv,fusion_b2_mean,fusion_frac_b2_optimo,fusion_o2_exceso_mean,fusion_o2_exceso_std,fusion_duracion_total_min,fusion_ley_sn_pico,fusion_ley_sn_final,fusion_temp_mean,fusion_temp_trend,fusion_cao_total_kg,fusion_interaccion_C_x_Sn_prev_mean,delta_FR_ley_sn_escoria_pct,delta_FR_ley_feo_escoria_pct,delta_FR_temperatura_horno_celsius,delta_FR_presion_punta_lanza_kpa,delta_FR_exceso_o2_combustion_pct,reduccion_carbon_total_kg,reduccion_carbon_rate_first,reduccion_carbon_decay_ratio,reduccion_gn_total_nm3,reduccion_o2_total_nm3,reduccion_aire_total_nm3,reduccion_o2_exceso_mean,reduccion_lanza_pos_mean,reduccion_lanza_pos_std,reduccion_frac_en_valle_lanza,reduccion_selectividad_media,reduccion_duracion_total_min,reduccion_ley_sn_inicio,reduccion_ley_sn_final,reduccion_ley_feo_final,reduccion_feo_caida_total,reduccion_sn_caida_total,n_escalones_reduccion,recuperacion_real_batch_pct
AP0001,0.815486245101531,0.6762373749669,0.06992471953929891,0.10000562673527208,49.90738644348362,113.03832145077213,0.8447145005884518,4.39885126408675e-21,0.1551977742628814,7.46408833660097e-05,1.308426530084022e-05,8.772514866684991e-05,41.43282990669513,44.15085592474773,,,0.1250434483694545,0.28314035278839184,0.2530283290689557,319.6218001839353,0.14415359039926368,76.5168437531754,37.71032133881994,30.020186794837567,24.615595974709358,21.639450150383844,73.93601779609126,71.47909675105926,177.9184571216672,192.77909732818605,1228.9785056080693,1231.134406421505,1235.7334422125455,295.51528885648634,299.9997159131983,31.0,0.0,1393.2454440668785,838.9231862299642,,,0.4794363302968778,0.22545952375523076,,16.17811867848509,,,,,,72.39576501741026,,12.99590856980535,,35.39440476075241,12.288703952464786,1.9430229911495698,11.712272782713825,0.1658963232155319,6.324528329535771,0.7393550287071186,0.9455825182562703,0.8011669609349471,79.91765201995008,14117.54126315219,37.388174267162604,0.3419198360724391,0.4967413690254339,0.0,19.317198867620256,1.8533046184841822,345.0,27.9049,17.9512,1199.8433943567873,9.640629650615736,14120.866362410887,969.7041006884166,-13.734300000000001,1.1712199409078679,10.365079665245275,,-24.975742427714348,3288.33303015077,63.27719600282865,0.0688133105267218,2023.6401377360025,1548.2211246914333,10686.274905056423,-6.348214002685308,2216.3208804802844,166.53183169743346,0.0,-8.833703440806627,90.0,17.9512,,,0.7639173999462798,-16.6436,4,67.62373749669
AP0002,0.745462354299595,0.6726438959007012,0.11910142790374578,0.12898704904963249,49.489247137855884,112.10843936630718,0.8448192534162691,4.5252605625978666e-21,0.15515356349546727,2.296199269010336e-05,4.2210955734769745e-06,2.718308826358034e-05,41.43282990669513,44.14408711564786,,,0.12907725402888642,0.29767254798103726,0.2662661605845016,312.2678861479831,0.09854050406930524,80.3735422419767,38.30024196277692,31.248576646104105,25.398883926327947,21.877026778400932,71.55455362374059,80.82349804469517,188.80375248635534,185.76720887964422,1333.0329183609545,1247.441652737465,1259.5877208324619,311.8739490675542,299.9997159131983,33.0,13.0,1682.6493563522636,1112.5314885653918,,,0.5114200569617079,0.24455111264479842,0.475941590111666,16.648330550631208,15.49049009938222,48.0809,22.8837,13.4205,2.4831,74.4025178803436,62.999320785011165,11.345639951573595,0.677557695042795,34.63723283007919,10.844712831108106,2.627873565831893,12.38677711471209,0.21215151782384947,4.126801598110771,0.7699241950178262,0.9558484913496649,0.741493108393231,73.05531072136027,14679.012220003035,38.121249795177256,0.31413188778220175,0.49416809193518485,0.0,18.654695583240287,0.39181573391098273,351.0,20.9924,15.249,1309.4844819802286,-0.553468584215859,14415.636644352333,723.3011934339852,-10.8688,0.42621393499866045,-24.696196740361756,,-23.801820696740624,3020.959989279632,48.93401318538786,0.11731826025663343,2246.6251182039255,1773.137416462999,11743.762602370087,-5.769659545814716,3330.1210406315795,883.985942029312,0.25,-6.674374061334973,103.0,15.249,1.0755,15.49049009938222,-1.1578404512489886,-14.1735,4,67.26438959007011
AP0003,0.807670944719043,0.7459717483983013,0.07268366067883467,0.12380224228199435,50.07122599508495,113.46445158410401,0.8455345034732205,0.0,0.1544189563919715,3.508552406030089e-05,1.1454610747962843e-05,4.654013480826374e-05,41.432829906695126,44.129439041064174,,,0.1387030616374145,0.3001506027311681,0.32952966032923187,328.56808144623307,0.08436512654358991,77.3911510987381,38.58788931555762,29.29977088209318,24.95039254459423,20.73876113496003,74.13579145666652,66.85851588852648,184.83571811727484,191.5091003036499,1324.7177930723205,1203.6354705983013,1209.245091372915,310.9858969888699,299.9997159131983,28.0,0.0,2226.771318802247,1126.598126242451,,,0.5262240036830201,0.23195935470162957,,16.789844383561643,,,,,,74.70499665500311,,10.144191495782872,,36.675626758437964,9.49780676850482,1.704470369788978,12.542852685119952,0.13589176342723489,5.572292095450562,0.7971195384673916,0.9362803109989823,0.8379034612246967,79.15175258246624,15007.779303529625,41.53353279806105,0.15595408821682152,0.49262524042537326,0.0,19.060215300566433,0.6123060594908949,351.0,22.0339,13.579,1267.0349252921192,-20.737775799854703,15711.730781490287,812.5371375499426,-11.1297,1.318908922911632,-1.744567905068834,,-24.347281326549112,3342.8119779200124,62.903888267599115,0.168673383831697,1921.4647594875757,1383.6945468266804,10647.726799858941,-6.006362361001772,2744.7677516128074,370.451694642642,0.0,-2.234345469620292,90.0,13.579,,,-0.18165230190706438,-12.4809,4,74.59717483983013
AP0004,0.740051533399064,0.714049721091537,0.1209519141134765,0.14955434704199327,50.40747014784682,113.97421902517745,0.8408359863180218,2.7099357589608166e-06,0.1591366848198704,1.5183524153829745e-05,9.43540219489174e-06,2.7328862107682304e-05,41.43282990669514,44.22708098285944,,,0.1491712373943324,0.2757374034851229,0.27911055312046573,322.0082104118607,0.0834725671626285,80.0839402736712,38.567086826831066,29.799012177632047,25.67096836771203,21.496057797749838,71.31422451330346,72.45393268878644,189.04662487917454,192.05619157155354,1231.0997451334654,1205.694708808298,1206.9221527932623,304.3486026332959,299.9997159131983,29.0,0.0,1925.52803324082,1047.7450652958487,,,0.5769166660447158,0.21124018640785558,,15.836169798549555,,,,,,73.19674528253918,,11.584043711669368,,35.63751147736219,11.055014846579471,0.5866077328218616,11.591560869954716,0.05060644889872828,18.84566845615826,0.7698051119835416,0.954331244057982,0.8435551711936937,72.52505027310832,13875.869105683629,37.772928213670966,0.16224565707075947,0.540391628811698,0.0,18.721244187237225,0.239972717195806,352.0,19.7822,15.8259,1216.3569351554343,-5.911811437517666,16974.17883753027,700.9117412506112,-13.351400000000002,0.45297291431641185,5.860056758369183,,-25.097988752607055,3233.2288477356906,62.50077783728159,0.0707266482873228,1993.7046657986111,1478.949780795718,10768.001190863717,-6.253103007661684,3081.8997364540705,317.93478218319757,0.25,-9.497625773530435,90.0,15.8259,,,0.384403029814667,-14.921500000000002,4,71.40497210915369
AP0005,0.730619852159796,0.6648723551500776,0.11366024239116546,0.1500504086815129,48.723457591627046,111.8485193780088,0.8300774153560547,0.014404174939338616,0.15551080934690556,2.2969705849327624e-23,7.600357701242849e-06,0.014411775297039858,41.43282990669513,43.562004989050266,0.0,,0.13191807495506766,0.29045179625498796,0.3667966228290931,328.8351565189943,0.10681059463111449,78.66739066458484,38.757395488404825,35.55388156552389,25.845254297231907,17.429575923815925,72.45201613030459,54.31744546541209,189.90480328770158,155.44771864739016,1264.4014744246679,1219.4803675128892,1222.769520265375,309.4539886240902,299.9997159131983,16.0,31.0,1361.4064443031834,986.2001914361094,,,0.6142423854519615,0.2191233540861664,0.5998981629304173,15.920692151490732,15.424493193661025,44.9738,26.9797,13.3106,2.3086,62.66412217349351,54.61083355975228,9.586169417734517,0.9487540114335764,36.33388911343657,8.703793099390865,1.5531176752504035,9.976561980675944,0.1556766427411274,5.604078324578712,0.8029851064280016,0.9079531896534974,0.7703748903862733,71.60074551166002,14132.536257052574,39.5413215801202,0.25043556515661636,0.590102963323433,0.0,18.718032584147743,0.32452581358886473,338.0,21.6596,15.2977,1249.450937337607,-4.969560403326673,14733.839061920487,837.5038622495453,-10.780800000000001,0.001157840451250891,-7.226642397634805,,-33.525104947772704,3516.174568292555,15.050070617019488,1.9099798990685513,2029.3425097786057,1540.7359854759468,10492.378023987538,-8.3495665724406,3817.1136801837483,1602.8274222041146,0.0,-2330.3931182349666,121.0,15.2977,1.7373,15.424493193661025,-0.4961989578297068,-13.560400000000001,4,66.48723551500775
AP0006,0.751736277190366,0.6661048864864912,0.07909456824609654,0.15897250608074198,49.79558125591482,112.58783555484627,0.8422264501199426,2.3943409160977513e-06,0.15776338094091644,6.568759128212428e-07,7.117722312208725e-06,1.016893914112772e-05,41.43282990669514,44.22820725748592,,,0.13865077704169207,0.27938434243098026,0.30370142567585395,339.04476088361537,0.035869997624650665,77.29854230220582,38.941625518674066,29.82997576975382,26.053344706588913,21.52004403681225,72.62717245764689,72.34067762172717,192.19866810479576,192.3779723739624,1245.713932928108,1198.7012417257256,1205.3743752735757,309.52402110064276,299.9997159131983,8.0,-4.0,1721.3207929796033,840.443933044111,,,0.5350936223892945,0.20800843954439585,,15.684106752618854,,,,,,69.88937918627336,,10.627029552168796,,35.57254031100719,10.301726783657495,2.0914634680825492,10.961524840317697,0.1908004131313844,4.9256068494001015,0.7849981104377055,0.9693891160352601,0.8530637071954831,73.67015516465584,13809.300325088678,39.980763405914495,0.18849366590269184,0.5605242308358397,0.0,18.611385780050995,0.13639930476207696,330.0,23.6674,15.2055,1230.02669141176,-6.391999875194581,15504.609325578815,850.9851865903266,-12.5325,0.21600156862745123,-3.9795333408198985,,-23.88009588125052,3227.444025693095,57.413702983240924,0.16064676562800495,1947.945339012146,1515.479906972249,10331.417083062066,-5.496829626980697,2826.11190313979,170.4927418971761,0.0,-26.641480852956512,86.0,15.2055,,,-0.09108344883158637,-13.987300000000001,4,66.61048864864912
AP0007,0.756600329539022,0.7055223508172127,0.08409568333245404,0.16190252172775815,49.04984223379435,110.995040085514,0.8429695651549993,3.845291853878009e-25,0.15694951086331366,7.004201987269738e-05,1.0881961814182226e-05,8.092398168687962e-05,41.43282990669513,44.19102168529768,,,0.14460532306264604,0.2816432944877411,0.20226517560514226,335.3542529048292,0.04386192617701462,72.02021907044103,38.41052570584842,33.457273605961674,24.543524047346654,16.770527971347555,68.56261554430857,62.62543852318267,180.17585725831393,180.97540448506675,1232.3357779102696,1169.5966858347037,1170.3022616733442,306.29442291038856,299.9997159131983,14.0,10.0,1944.5150220558166,1298.7469214563778,,,0.5516346040363508,0.20242349628508305,0.5801582132040257,14.808007477840452,15.536932366371206,45.5967,26.4533,13.244,2.3897,72.88392533297994,,12.855485402007,,33.180700171650486,11.287806502004026,0.9763769513737516,10.79265711345132,0.09046678135978711,11.560910451769889,0.737219876345503,0.8780536984034668,0.8270177016567322,74.14683229482415,13778.291944259663,39.30590678080689,0.22177627942259087,0.5525697343559771,0.0,24.16219392875777,14.369736588480961,333.0,24.6101,17.6383,1210.4768121249883,-9.910744780019296,16010.994949298369,965.2499132261111,-13.426100000000002,1.1955345903840993,-6.727775596569472,,54.229903407408074,2600.2170123262886,38.302771783644154,0.0,881.8872714894981,1062.0076885137428,5679.422100328651,52.00590596168363,3708.0867214860587,1457.1198769566818,0.0,-1.2519306190180701,100.0,17.6383,1.0628,15.536932366371206,0.728924888530754,-16.5755,4,70.55223508172126
AP0008,0.607809086427925,0.56917572411043,0.20718170209527548,0.1791918871946881,45.648046639036004,102.61241770452503,0.8436192636989785,3.7645653839611406e-10,0.15637000351352578,0.0,1.0732411038975178e-05,0.0,41.80029722790323,44.48588938863196,,,0.14179218194131657,0.27854287167124503,0.3062539776238616,287.7070850971426,0.44763147050605845,79.36894658433181,39.23690055168481,28.599067859786786,26.431320772791583,20.380224145030667,79.03474654848614,74.4135834881139,190.87891597182661,186.4712195714315,1208.2077164134316,1186.4665460467224,1188.4256279193432,305.8056625794126,299.9997159131983,40.0,0.0,2068.342012421956,1310.8242793616055,,,0.4760417021235211,0.22169061471009494,0.5524156313648956,16.15727755036261,16.277178361536393,45.8079,25.305,12.9462,2.4653,74.29598705360517,57.50236905659259,10.821136218370539,0.6199905431681814,31.1425883897659,10.209555450613815,2.6444456635819718,12.00420883703246,0.22029320711448905,3.8607544829583307,0.7629004750693987,0.943482758611016,0.8239001751244838,59.56529046993668,12712.595514026798,34.708869914158875,0.4644260340013398,0.5502336291044233,0.0,18.619283692354802,0.12565465576898238,335.0,20.8001,14.5649,1195.196995634653,0.3749335884611008,14546.782785160623,788.8496083607903,-11.5856,0.3595737845823237,-0.7371862419513491,,-25.32906516706369,3314.016009285609,58.29182312668011,0.2601113158015088,1921.8164458864399,1346.9671056859354,10751.949039713541,-6.168036207682603,2843.2175076998196,299.02622615695793,0.0,-8.637024438174208,90.0,14.5649,1.0782,16.277178361536393,0.11990081117378182,-13.486699999999999,4,56.917572411043
AP0009,0.793324180616188,0.6578759067589957,0.06317113116777558,0.12514164770113095,49.68851977121447,128.02835228422956,0.41041403575858787,0.09169661538746682,2.9278989570015974e-05,0.1997468071590718,0.2981132627053034,0.589556685251842,42.415478561836736,38.81055944616345,0.0,42.23879030785563,1.0352238748384765e-06,0.27829072605944244,3255.5794211206435,411.28534075530496,0.07837033185266833,68.58363381488078,40.47743183110544,29.669227678704623,27.752667171709902,21.513833385926702,73.4096577795472,73.36979381358893,189.87628253547513,190.8422127278646,1282.6993665970144,1167.6481847391808,1177.1879848954811,305.99780851551833,299.9997159131983,19.0,0.0,2297.178597217734,1522.935646074717,,,0.6624615443099156,0.22499653578147952,,16.30831140478109,,,,,,0.0005341976860873402,,7.507881379114523e-05,,44.65128295804007,0.9098007733260831,9.137122818184976e-06,8.711862216425839e-05,0.009137122818184976,99571.91026428695,0.9999984608307272,909.8007733260831,0.9999760366619017,77.74576970038642,13574.684715218023,40.19496975547296,0.36970719464501894,0.5900376293068341,0.0,18.821788477211776,0.3161373679857755,309.0,23.7391,14.0545,1245.9461460727223,-14.036429807740294,0.13032927787010057,868.7706776896734,-10.0035,0.9740011173784566,-12.779862038283682,,-24.632612405035733,3255.5794211206435,60.357875635290654,0.16994014519695638,2040.4260551876494,1601.0451219770644,10897.263473849827,-4.782201883832849,3443.4967502723193,494.0469865276177,0.5,4.374904837356326,90.0,14.0545,,,0.0074616384636030375,-13.1181,4,65.78759067589957
AP0010,0.699036494909856,0.6830094269633044,0.12218332221547237,0.1918201391832099,47.94042176779384,123.22179839474782,0.40331818517347606,0.08827670755852417,4.140930754395925e-05,0.20380527321623124,0.3045584247442246,0.5966404055189801,42.415478561836736,38.90579620840629,0.0,42.23879030785564,9.972737118053969e-26,0.2821823688914906,3315.604760548838,343.5007328983483,0.33629902848616283,74.06926813621232,41.966852000019806,28.881977040918258,25.665908231372246,20.66063911180072,66.98293102762331,75.30207400168142,179.83745175419207,186.02382654825846,1254.7033587194155,1175.2480777040623,1184.70585553848,297.9775201488481,299.9997159131983,52.0,0.0,2228.775353371033,1615.8123537603128,,,0.7711037954501838,0.17198179634721308,0.6749982032443611,12.16401448294386,12.3129899543379,43.1333,29.1149,13.1027,2.4399,4.6912121161212154e-23,5.315560119556486e-23,8.914851120628629e-24,2.75346014193026e-25,46.622379390425856,0.1559716929046967,-8.386466230718004e-25,5.706397212306018e-24,-8.386466230718004e-22,,1.0,155.9716929046967,1.0,68.50557650116588,13483.929318309383,36.07553141525065,0.4155444491034698,0.7233413403966628,0.0,23.677776079706934,12.438849608698739,342.0,23.3321,19.0033,1227.4300561958028,-8.868983308461697,1.2251991771552616e-20,719.7216201348741,-10.7394,3.883654171367178,-13.745105334157415,,-25.25588404360521,3315.604760548838,58.87048772996471,0.2277248472290403,1938.4853121968724,1375.2540225018324,10765.603647763153,-6.380737178783923,2836.482382079147,436.1550043347116,0.25,12.393857808743718,90.0,19.0033,0.518,12.3129899543379,0.14897547139403855,-18.485300000000002,4,68.30094269633045
