n_escalones_evaluados,fusion_sn_extraido_adicional_kg,reduccion_sn_extraido_adicional_kg,reduccion_feo_reducido_adicional_kg,metal_equivalente_kg,uplift_J_total_kgSn,pct_escalones_con_mejora,support_medio_historico,support_medio_recomendado,Batch,fold,es_lockbox,dist_Fusión_tasa_feed_Carbon_kg_min,dist_Fusión_tasa_feed_CaO_kg_min,dist_Reducción_tasa_feed_Carbon_kg_min,dist_Reducción_tasa_gn_nm3_min,dist_Reducción_tasa_o2_nm3_min,dist_Reducción_tasa_aire_nm3_min,dist_Reducción_duracion_plan_min,dir_Fusión_tasa_feed_Carbon_kg_min,dir_Fusión_tasa_feed_CaO_kg_min,dir_Reducción_tasa_feed_Carbon_kg_min,dir_Reducción_tasa_gn_nm3_min,dir_Reducción_tasa_o2_nm3_min,dir_Reducción_tasa_aire_nm3_min,dir_Reducción_duracion_plan_min,dist_total,dist_F,dist_R,pct_escalones_sin_cambio,rendimiento_proxy_batch,rendimiento_ha_batch,frac_sn_metal,frac_sn_dross,frac_sn_polvo,ley_sn_conc_batch_pct,ley_sn_carga_batch_pct,espesor_ladrillo_norm_mm,sn_cargado_batch_kg,temperatura_media_fusion,frac_carga_secundaria_media_fusion,fecha_inicio_batch,metal_equivalente_kg_por_t_cargada
10,-18.594138046871194,352.40241854109894,-606.913145065533,536.8936000068521,641.1452258068264,40.0,0.2295919236508371,0.235880747785543,AP0001,0,False,0.09179001136802989,0.09067829444466084,0.09930498000303686,0.09557950796014236,0.13741355827291932,0.25406694066683516,0.09191723527649956,-0.09179001136802989,0.09067829444466084,0.041639454094544004,-0.06960918969336846,-0.08478768258939681,0.1949216500708686,-0.09191723527649956,0.12296436114173201,0.09123415290634537,0.13565644443588665,0.6,79.91765201995008,0.815486245101531,0.7991765201995008,0.08263694984335675,0.11818652995714247,41.43282990669513,44.15085592474773,299.99971591319826,49907.386443483614,1199.8433943567873,7.04913158954446e-05,2026-04-21 18:36:00,10.757798359464166
10,0.0,4.067791279068899,15.611269990746223,-0.6155897181549674,13.893208857373564,10.0,0.1740898094888263,0.1749295245178285,AP0002,0,False,0.0,0.0,0.029586483817260992,0.007986334233646903,0.002541741481595627,0.0901689954527599,0.04408250954187444,0.0,0.0,0.029586483817260992,-0.007986334233646903,0.002541741481595627,-0.0901689954527599,0.04408250954187444,0.024909437789591125,0.0,0.034873212905427574,0.9,73.05531072136027,0.745462354299595,0.7305531072136027,0.12935509971758247,0.14009179306881472,41.43282990669513,44.14408711564786,299.99971591319826,49489.247137855884,1309.4844819802286,3.2638419299333144e-05,2026-04-22 03:22:00,-0.012438858009704566
10,-164.74545630363264,379.9942474976117,-432.20054637059457,531.0713207282623,390.35049017006963,60.0,0.2643841277046499,0.2580178472734965,AP0003,2,False,0.19830512810603096,0.030140170033633024,0.49815771550198457,0.3307874312813954,0.8737714039160062,2.264347548108017,0.3040349003603016,-0.19830512810603096,0.030140170033633024,0.41971421291903205,0.27116921074470124,0.8164725862461105,-1.8445732649971962,0.2401449778905918,0.6427920424724812,0.114222649069832,0.854219799833541,0.4,79.15175258246624,0.807670944719043,0.7915175258246625,0.07712140760278896,0.13136106657254842,41.432829906695126,44.129439041064174,299.99971591319826,50071.225995084955,1267.0349252921192,3.2441315410357124e-05,2026-04-22 12:29:00,10.606317504196777
10,52.02142994054793,255.03412261281193,-276.6775762132188,331.2746095845063,399.97924571491035,50.0,0.23428268925933846,0.23862964818005244,AP0004,4,False,0.062400327668527995,0.13286572829847412,0.07346440812500295,0.17146880075207804,0.17116650732998728,0.2244790429898748,0.11249153268869311,0.0304727086089538,-0.13286572829847412,-0.001272350105221658,-0.17146880075207804,-0.1181666059326798,-0.20439512655405362,-0.11249153268869311,0.13547662112180547,0.09763302798350106,0.15061405837712724,0.5,72.52505027310832,0.740051533399064,0.7252505027310832,0.12284919932885231,0.1519002979400646,41.43282990669514,44.22708098285944,299.99971591319826,50407.47014784682,1216.3569351554343,2.62387222673284e-05,2026-04-22 21:08:00,6.571934846419919
10,-237.85283252773934,178.75579527857087,-118.52087610449198,245.23292633852458,918.5529967785446,60.0,0.22387940525409022,0.25725052341202836,AP0005,3,False,0.3207128291182477,0.21575204834713727,0.313753539437561,0.38015058130244483,0.8657078317915889,1.8399638225822477,0.6571910042521575,0.09460016635011904,0.21575204834713727,0.14415857248219427,0.3339918873646768,0.8657078317915889,-1.8399638225822477,0.6571910042521575,0.6561759509759122,0.2682324387326925,0.8113533558732,0.4,71.60074551166002,0.730619852159796,0.7160074551166002,0.12240181182456374,0.16159073305883612,41.43282990669513,43.562004989050266,299.99971591319826,48723.45759162705,1249.450937337607,0.014676235221650857,2026-04-23 05:45:00,5.033159354041143
9,-64.42139261444754,347.9334615175697,-107.9219990098004,388.684842260388,421.8194689478639,44.44444444444444,0.2717846990608393,0.27172258992416837,AP0006,4,False,0.061242052243830634,0.008605527455563472,0.09594548517162109,0.05620694315623898,0.069920086945525,0.2938866898015214,0.0704257427041353,-0.061242052243830634,0.008605527455563472,0.07706000022181503,0.05620694315623898,-0.007352421808177699,0.2938866898015214,0.025847345914542363,0.09374750392549082,0.03492378984969705,0.11727698955580834,0.5555555555555556,73.67015516465584,0.751736277190366,0.7367015516465584,0.08747735129382754,0.175821097059614,41.43282990669514,44.22820725748592,299.99971591319826,49795.58125591482,1230.02669141176,1.1348174603105027e-05,2026-04-23 14:40:00,7.805609101394298
8,-683.3554147983004,31.967975490844083,0.0,120.80417941462315,363.1631583635002,62.5,0.20210307202550487,0.2151461787505557,AP0007,1,False,0.27543013808433453,0.34229960454167047,0.20424407386580656,0.07391635433212339,0.3540848114405095,1.4887573539390162,0.11361299650143551,-0.13137687557317904,-0.34229960454167047,-0.20424407386580656,-0.07391635433212339,0.3540848114405095,-1.4887573539390162,0.11361299650143551,0.40747790467212797,0.3088648713130025,0.44692311801577816,0.375,74.14683229482415,0.756600329539022,0.7414683229482415,0.08838031171581676,0.1701513653359418,41.43282990669513,44.19102168529768,299.99971591319826,49049.84223379435,1210.4768121249883,8.27745483211954e-05,2026-04-23 22:38:00,2.462886197244311
4,0.0,770.9850454191532,-1823.230352324737,1317.9541511165742,909.2646375000688,100.0,0.33701867581228345,0.29309573933280597,AP0008,0,False,,,0.8860622443549422,0.7615995201033408,1.6263912266043001,2.8790414445494146,0.7181563130579883,,,0.8860622443549422,0.7570466091587252,1.6263912266043001,-2.8790414445494146,0.64850277852068,1.3742501497339972,,1.3742501497339972,0.0,59.56529046993668,0.607809086427925,0.5956529046993667,0.21681947670288612,0.18752761859774708,41.80029722790323,44.48588938863196,299.99971591319826,45648.046639036,1195.196995634653,,2026-04-24 07:23:00,28.87208211861411
10,175.437971260596,40.49160575940414,11.932386575555611,14.104953522859976,415.7529053975825,50.0,0.2550675893187388,0.27349402207312706,AP0009,2,False,0.5393297266420528,0.019360406027426877,0.0035567336711423638,0.046729670217351506,0.04382897248076715,0.06357428084043731,0.03882819508929478,0.11721574119833493,0.019228853845175423,-0.0035567336711423638,-0.046729670217351506,-0.04382897248076715,-0.06357428084043731,0.03882819508929478,0.1078868549954961,0.2793450663347398,0.03930357045979862,0.5,77.74576970038642,0.793324180616188,0.7774576970038642,0.07465371759361254,0.1478885854025233,42.415478561836736,38.81055944616345,299.99971591319826,49688.51977121447,1245.9461460727223,0.5889689319920993,2026-04-24 15:46:00,0.28386745243780137
10,-160.85135031055324,0.0,0.0,20.910675540371923,33.438701381262945,20.0,0.16339980692710424,0.16411381000714367,AP0010,1,False,0.08557092998868356,0.008631466739631383,0.0,0.0,0.0,0.0,0.0,-0.034503653466172166,0.008631466739631383,0.0,0.0,0.0,0.0,0.0,0.013457485246902134,0.04710119836415747,0.0,0.8,68.50557650116588,0.699036494909856,0.6850557650116589,0.12254939092734289,0.19239484406099827,42.415478561836736,38.90579620840629,299.99971591319826,47940.42176779384,1227.4300561958028,0.599878308490001,2026-04-24 23:48:00,0.43618046669793004
