kpi,modelo,muestra,variable,coef_por_sd,ci_lo,ci_hi,p,r2_adj,n,significativa,consistente
f_dross,M1_Fusion,dev,C_por_Sn_F,-0.00867138615599304,-0.015397926400588138,-0.0019448459113979395,0.01151566078173763,0.12197782701273419,298,True,True
f_dross,M1_Fusion,dev,cal_por_carga_F,0.0023388784584988066,-0.004775638484709211,0.009453395401706824,0.5193595667271733,0.12197782701273419,298,False,False
f_dross,M1_Fusion,dev,gn_por_t_carga_F,0.0031921350649469146,-0.0033628675818938763,0.009747137711787705,0.3398522419204997,0.12197782701273419,298,False,True
f_dross,M1_Fusion,dev,exceso_o2_F,0.001681020348135253,-0.005091139672869676,0.008453180369140181,0.6266039666146783,0.12197782701273419,298,False,True
f_dross,M1_Fusion,dev,enriq_o2_F,0.002797039909898948,-0.012839439194802231,0.01843351901460013,0.7258909559728184,0.12197782701273419,298,False,False
f_dross,M1_Fusion,dev,T_media_F,-0.003899857203384182,-0.01805034420434748,0.010250629797579115,0.5890841319107474,0.12197782701273419,298,False,False
f_dross,M1_Fusion,dev,T_final_F,-0.0012121635305332949,-0.01353843981936407,0.011114112758297481,0.8471606655193737,0.12197782701273419,298,False,False
f_dross,M1_Fusion,dev,dur_F,0.003981495388622493,-0.008020572512035869,0.015983563289280855,0.5155714887258116,0.12197782701273419,298,False,False
f_dross,M1_Fusion,dev,feed_rate_F,0.00418306892688816,-0.008949335336231375,0.017315473190007695,0.5324253610279217,0.12197782701273419,298,False,False
f_dross,M1_Fusion,dev,lanza_media_F,-0.008363917648659215,-0.014999767847759093,-0.0017280674495593383,0.013497495345839595,0.12197782701273419,298,True,True
f_dross,M1_Fusion,dev,lanza_std_F,0.0025129909778079176,-0.008223387824379608,0.013249369779995444,0.6464098218779939,0.12197782701273419,298,False,True
f_dross,M1_Fusion,dev,feed_sn_total_t,-0.0037920841147798734,-0.017492102638703384,0.009907934409143636,0.5874696715108135,0.12197782701273419,298,False,False
f_dross,M1_Fusion,dev,ley_sn_conc_batch_pct,0.007884708547354579,0.0018078335636297644,0.013961583531079394,0.010989220170642192,0.12197782701273419,298,True,False
f_dross,M1_Fusion,dev,espesor_ladrillo_norm_mm,0.006715864675763338,-0.007494731575679446,0.020926460927206122,0.3543055398320728,0.12197782701273419,298,False,False
f_dross,M1_Fusion,dev,frac_carga_secundaria_F,0.0018597436810274977,-0.008140544513607071,0.011860031875662065,0.7154902292414197,0.12197782701273419,298,False,True
f_dross,M1_Fusion,dev,feed_dross_Fe_total_t,0.00045127740185503247,-0.008722231955854877,0.00962478675956494,0.9231889405404813,0.12197782701273419,298,False,True
f_dross,M1_Fusion,total,C_por_Sn_F,-0.009681479680234936,-0.014992845322451225,-0.004370114038018647,0.00035346293356361603,0.1261839383130713,361,True,True
f_dross,M1_Fusion,total,cal_por_carga_F,0.004140637220150946,-0.002658366200060161,0.010939640640362052,0.232622424245718,0.1261839383130713,361,False,False
f_dross,M1_Fusion,total,gn_por_t_carga_F,0.0025883441180908078,-0.003940667407310354,0.00911735564349197,0.4371570266889545,0.1261839383130713,361,False,True
f_dross,M1_Fusion,total,exceso_o2_F,0.002961040196261697,-0.0025178590765911474,0.008439939469114541,0.28948526740018365,0.1261839383130713,361,False,True
f_dross,M1_Fusion,total,enriq_o2_F,0.0030608990736227465,-0.012112187008974089,0.018233985156219584,0.6925567687472123,0.1261839383130713,361,False,False
f_dross,M1_Fusion,total,T_media_F,-0.006435551779974269,-0.019694452285767532,0.006823348725818995,0.34144224508324283,0.1261839383130713,361,False,False
f_dross,M1_Fusion,total,T_final_F,0.0005497767308150631,-0.010980503049601062,0.012080056511231188,0.925543455596581,0.1261839383130713,361,False,False
f_dross,M1_Fusion,total,dur_F,0.004722223182504883,-0.009190242329761497,0.01863468869477126,0.5058851037126204,0.1261839383130713,361,False,False
f_dross,M1_Fusion,total,feed_rate_F,0.006118670714237136,-0.00660943356844669,0.018846774996920963,0.3460920886947164,0.1261839383130713,361,False,False
f_dross,M1_Fusion,total,lanza_media_F,-0.009130964760282927,-0.014935641779506507,-0.0033262877410593465,0.0020486076798000128,0.1261839383130713,361,True,True
f_dross,M1_Fusion,total,lanza_std_F,0.0025535903761035174,-0.007825057389510523,0.012932238141717558,0.629639155507735,0.1261839383130713,361,False,True
f_dross,M1_Fusion,total,feed_sn_total_t,-0.004958060803360223,-0.01818525465715207,0.008269133050431626,0.46254058269783194,0.1261839383130713,361,False,False
f_dross,M1_Fusion,total,ley_sn_conc_batch_pct,0.0044903100422656545,-0.001098139465211788,0.010078759549743098,0.11529618449405708,0.1261839383130713,361,False,False
f_dross,M1_Fusion,total,espesor_ladrillo_norm_mm,0.013225961328274525,0.0007892191186280508,0.025662703537921,0.03712918841519882,0.1261839383130713,361,True,False
f_dross,M1_Fusion,total,frac_carga_secundaria_F,0.002263804792184728,-0.00784508454255646,0.012372694126925918,0.6607207836212554,0.1261839383130713,361,False,True
f_dross,M1_Fusion,total,feed_dross_Fe_total_t,0.0008427765585257597,-0.00879455266834341,0.010480105785394931,0.863911419015203,0.1261839383130713,361,False,True
f_dross,M1_Fusion,lockbox,C_por_Sn_F,-0.0004911632052742934,-0.02137066813023969,0.020388341719691103,0.9632260791438142,0.13505385056638552,63,False,True
f_dross,M1_Fusion,lockbox,cal_por_carga_F,-0.00975695261936567,-0.08924434165624269,0.06973043641751135,0.8098787054767513,0.13505385056638552,63,False,False
f_dross,M1_Fusion,lockbox,gn_por_t_carga_F,0.005324752610332515,-0.02159360611845758,0.03224311133912261,0.6982359754250603,0.13505385056638552,63,False,True
f_dross,M1_Fusion,lockbox,exceso_o2_F,0.011202306712752226,0.0008354448683107474,0.021569168557193704,0.0341823855117908,0.13505385056638552,63,True,True
f_dross,M1_Fusion,lockbox,enriq_o2_F,-0.003457581240701729,-0.04737861960164404,0.040463457120240576,0.8773782508745318,0.13505385056638552,63,False,False
f_dross,M1_Fusion,lockbox,T_media_F,0.040575486592031244,-0.03536564454285827,0.11651661772692076,0.2950016385404318,0.13505385056638552,63,False,False
f_dross,M1_Fusion,lockbox,T_final_F,-0.03942044563240516,-0.09768436388845819,0.01884347262364787,0.18481298987220973,0.13505385056638552,63,False,False
f_dross,M1_Fusion,lockbox,dur_F,-0.007919914819582367,-0.22501141837055183,0.20917158873138708,0.9429972389504715,0.13505385056638552,63,False,False
f_dross,M1_Fusion,lockbox,feed_rate_F,-0.012405268797008831,-0.10074249238116212,0.07593195478714446,0.7831323565351839,0.13505385056638552,63,False,False
f_dross,M1_Fusion,lockbox,lanza_media_F,-0.01498482984414731,-0.031555803466944934,0.001586143778650316,0.07633485728445942,0.13505385056638552,63,False,True
