target,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,r2_oof_en_kg,mae_oof_en_kg,r2_lockbox_en_kg,mae_lockbox_en_kg,set
T0_feo_extraido_kg,1070,242,0.2917301012526099,570.0391557634425,0.3019889883278277,498.4833540192809,0.2917301012526099,570.0391557634425,0.3019889883278277,498.4833540192809,feo_kg_set
T1_frac_feo_extraido,1026,242,0.227402770442801,0.05290803606243357,0.17003059117043284,0.048301862464422585,0.26160234083098977,580.4596424712433,0.3032364066630209,508.0420391307011,feo_kg_set
T2_k_app_feo,1026,242,0.0662762821095233,0.002081521357099401,0.09693197560776723,0.0020309178398216785,0.21871165614453958,596.1497947388922,0.32029971790507816,512.3967098455369,feo_kg_set
T3_feo_extraido_suav_kg,1084,242,0.02968594653873191,458.9270794699977,0.24744924452421602,367.6577679142169,-0.20068069130587207,708.2585161721502,-0.3335355808280469,639.7604453804187,feo_kg_set
T4_feo_extraido_kg_abs_error,1070,242,0.3221100050938279,546.7440252276228,0.2857151374343271,513.8638048502702,0.3221100050938279,546.7440252276228,0.2857151374343271,513.8638048502702,feo_kg_set
T5_delta_feo_corr_pts,1084,242,0.16080534580108163,1.3048498750025253,0.00011052952103829394,1.1096169781886858,0.03891862601736107,620.9239288210925,-0.013072558196485007,579.1686786092557,feo_kg_set
T0_feo_extraido_kg,1070,242,0.2958962885651807,570.0983452972333,0.2997613658799245,497.00531819934145,0.2958962885651807,570.0983452972333,0.2997613658799245,497.00531819934145,feo_kg_set_plus
T1_frac_feo_extraido,1026,242,0.2294144684843744,0.052683764351936786,0.20101850982964586,0.04715345185444254,0.2659439857970006,577.8737059329243,0.31515662950030676,499.23852235769596,feo_kg_set_plus
T2_k_app_feo,1026,242,0.06283236976026196,0.002081532775735763,0.11339639952773062,0.0020040836600700982,0.21657514201450123,596.6908853828879,0.32877557285037695,507.54271681730194,feo_kg_set_plus
T3_feo_extraido_suav_kg,1084,242,0.03147692239226807,456.23992287915684,0.23997863308560097,368.7727557851611,-0.19630251261539855,706.6160202858043,-0.3435584841095558,642.060126103622,feo_kg_set_plus
T4_feo_extraido_kg_abs_error,1070,242,0.3187086614595176,546.8881841399251,0.31463478748839624,498.90337167749584,0.3187086614595176,546.8881841399251,0.31463478748839624,498.90337167749584,feo_kg_set_plus
T5_delta_feo_corr_pts,1084,242,0.1683494278713199,1.3019282324816646,-0.043909525221681234,1.1073710771854144,0.033970220235368886,619.9450377621843,-0.07015660719509342,579.1661745819445,feo_kg_set_plus
