,rendimiento_ha_batch,frac_sn_dross,frac_sn_polvo,frac_sn_metal
feed_total_t,-0.001429500529833559,0.04945460313035454,-0.1119898520931702,-0.06867961986076604
F_frac_conc,0.0834758997239968,-0.07441861582864516,-0.020188430409772706,0.12425051487675401
F_frac_reciclo,0.059100367884113214,-0.020226334703001447,-0.11802753302202636,-0.054587994897894815
F_frac_Fe,0.04765635988146941,0.0394797736626689,-0.12103574753707737,0.06742348554332848
F_frac_dross,-0.12222773403044394,0.052115785198591336,0.13240101737091653,-0.10445000487588253
F_frac_pellets,-0.07778635607389038,0.0022411352218197705,0.13732521605345432,-0.06251007903736039
F_frac_secundaria,-0.08951858135669882,0.027287614208536752,0.09457681703146405,-0.12546904282567953
ley_sn_conc_batch_pct,-0.01338373604491559,0.07393223488634602,-0.09660065088917993,-0.04444696165990996
ley_sn_carga_batch_pct,-0.01727846473009227,0.05890862950261824,-0.07998913772262262,-0.04834307898512331
ley_sn_dross_batch_pct,0.04679411267063129,-0.06667918917127963,0.02208855344959685,0.0007335841689101146
F_cal_por_t_carga,-0.06073049981420219,0.07066791748969582,0.04455241232233542,-0.020600002959679675
F_C_por_t_Sn,0.09537773748340295,-0.2320956770842753,0.15314457744311755,0.06559143443405169
R_C_por_t_Sn_escoria_inicio,-0.06611752171334527,0.08551190421532168,-0.0744139718298363,-0.16323263086474546
F_feed_rate_mean,0.002866084056452703,0.018412116675632136,0.0057421580188157205,0.09515939329602198
F_feed_rate_cv,0.036488690351367335,-0.07556049566286768,-0.05093646668127955,-0.09297428961679863
F_gn_por_t_carga,0.010651309380494044,-0.02061897526529923,-0.007881981128627046,-0.005592150322383741
F_o2_enriq_mean,0.029885946044262285,0.007528084387803538,-0.057285106069733846,0.13290138031112303
R_o2_enriq_mean,-0.06002257958190009,0.06556892063138316,0.046803286661039896,0.05007259436540231
F_gn_rate_mean,0.028719148805922644,0.00033353313279184686,-0.00917563940780604,0.1359834946000391
R_gn_rate_mean,-0.11470457958746924,0.16147088996935466,-0.023662891978901278,-0.042714881282062404
F_tiro_mean,0.03900568385195907,0.0264108407248382,-0.0723438044860902,0.04135823494822647
R_tiro_mean,-0.09577185566168656,0.14303588004494158,-0.053216684852675625,-0.08602941390374033
F_tgas_mean,-0.07037121733189583,0.13571459378839124,-0.04266150586225271,-0.08184817070926445
R_tgas_mean,-0.0791944811312817,0.1471060720105243,-0.08672810067868997,-0.10558530764415695
F_temp_max,-0.08200415417762066,-0.01427969554761726,0.11424325607262395,-0.13031229300424058
R_temp_mean,-0.08338913301337339,-0.005316925408862671,0.08898378133481806,-0.17997420019399812
