,rendimiento_ha_batch,frac_sn_dross,frac_sn_polvo,frac_sn_metal
R_temp_max,-0.07226604545412522,0.010849502691600997,0.06424743630396214,-0.15699443769943844
F_termocupla_mean,0.12111178259045796,-0.08269003515062302,-0.08272292048036359,0.1490235396984744
espesor_ladrillo_norm_mm,-0.07116484224025471,0.030337642553234286,0.0565756070999629,-0.1354734687613036
F_desvio_duracion_total,0.013125706088300845,-0.05411574110741338,-0.06577993597034111,-0.14894550353525401
R_desvio_duracion_total,0.06703686760408167,-0.0936832084717303,0.06752509192403891,0.07401981519441697
F_lanza_mean,0.11550407284964212,-0.20913716357200957,0.08158711178393935,0.13950247784635492
F_lanza_std,0.0790285366351623,-0.1500333722855848,0.12540124845359898,0.1463403497557189
F_tipp_mean,0.05373599586687195,-0.05026523994237749,-0.0186181158044442,-0.027748783982176766
R_tipp_mean,0.1705155838699135,-0.12981258206193508,-0.0011249143813092187,0.1810265062965539
F_b2_final,0.06353963445857627,0.0618774327502385,-0.1579373338842891,0.06280232421705617
F_irf_final,0.22443803235547433,-0.10956385980344498,-0.11792323500438533,0.3001383755533093
F_feo_final,0.12128662847062165,0.0035476103624019805,-0.13172570744997777,0.1491144766641379
F_masa_escoria_final_t,0.07693640935110578,-0.12005989093116624,0.02172551180218648,0.07578779020829189
F_sn_escoria_final_t,0.09976779501684016,-0.13040204465802482,0.08913724409890676,0.2007746539946843
F_sn_extraido_t,-0.07683154281077645,0.11704533913059535,-0.16350421520362152,-0.245375026197592
R_sn_extraido_t,0.0958006935771707,-0.1163529764575189,0.07752400281245457,0.20085790236370898
R_feo_extraido_t,-0.1950972255142839,0.15102043810595173,0.14223044243037258,-0.037518999183052515
F_feo_escoria_final_t,0.118769737974995,-0.08349781505515731,-0.04600266977368653,0.1445432963731716
R_feo_extraido_frac,-0.26253916409046935,0.1990396016430168,0.18086070622972913,-0.08151734709887165
R_selectividad_masa,0.2460599325391965,-0.23432835064202337,-0.07106082147412243,0.1416145136606956
F_avance_reduccion_final,-0.09661608339722953,0.13209640089295585,-0.11310088347638667,-0.21143675744011983
R_sn_extraido_frac,0.0205861125682126,0.022201221285257346,-0.04705901858455386,-0.008216892915627248
R_frac_sn_extraido_R0,0.013416664019613644,-0.02890329516857609,0.013629237917533678,0.0295825708307804
fusion_carbon_total_kg,0.09333201623322351,-0.16342099002297042,0.013671822875566592,0.02048439837743783
fusion_carbon_rate_mean,-0.010741238143253878,-0.08063950835926109,0.15204468964533296,0.059499300617573844
fusion_carbon_rate_cv,0.04052663092957795,-0.020644524636866907,-0.05098452985551577,0.07752754430950357
fusion_b2_mean,0.01262658436506945,0.11503369502558373,-0.10336134025088893,0.049829101687046934
fusion_frac_b2_optimo,,,,
fusion_o2_exceso_mean,-0.1178775091832403,0.09280429775844738,0.057610923798240406,-0.024846004957336975
fusion_o2_exceso_std,-0.06201277519656395,0.012675397384427353,0.046693247288446454,-0.0902308942242104
fusion_duracion_total_min,0.0037204570863310386,0.007763719499500881,-0.13537872780514443,-0.1962091461299707
fusion_ley_sn_pico,0.0767445279893844,-0.2092862991296585,0.13445104673695005,0.07633735316462203
fusion_ley_sn_final,0.1130495686486362,-0.14608954511428032,0.10050427759115722,0.21597416376553788
fusion_temp_mean,-0.07334873210563604,-0.02515942744617209,0.11591206007492036,-0.11437327960713665
fusion_temp_trend,-0.06517040045999475,0.13891003598287482,-0.10200839562468277,-0.14191701994153746
fusion_cao_total_kg,-0.059059042789843794,0.08772111670239065,-0.04753802382301984,-0.1053284292871455
fusion_interaccion_C_x_Sn_prev_mean,0.06133647548562606,-0.19331122511639826,0.1824929634880508,0.16103983918567827
delta_FR_ley_sn_escoria_pct,-0.10660131376224226,0.132843475819386,-0.07924261944023292,-0.21162186399184477
delta_FR_ley_feo_escoria_pct,0.238460335434323,-0.24720128942921646,0.01149829231549113,0.24940454415126853
delta_FR_temperatura_horno_celsius,0.06929308403546146,-0.03332434889260549,-0.08755377541925316,-0.0005518411294542389
delta_FR_presion_punta_lanza_kpa,-0.050525630036968604,0.014690464602299473,0.10114455091635882,0.018535022699528458
delta_FR_exceso_o2_combustion_pct,0.0758993698409593,-0.08835035929119972,0.01368497700746282,0.06329831509483434
reduccion_carbon_total_kg,0.1351851912750731,-0.23308350179686704,0.12220175883391655,0.15596436798633387
reduccion_carbon_rate_first,-0.07112922447003886,-0.010396696997480857,0.1401657496508147,0.07332555806088364
reduccion_carbon_decay_ratio,0.06933849110414048,-0.030960146648333516,-0.0671238907999622,0.011381233177098504
reduccion_gn_total_nm3,-0.04109529438579204,0.07272729802368022,-0.012628346066490848,0.027200088638611855
reduccion_o2_total_nm3,-0.03829485453169146,0.06676569366986493,0.0072063140844958185,0.07147512585278933
reduccion_aire_total_nm3,0.10923410290937409,-0.12825847767990456,0.04262735571213751,0.1238230055901266
reduccion_o2_exceso_mean,0.12272746475008404,-0.0747654295753707,-0.04134204524743111,0.16450468811995958
reduccion_lanza_pos_mean,0.08001117595707673,-0.08859118109053066,0.04328733898362323,0.10697458634365853
reduccion_lanza_pos_std,0.06992903596113861,-0.043433552218931304,0.05405677854550969,0.21824209952087337
reduccion_frac_en_valle_lanza,0.01728900753062342,0.05085548743299148,-0.07426135127768745,0.011858472211375565
reduccion_selectividad_media,-0.013180728733642708,0.011159914907944476,0.044993954791019426,-0.014814077939833593
reduccion_duracion_total_min,0.08606040017586956,-0.11540105160730625,0.055304308893274395,0.06325850152479515
reduccion_ley_sn_inicio,0.1130495686486362,-0.14608954511428032,0.10050427759115722,0.21597416376553788
reduccion_feo_caida_total,0.2736877893041005,-0.25090902651822933,-0.06865294083422559,0.21569047817805304
reduccion_sn_caida_total,-0.10838123420713841,0.14167543924998174,-0.09751727143842077,-0.21622015766997824
