fase,target,variante,palanca,theta_unidad,theta_1sd,ci_lo,ci_hi,significativo,signo_teorico,concuerda
Reducción,sn_extraido_est_kg,v1_Cx,_Cx_sn,1.3436180869579066,369.9944859805115,-153.5963138831269,824.9103199454001,False,1,True
Reducción,sn_extraido_est_kg,v1_Cx,tasa_gn_nm3_min,16.471756558793476,80.98558159229975,13.26048369342318,173.15518132715016,True,1,True
Reducción,sn_extraido_est_kg,v1_Cx,exceso_o2_combustion_pct,-0.6255366387243555,-7.016837096767353,-29.05027970999222,20.869635828556333,False,-1,True
Reducción,sn_extraido_est_kg,v1_Cx,duracion_plan_min,-13.002115832287457,-76.5139069530786,-476.1774054636691,441.78861825217217,False,1,False
Reducción,sn_extraido_est_kg,v2_Cx_y_Carbon,_Cx_sn,1.705135125439266,469.5460714529522,-159.3598956663305,1075.110085834312,False,1,True
Reducción,sn_extraido_est_kg,v2_Cx_y_Carbon,tasa_gn_nm3_min,18.512367760999844,91.01851793546227,24.98630085240095,174.03635637640667,True,1,True
Reducción,sn_extraido_est_kg,v2_Cx_y_Carbon,exceso_o2_combustion_pct,-0.33562558657995867,-3.764815553156284,-25.857168964231924,22.55997437637032,False,-1,True
Reducción,sn_extraido_est_kg,v2_Cx_y_Carbon,duracion_plan_min,-15.4365486524754,-90.83988040924731,-521.5437314467566,414.88505834843596,False,1,False
Reducción,sn_extraido_est_kg,v2_Cx_y_Carbon,tasa_feed_Carbon_kg_min,-3.983989799160856,-87.28341382491851,-285.2882524159801,55.116356003588734,False,1,False
Reducción,sn_extraido_est_kg,v3_solo_Carbon,tasa_feed_Carbon_kg_min,5.056671972400775,110.78431788075557,-65.55475946306058,282.8702130503331,False,1,True
Reducción,sn_extraido_est_kg,v3_solo_Carbon,tasa_gn_nm3_min,18.57649781669486,91.33382188252278,26.242823326429413,175.03904102685075,True,1,True
Reducción,sn_extraido_est_kg,v3_solo_Carbon,exceso_o2_combustion_pct,-0.7746325907245932,-8.68929230116045,-37.36094451718328,21.48591967910017,False,-1,True
Reducción,sn_extraido_est_kg,v3_solo_Carbon,duracion_plan_min,-8.719689152699425,-51.31299344623947,-460.59411646110567,474.86396331076105,False,1,False
Reducción,feo_extraido_est_kg,v1,tasa_feed_Carbon_kg_min,-22.80926009204372,-500.1730609171379,-1177.472193643885,541.4490467907386,False,1,False
Reducción,feo_extraido_est_kg,v1,_Cx_feo,21.822171864246105,380.1496093116553,-495.56464228625333,1000.2066555220953,False,1,True
Reducción,feo_extraido_est_kg,v1,tasa_gn_nm3_min,-7.820230762508871,-38.39345602625395,-139.7867273635252,51.779438082519654,False,1,False
Reducción,feo_extraido_est_kg,v1,exceso_o2_combustion_pct,-7.163462474242097,-80.71177930729645,-130.5821213911272,-26.534950789805084,True,-1,True
Reducción,feo_extraido_est_kg,v1,tasa_aire_nm3_min,0.8537774139071477,8.360893637834248,-68.8478955987485,70.32224776189372,False,-1,False
