Batch,fase,orden_escalon_fase,avance_reduccion_sn_prev,ley_sn_escoria_pct_prev,sn_extraido_real_kg,feo_extraido_real_kg,temperatura_real,pred_sn_kg_historico,pred_sn_kg_recomendado,pred_feo_reducido_kg_historico,pred_feo_reducido_kg_recomendado,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,J_sn_hist,J_sn_rec,J_feo_hist,J_feo_rec,J_costo_hist,J_costo_rec,J_temperatura_hist,J_temperatura_rec,J_soporte_hist,J_soporte_rec,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,hist_derivada__exceso_o2_combustion_pct,rec_derivada__exceso_o2_combustion_pct,hist_derivada__relacion_C_Sn_carga,rec_derivada__relacion_C_Sn_carga,fold,es_lockbox
AP0003,Fusión,1,0.7041229903396926,17.9895,3216.584331701548,-1914.6143433014277,1324.7177930723205,3335.406806545389,3335.406806545389,,,1308.0229542681736,1308.0229542681736,0.21602657441188075,0.21602657441188075,-1106.1341671383498,-1106.1341671383498,0.0,-93.7231782589262,-93.7231782589262,-301.855004071802,-301.855004071802,-103.99623187707972,-103.99623187707972,-205.9208423794098,-205.9208423794098,-391.9867127940596,-391.9867127940596,35.0,35.0,290.6228117766204,290.6228117766204,0.0,0.0,54.62218198423029,54.62218198423029,7.67340178653184e-06,7.67340178653184e-06,0.006122939723233383,0.006122939723233383,47.743290879991314,47.743290879991314,37.47293034306279,37.47293034306279,25.246926492358007,25.246926492358007,34.02665988498264,34.02665988498264,122.8518572126116,122.8518572126116,18.48085729908485,18.48085729908485,0.2455147284314557,0.2455147284314557,2,False
AP0003,Fusión,2,0.6488601439221008,19.3599,3373.4268178131006,-1680.2958668633578,1297.2756323983076,3922.018620230217,3922.018620230217,,,1323.843680456729,1323.843680456729,0.24603184266130498,0.24603184266130498,-1056.7763471829082,-1056.7763471829082,0.0,16.910270462068866,16.910270462068866,-321.75129016921255,-321.75129016921255,-128.73675629282383,-128.73675629282383,-237.5622947565207,-237.5622947565207,-376.9840786693475,-376.9840786693475,40.0,40.0,290.0059625889227,290.0059625889227,0.0,0.0,54.58774215574175,54.58774215574175,1.3412723871708408e-23,1.3412723871708408e-23,0.007605254704632409,0.007605254704632409,48.1573381129319,48.1573381129319,42.16838875127032,42.16838875127032,25.455165693495008,25.455165693495008,34.63444989522298,34.63444989522298,123.32456651475692,123.32456651475692,18.90044164747052,18.90044164747052,0.27677868029878483,0.27677868029878483,2,False
AP0003,Fusión,3,0.6124530650041644,22.0339,6062.784505085846,-2511.5355183000047,1271.1132577657063,5139.896413308508,5139.896413308508,,,1279.7411771087725,1279.7411771087725,0.2663026376821756,0.2663026376821756,-829.1065001700841,-829.1065001700841,0.0,117.29120274619952,117.29120274619952,-266.28758933999853,-266.28758933999853,-155.2519465996931,-155.2519465996931,-149.35728806060752,-149.35728806060752,-366.8486811589122,-366.8486811589122,45.0,45.0,291.06719245357783,291.06719245357783,0.0,0.0,54.552533312811335,54.552533312811335,1.3412723871708408e-23,1.3412723871708408e-23,0.004176158646958463,0.004176158646958463,49.38682702105978,49.38682702105978,46.618007228685464,46.618007228685464,25.60709604522328,25.60709604522328,35.09300149799865,35.09300149799865,122.70671419873649,122.70671419873649,18.83700395439087,18.83700395439087,0.30514536932104547,0.30514536932104547,2,False
AP0003,Fusión,4,0.6935920723880761,17.1834,4007.728410970085,-1347.5226378700127,1244.3429600929344,4673.904083981141,4673.904083981141,,,1245.2307404738392,1245.2307404738392,0.05692705086364161,0.05692705086364161,-761.4710879649863,-761.4710879649863,0.0,170.47406134372815,170.47406134372815,-222.88695700164914,-222.88695700164914,-148.53310519107288,-148.53310519107288,-80.33641479074095,-80.33641479074095,-471.5364745681792,-471.5364745681792,50.0,50.0,238.67237548290316,238.67237548290316,0.0,0.0,40.592559669637396,40.592559669637396,7.062417650192365e-05,7.062417650192365e-05,0.002194262776563942,0.002194262776563942,36.888189034594035,36.888189034594035,39.32723641296168,39.32723641296168,22.556562068344522,22.556562068344522,32.76034211230376,32.76034211230376,102.6180620415155,102.6180620415155,20.38655309365582,20.38655309365582,0.32017433524936306,0.32017433524936306,2,False
AP0003,Fusión,5,0.6848937856846595,18.5281,6732.78867733365,-2590.0701517171074,1220.2218882096201,6676.296115023775,6676.296115023775,,,1214.1846602284922,1214.1846602284922,0.24419626642586453,0.24419626642586453,-590.4991162386184,-590.4991162386184,0.0,199.01123129369327,199.01123129369327,-183.84313009998468,-183.84313009998468,-200.86889858813998,-200.86889858813998,-18.244254300047032,-18.244254300047032,-377.9018667870677,-377.9018667870677,55.0,55.0,290.82661946614587,290.82661946614587,0.0,0.0,54.606401062011635,54.606401062011635,2.5306599947617765e-22,2.5306599947617765e-22,0.0027226958933862905,0.0027226958933862905,49.489878627232144,49.489878627232144,50.123753138950896,50.123753138950896,26.12079311320605,26.12079311320605,36.23503421679094,36.23503421679094,123.40044395500887,123.40044395500887,18.96485527447803,18.96485527447803,0.32823866586600586,0.32823866586600586,2,False
AP0003,Fusión,6,0.7111324184857795,16.9186,13282.314015533735,-1289.8705223066845,1202.6642660254465,9196.05105573692,9196.05105573692,,,1199.5534913882957,1199.5534913882957,0.1537697261987804,0.1537697261987804,-588.2415457204768,-588.2415457204768,0.0,234.5577323219745,234.5577323219745,-165.44284191380444,-165.44284191380444,-225.58910147096475,-225.58910147096475,-0.0,-0.0,-423.1151369006098,-423.1151369006098,68.0,68.0,253.20231826673708,253.20231826673708,0.0,0.0,45.22191388890969,45.22191388890969,0.04135988277726156,0.04135988277726156,0.001954103068354856,0.001954103068354856,40.627653083206496,40.627653083206496,44.511821387053,44.511821387053,25.120232493789107,25.120232493789107,33.82887421713935,33.82887421713935,123.1161545364945,123.1161545364945,18.795211558172646,18.795211558172646,0.33828376624069256,0.33828376624069256,2,False
AP0003,Reducción,0,0.7971195384673917,13.579,8558.294114653272,301.9474887047818,1200.9196981203777,8406.12760114733,8481.147509599494,1787.219626414399,1827.0349819755509,1187.9472536950627,1188.0789905158672,0.2351979683013917,0.30172964272694425,6584.2507572635095,6662.758108204714,78.5073509412041,8406.12760114733,8481.147509599494,-1072.3317758486394,-1096.2209891853304,-121.85414506754994,-127.47985281298598,-13.53305629536544,-13.796529936974366,-382.40101584930414,-349.1351786365279,30.0,30.0,,,,,,,1.0079907612957058,1.0079907612957058,1.3018724070004315e-19,1.3018724070004315e-19,,,62.903888267599115,65.62572286313763,23.581612684461803,24.887199083159455,20.91620416711878,22.14263114478678,112.51660011574073,116.59865928303157,-5.552069768376468,-6.320615995361958,,,2,False
AP0003,Reducción,1,0.9669337937519824,2.4493,669.653117020854,1033.291277355318,1198.3077566341333,622.4916735693578,643.2356633603395,2106.7327786368,2091.3814020151067,1203.8453639539086,1202.709417168559,0.2976472418588033,0.30584653338828544,-1336.9864918170476,-1299.1406855335765,37.84580628347112,622.4916735693578,643.2356633603395,-1264.03966718208,-1254.828841209064,-67.17599149770817,-65.65654031367497,-45.32927681305728,-43.0573832423579,-351.17637907059833,-347.0767333058573,25.0,25.0,,,,,,,4.2885252968664235e-25,4.2885252968664235e-25,1.3018724070004315e-19,1.3018724070004315e-19,,,37.1235130896935,34.11286017243875,22.257098429361978,23.46630102684299,16.315105254279242,21.66295731197713,123.6762205403646,116.17575113004332,-5.003089908678608,-1.8595538414883384,,,2,False
AP0003,Reducción,2,0.9803031134033411,1.5168,269.8595368306931,369.2316037288783,1206.069336265779,310.5199882869944,286.9462946749856,1472.3656700441702,1350.561403069971,1194.1064514105956,1192.8435895767211,0.3625193933594075,0.3320494166048872,-1182.2587340632422,-1139.28168162243,42.97705244081226,310.5199882869944,286.9462946749856,-883.4194020265021,-810.3368418419826,-33.01071445404537,-26.833263876232486,-25.85145172643115,-23.325728058682216,-318.7403033202962,-333.97529169755643,20.0,20.0,,,,,,,4.288525296866423e-25,4.288525296866423e-25,1.3018724070004313e-19,1.3018724070004313e-19,,,18.422716364784847,12.606739840886195,20.168783365885417,18.594024868230022,12.433640348646374,15.350545572041385,119.68116271972656,120.35407643846901,-6.869234900575873,9.241818035674678,,,2,False
AP0003,Reducción,3,0.9856881018496638,1.0981,,,1209.245091372915,198.38202163699583,181.73695967432863,1328.1835769273277,1194.0669174726308,1204.6940734551924,1203.4312116213177,0.3872136478951635,0.34754079460852644,-1200.2854833399967,-1149.1381646720552,51.14731866794159,198.38202163699583,181.73695967432863,-796.9101461563966,-716.4401504835785,-16.580636129591202,-11.947548196231535,-47.02669581562486,-44.50097214787547,-306.3931760524182,-326.22960269573673,15.0,15.0,,,,,,,4.288525296866423e-25,4.288525296866423e-25,1.3018724070004315e-19,1.3018724070004315e-19,,,10.610211690266928,4.794235166368277,16.94755006013093,15.372791562475534,6.643865565547236,9.560770788942246,119.11333523220486,119.78624895094731,-6.6010548663761215,12.913399389937338,,,2,False
