fase,target,n_features,r2_oof,r2_lockbox,features
Reducción,sn_extraido_est_kg,4,0.9711952551437357,0.9817998401201325,sn_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;ley_sn_escoria_pct_prev;interaccion_C_x_Sn_prev
Reducción,sn_extraido_est_kg,3,0.9711697856310008,0.9805858207268887,sn_inventario_escoria_est_kg_prev;ley_sn_escoria_pct_prev;interaccion_C_x_Sn_prev
Reducción,sn_extraido_est_kg,2,0.9715555509039973,0.9808179018061165,sn_inventario_escoria_est_kg_prev;interaccion_C_x_Sn_prev
Reducción,sn_extraido_est_kg,1,0.9727842341429289,0.9836755146518109,sn_inventario_escoria_est_kg_prev
Reducción,feo_extraido_est_kg,11,0.27882202633360365,0.28201292064999617,feo_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;ley_feo_escoria_pct_prev;ley_cao_escoria_pct_prev;ley_sn_escoria_pct_prev;sn_inventario_escoria_est_kg_prev;tasa_feed_Carbon_kg_min;interaccion_C_x_FeO_prev;tasa_gn_nm3_min;exceso_o2_combustion_pct;duracion_plan_min
Reducción,feo_extraido_est_kg,10,0.2842128282256373,0.2725310731847316,feo_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;ley_feo_escoria_pct_prev;ley_cao_escoria_pct_prev;ley_sn_escoria_pct_prev;sn_inventario_escoria_est_kg_prev;tasa_feed_Carbon_kg_min;interaccion_C_x_FeO_prev;tasa_gn_nm3_min;exceso_o2_combustion_pct
Reducción,feo_extraido_est_kg,9,0.2744538281244333,0.2922199463988643,feo_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;ley_feo_escoria_pct_prev;ley_cao_escoria_pct_prev;ley_sn_escoria_pct_prev;sn_inventario_escoria_est_kg_prev;tasa_feed_Carbon_kg_min;tasa_gn_nm3_min;exceso_o2_combustion_pct
Reducción,feo_extraido_est_kg,8,0.26689719753147023,0.2502168770780673,feo_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;ley_cao_escoria_pct_prev;ley_sn_escoria_pct_prev;sn_inventario_escoria_est_kg_prev;tasa_feed_Carbon_kg_min;tasa_gn_nm3_min;exceso_o2_combustion_pct
Reducción,feo_extraido_est_kg,7,0.2699909465526745,0.22286041174514104,feo_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;ley_cao_escoria_pct_prev;ley_sn_escoria_pct_prev;tasa_feed_Carbon_kg_min;tasa_gn_nm3_min;exceso_o2_combustion_pct
Reducción,feo_extraido_est_kg,6,0.27653280396897084,0.23783394356018728,feo_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;ley_cao_escoria_pct_prev;ley_sn_escoria_pct_prev;tasa_gn_nm3_min;exceso_o2_combustion_pct
Reducción,feo_extraido_est_kg,5,0.26795387991788233,0.22246825647650292,feo_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;ley_cao_escoria_pct_prev;tasa_gn_nm3_min;exceso_o2_combustion_pct
Reducción,feo_extraido_est_kg,4,0.27892689612768884,0.22809338368491439,feo_inventario_escoria_est_kg_prev;masa_escoria_est_kg_prev;ley_cao_escoria_pct_prev;exceso_o2_combustion_pct
Reducción,feo_extraido_est_kg,3,0.2831229924478402,0.2580498341303562,feo_inventario_escoria_est_kg_prev;ley_cao_escoria_pct_prev;exceso_o2_combustion_pct
Reducción,feo_extraido_est_kg,2,0.2638065603291133,0.23293094465643616,feo_inventario_escoria_est_kg_prev;ley_cao_escoria_pct_prev
Reducción,feo_extraido_est_kg,1,0.2422352071117171,0.15956689083298692,ley_cao_escoria_pct_prev
