fase,target,set,feature,corr_valor_shap,media_abs_shap
Fusión,d_ley_feo_escoria_pct,curado_feo_9,tasa_feed_CaO_kg_min,0.14486219640425363,0.08285572972935727
Fusión,d_ley_feo_escoria_pct,curado_feo_9,tasa_feed_Carbon_kg_min,-0.6573094061057555,0.028569556743086102
Fusión,d_ley_feo_escoria_pct,curado_feo_9,exceso_o2_combustion_pct,0.156489046474377,0.03412526366250779
Fusión,d_ley_feo_escoria_pct,curado_feo_9,tasa_feed_Fe_kg_min,-0.020760257488028153,0.01775882081255414
Fusión,d_ley_feo_escoria_pct,curado_feo_9,tasa_feed_dross_Fe_kg_min,-0.3084869277290792,0.04759181647313521
Fusión,d_ley_feo_escoria_pct,curado_feo_9,duracion_plan_min,0.34521489709727377,0.11857906277048724
Reducción,d_temperatura_horno_celsius,v3_dT,temperatura_horno_celsius_prev,-0.8823049727710678,3.6211264377817227
Reducción,d_temperatura_horno_celsius,v3_dT,termocupla_media_celsius_prev,-0.04584252313119723,2.957442749954268
Reducción,d_temperatura_horno_celsius,v3_dT,espesor_ladrillo_norm_mm,0.7399232134609575,5.176735273054242
Reducción,d_temperatura_horno_celsius,v3_dT,tasa_gn_nm3_min,-0.13496504706459847,0.729917391110221
Reducción,d_temperatura_horno_celsius,v3_dT,tasa_o2_nm3_min,-0.8423694877387836,1.2567355157675164
Reducción,d_temperatura_horno_celsius,v3_dT,tasa_aire_nm3_min,0.09683485598102183,0.7001337928698965
Reducción,d_temperatura_horno_celsius,v3_dT,exceso_o2_combustion_pct,-0.4681842013641703,1.5891911421557037
Reducción,d_temperatura_horno_celsius,v3_dT,tasa_feed_Carbon_kg_min,0.07171714100609791,0.9602043363531539
Reducción,d_temperatura_horno_celsius,v3_dT,duracion_plan_min,-0.816153875704062,1.7933928958222933
Reducción,d_temperatura_horno_celsius,v3_dT,orden_escalon_fase,0.6543345362450779,0.16365713130978699
Reducción,d_temperatura_horno_celsius,v3_dT,masa_escoria_est_kg_prev,0.35303470077146065,0.707373208759012
Reducción,d_temperatura_horno_celsius,v3_dT,grad_temperatura_horno_celsius_prev,0.7152306383048328,3.5077602766522746
Reducción,d_temperatura_horno_celsius,v3_dT,tiro_horno_pct_prev,0.5149664567027659,1.1010782889362793
Reducción,d_temperatura_horno_celsius,v3_dT,ley_sn_escoria_pct_prev,-0.4032052727718342,1.1294984373904546
Fusión,d_temperatura_horno_celsius,v3_dT,temperatura_horno_celsius_prev,-0.8931071361975199,5.457708829785106
Fusión,d_temperatura_horno_celsius,v3_dT,termocupla_media_celsius_prev,0.010041291261608491,1.4776618012943628
Fusión,d_temperatura_horno_celsius,v3_dT,espesor_ladrillo_norm_mm,0.7571462992229732,1.8041347608365077
Fusión,d_temperatura_horno_celsius,v3_dT,tasa_gn_nm3_min,-0.699412879911944,0.5132581227926954
Fusión,d_temperatura_horno_celsius,v3_dT,tasa_o2_nm3_min,-0.6672405687160066,1.8921200290289892
Fusión,d_temperatura_horno_celsius,v3_dT,tasa_aire_nm3_min,-0.1748118196130274,0.5851863295518825
Fusión,d_temperatura_horno_celsius,v3_dT,exceso_o2_combustion_pct,-0.11449935711749976,0.540453060085958
Fusión,d_temperatura_horno_celsius,v3_dT,tasa_feed_total_kg_min,0.3952950300944523,0.44239520486228523
Fusión,d_temperatura_horno_celsius,v3_dT,tasa_feed_Carbon_kg_min,0.5692296040639846,0.9707114556458425
Fusión,d_temperatura_horno_celsius,v3_dT,tasa_feed_CaO_kg_min,0.7041314163384631,0.946679368611744
Fusión,d_temperatura_horno_celsius,v3_dT,duracion_plan_min,-0.6968415366538862,0.864630405060811
Fusión,d_temperatura_horno_celsius,v3_dT,orden_escalon_fase,-0.7659407528370225,1.0846861705121182
Fusión,d_temperatura_horno_celsius,v3_dT,masa_escoria_est_kg_prev,-0.4840884946355968,1.0068053910762476
Fusión,d_temperatura_horno_celsius,v3_dT,grad_temperatura_horno_celsius_prev,0.9270209090825873,5.369318540166535
Fusión,d_temperatura_horno_celsius,v3_dT,tiro_horno_pct_prev,-0.23322413155392804,1.3582910776171502
