dependiente,palanca,n,coef,se_hc3,p_valor,ci95_lo,ci95_hi,r2,spearman_rho,spearman_p
Sn_extraido_total_F,cal_total_F,361,-0.6821262497532093,0.06308232198387717,2.97855762332297e-27,-0.8057653289027679,-0.5584871706036508,0.25520162211764386,-0.21840359411928711,2.840153333543026e-05
F_avance_final,cal_por_carga_F,361,-1.7665504812000616,0.11024856172096176,8.78007504265871e-58,-1.9826336915204879,-1.5504672708796354,0.2734025594459307,-0.16515611563888533,0.0016397975440519625
f_metal,cal_por_carga_F,362,-0.16142484280287683,0.12623468933264387,0.20097887285450178,-0.40884028749446133,0.08599060188870769,0.02235007223852281,-0.0600315370312212,0.2545966662500022
f_dross,cal_por_carga_F,362,0.18180857849147541,0.09642742522762639,0.05936982294878073,-0.007185702076601325,0.3708028590595521,0.117497488945982,0.05647309138921672,0.2838938348290516
rendimiento_proxy_batch,cal_por_carga_F,362,-16.14248428028766,12.623468933264398,0.20097887285450278,-40.88402874944614,8.599060188870816,0.022350072238522922,-0.0600315370312212,0.2545966662500022
