,perm_media,perm_frac_pos,boruta_frac,score
ley_sn_escoria_pct_prev,0.16243410979201153,1.0,1.0,0.9924999999999999
interaccion_Sn_x_FeO_prev,0.12967007174876358,1.0,1.0,0.9875
interaccion_C_x_Sn_prev,0.03467776900678195,1.0,1.0,0.9824999999999999
ratio_sn_sio2_prev,0.00364443190854412,0.6666666666666666,1.0,0.9575
ratio_sn_feo_prev,0.005990855678519014,1.0,0.5,0.955
tiro_horno_pct_prev,0.008477749827775811,0.8,0.25,0.9425
grad_presion_suministro_o2_lanza_kpa,0.0034853453173896284,0.8,0.4,0.9299999999999999
d_presion_suministro_o2_lanza_kpa,0.003807363973295219,0.8,0.2,0.9175
d_posicion_vertical_lanza_mm,0.002920017929972844,0.8,0.3,0.915
sn_inventario_escoria_est_kg_prev,0.0027572912074911252,0.8,0.2,0.8925000000000001
posicion_vertical_lanza_mm_prev,0.005518883014772152,0.8666666666666667,0.05,0.865
interaccion_C_x_exceso_o2,0.0016162235604854644,0.5333333333333333,0.15,0.8474999999999999
avance_reduccion_sn_prev,0.0015308427483885403,0.8666666666666667,0.1,0.825
tasa_o2_nm3_min,0.0009864209642988246,0.8,0.1,0.8049999999999999
grad_posicion_vertical_lanza_mm,0.0014879952758547969,0.7333333333333333,0.05,0.785
tasa_feed_pellets_kg_min,0.0007046898563745148,0.5333333333333333,0.05,0.75
cum_feed_pellets_kg_prev,0.0004695417229044936,0.7333333333333333,0.05,0.72
tasa_feed_Carbon_reduccion_kg_min,0.00045066541888190886,0.2,0.05,0.7150000000000001
tasa_gn_nm3_min,0.00018236109571852943,0.6,0.1,0.715
interaccion_C_x_temp_prev,0.0004486867896511068,0.6,0.05,0.71
log_ratio_sn_sio2_prev,0.0,0.0,0.6,0.705
log_ratio_sn_feo_prev,0.0,0.0,0.25,0.6825
posicion_vertical_lanza_mm,0.0030291188698133675,0.6666666666666666,0.0,0.6375
indice_severidad_reductora,0.002500661635312736,0.5333333333333333,0.0,0.6225
presion_punta_lanza_kpa_prev,0.002426631602719764,0.8666666666666667,0.0,0.6174999999999999
exceso_o2_combustion_pct,0.002224628391286684,0.7333333333333333,0.0,0.6125
ley_sn_conc_batch_pct,0.00209261776658056,0.8,0.0,0.6074999999999999
grad_temperatura_horno_celsius_prev,0.0018779458606304543,0.5333333333333333,0.0,0.6025
carbon_sobre_inventario_sn_prev,0.001828391609340538,0.6666666666666666,0.0,0.5974999999999999
interaccion_FeO_x_B2_prev,0.0015963076181972308,0.8,0.0,0.5875
termocupla_media_celsius_prev,0.0013398163303268778,0.9333333333333333,0.0,0.5725
cum_feed_dross_Fe_kg_prev,0.0013380919043434831,0.8,0.0,0.5675
tasa_feed_Carbon_fusion_kg_min,-0.00010077722340626514,0.13333333333333333,0.05,0.56
ley_sio2_escoria_pct_prev,0.000946593063743073,0.6,0.0,0.5575
indice_estructural_molar_prev,0.0008576036725296796,0.4666666666666667,0.0,0.5525
tiempo,0.0007210741328775466,0.5333333333333333,0.0,0.5475
ley_sn_carga_batch_pct,0.00066477324239202,0.4666666666666667,0.0,0.5375
tasa_feed_Sn_kg_min,-0.0002843695753480387,0.5333333333333333,0.05,0.535
