Batch,n_escalones_evaluados,fusion_sn_extraido_adicional_kg,reduccion_sn_extraido_adicional_kg,reduccion_feo_reducido_adicional_kg,metal_equivalente_kg,uplift_J_total_kgSn,pct_escalones_con_mejora,support_medio_historico,support_medio_recomendado,rendimiento_ha_batch
AP0300,10,-2238.0030644948565,733.1648035212427,-113.26104948803822,1058.0835167519854,3030.3055902978917,90.0,0.28630187247817696,0.3795057922449376,0.6255
AP0301,10,-1737.5097610672883,1043.4516378835158,-354.0247982975616,1375.5353463115316,2637.071426083493,100.0,0.3770787383704088,0.4366210977136983,0.6494
AP0302,10,-1064.0346802654744,822.4276689001422,455.3135457683594,824.158113604146,1717.6869210750378,90.0,0.33360785929690034,0.376708661579625,0.7037
AP0303,10,-1451.475634719488,910.682416376882,1323.752724813442,702.2484314463828,2643.927365387214,100.0,0.31089289661404856,0.3982141142491077,0.6934
AP0304,10,-452.2285883147001,359.01562865292624,-92.28692531505692,445.49142272835434,2998.3571663513994,100.0,0.3264226741067157,0.44902029288802475,0.6658
AP0305,10,-517.6000725662934,360.4740759841798,379.5431824134728,313.8991306937561,1268.5372071758613,80.0,0.3626896358421894,0.4063987220414983,0.7576
AP0306,10,-1137.7266829945765,541.5047795495452,114.49587245522682,655.0604866022721,1665.7563490342957,100.0,0.3879411823171643,0.4364249741724942,0.7190000000000001
AP0307,10,-1229.826860118369,440.7093121433109,124.3700647956532,563.2757845200028,1327.7749461446647,100.0,0.42195208842722653,0.4572806328637428,0.7094
