palanca,theta_por_unidad,ci95_lo,ci95_hi,sd_palanca,efecto_por_1sd,efecto_1sd_ci95_lo,efecto_1sd_ci95_hi,significativo_ci95,n,target,fase,clave
tasa_feed_Carbon_kg_min,-2.54195135886114,-22.97500035489996,15.740205325786627,8.55441374428923,-21.74490364155642,-196.53765881100617,134.64822877684367,False,1749,sn_extraido_est_kg,Fusión,sn_kg
tasa_feed_CaO_kg_min,-42.63777733908701,-73.36038673535526,-11.492121801582613,9.451294162430663,-402.9821760639315,-693.3505949055191,-108.6154236972399,True,1749,sn_extraido_est_kg,Fusión,sn_kg
tasa_feed_total_kg_min,9.244500443848988,5.741057142019773,13.39630203373688,39.51169574577436,365.26588885903726,226.8389030545902,529.3106100755099,True,1749,sn_extraido_est_kg,Fusión,sn_kg
tasa_gn_nm3_min,89.33593928548787,0.45426938136345063,198.76387888772783,1.4760422515594789,131.8636209681324,0.6705208004822393,293.38388332213736,True,1749,sn_extraido_est_kg,Fusión,sn_kg
tasa_o2_nm3_min,37.413722699016745,-9.611825718726283,88.31795274404058,3.3467956795955063,125.21608548665357,-32.168816788458095,295.5821426744751,False,1749,sn_extraido_est_kg,Fusión,sn_kg
tasa_aire_nm3_min,3.972760422799669,-15.220386677391614,31.44403732259765,5.490481957599817,21.812369423248203,-83.56725843991128,172.64291959381768,False,1749,sn_extraido_est_kg,Fusión,sn_kg
duracion_plan_min,-3.304502547276954,-113.24840489276221,103.20923655376149,9.883989315211931,-32.66166786937602,-1119.3460239248564,1020.1189913285592,False,1749,sn_extraido_est_kg,Fusión,sn_kg
tasa_feed_Carbon_kg_min,-0.018137716276229513,-0.048811342040649595,0.010204272874953978,8.659233984293106,-0.1570587291765928,-0.42266883181734777,0.0883611864638018,False,1778,d_ley_sn_escoria_pct,Fusión,sn_pts
tasa_feed_CaO_kg_min,0.035230029080176535,-0.013876222733702677,0.08970345977385098,9.46575524629588,0.33347883259283745,-0.13134892814031626,0.8491109949652214,False,1778,d_ley_sn_escoria_pct,Fusión,sn_pts
tasa_feed_total_kg_min,0.017110471635698923,0.012448786608830791,0.023075220873177253,41.12436837559544,0.7036573386266595,0.511948486330737,0.9489538835367703,True,1778,d_ley_sn_escoria_pct,Fusión,sn_pts
tasa_gn_nm3_min,0.10500353309998756,-0.26031831385841164,0.3788907081502941,1.613170564173859,0.1693886087311554,-0.4199378412317616,0.6112153374270428,False,1778,d_ley_sn_escoria_pct,Fusión,sn_pts
tasa_o2_nm3_min,-0.12940697570661133,-0.27509647932856707,0.05141152070375875,3.533801844740014,-0.4572986094742493,-0.9721364461327734,0.18167812670383207,False,1778,d_ley_sn_escoria_pct,Fusión,sn_pts
tasa_aire_nm3_min,-0.050699386297876126,-0.10340425630757398,-0.012938759626015902,6.217339400841165,-0.3152152920282519,-0.6428993569557583,-0.08044466002084155,True,1778,d_ley_sn_escoria_pct,Fusión,sn_pts
duracion_plan_min,0.014885523422267706,-0.1429007154690187,0.12769727254102592,9.938190246817708,0.14793516369395748,-1.420174496737474,1.2690797885124465,False,1778,d_ley_sn_escoria_pct,Fusión,sn_pts
tasa_feed_Carbon_kg_min,0.006230965730959166,-0.1439395170365431,0.2038405940002871,8.638274386017175,0.053824791673895346,-1.243389043152453,1.7608309819832062,False,1793,d_temperatura_horno_celsius,Fusión,dT
tasa_feed_CaO_kg_min,0.04139492574461501,-0.14961418660490206,0.28838200762246147,9.43527653108735,0.39057257138426954,-1.4116512235909557,2.720963988508064,False,1793,d_temperatura_horno_celsius,Fusión,dT
tasa_feed_total_kg_min,0.03694830830390057,0.0036683520331133425,0.057897846822262004,41.017340527045725,1.515521343599361,0.1504660445152905,2.374815698891453,True,1793,d_temperatura_horno_celsius,Fusión,dT
tasa_gn_nm3_min,-0.1364348339396621,-1.2506021683472417,0.8903616802569014,1.6088634924473533,-0.21950502342363945,-2.012048172229376,1.4324704024394121,False,1793,d_temperatura_horno_celsius,Fusión,dT
tasa_o2_nm3_min,-0.45995745863877563,-1.084161253261234,-0.05130181184893052,3.525100458833812,-1.621396248491582,-3.8217773313210164,-0.18084404048767086,True,1793,d_temperatura_horno_celsius,Fusión,dT
tasa_aire_nm3_min,-0.02699091333273492,-0.26783523065505843,0.0928234872851064,6.192545533976754,-0.16714245981658127,-1.658581861434616,0.5748136716355338,False,1793,d_temperatura_horno_celsius,Fusión,dT
duracion_plan_min,-0.01564443339980597,-0.4756077897107836,0.39920532808616616,9.943731184386534,-0.15556404025970885,-4.729316010084272,3.969590469863668,False,1793,d_temperatura_horno_celsius,Fusión,dT
tasa_feed_Carbon_kg_min,8.604159861888922,-0.011312659421994387,16.406233134176603,21.92942385371225,188.68426851646043,-0.24808010337760636,359.7792402421767,False,1076,sn_extraido_est_kg,Reducción,sn_kg
tasa_gn_nm3_min,15.203687339846134,1.9993821101311529,28.259440240965947,4.9634663549778395,75.46299058292881,9.923865834380575,140.26478084654133,True,1076,sn_extraido_est_kg,Reducción,sn_kg
tasa_o2_nm3_min,0.9876212940749598,-8.285519311558339,9.887880191639928,8.573268992058287,8.46714301638933,-71.03398579688323,84.77145664417394,False,1076,sn_extraido_est_kg,Reducción,sn_kg
tasa_aire_nm3_min,-0.08268003016124226,-2.8126533316099986,2.8604440783013634,10.40829767976253,-0.8605583660899537,-29.2749331453727,29.77235346327455,False,1076,sn_extraido_est_kg,Reducción,sn_kg
duracion_plan_min,41.20752824040898,-646.4615417137477,225.9836311209119,5.88396046464846,242.4634670124514,-3803.754153359383,1329.678751173147,False,1076,sn_extraido_est_kg,Reducción,sn_kg
tasa_feed_Carbon_kg_min,-0.6730367627319013,-7.937420262890322,9.455562728305868,21.93666591879085,-14.764182615114223,-174.12053656406604,207.42352064501637,False,1071,feo_extraido_est_kg,Reducción,feo_kg
tasa_gn_nm3_min,37.663322705707564,9.709988153148053,67.04429787494092,4.954055003215035,186.58617228791297,48.10381539126183,332.1411393243902,True,1071,feo_extraido_est_kg,Reducción,feo_kg
tasa_o2_nm3_min,-12.376012307140094,-28.543738056228882,6.953419922616646,8.540730607236089,-105.70018710712192,-243.78437726176355,59.38728635805719,False,1071,feo_extraido_est_kg,Reducción,feo_kg
tasa_aire_nm3_min,-5.386231402917538,-10.689806729002814,-0.12727384708035172,10.439799287894477,-56.231174764613385,-111.59943667717317,-1.3287134181170464,True,1071,feo_extraido_est_kg,Reducción,feo_kg
duracion_plan_min,90.55143628578546,-1891.0424229395262,245.32460230694932,5.877362753267608,532.2036388809604,-11114.342301433702,1441.8616800590526,False,1071,feo_extraido_est_kg,Reducción,feo_kg
tasa_feed_Carbon_kg_min,0.1408615588429981,-0.00932248279210842,0.3005146248640914,21.97164212326282,3.094959759823282,-0.20483025560848217,6.602799790320396,False,1194,d_temperatura_horno_celsius,Reducción,dT
tasa_gn_nm3_min,0.26800659081036504,-0.09113505766270938,0.6214121430865945,5.031265738397199,1.3484123780088273,-0.4585246931852428,3.126489624935561,False,1194,d_temperatura_horno_celsius,Reducción,dT
tasa_o2_nm3_min,-0.3388175797546534,-0.6685504522918675,-0.05483795929673367,8.7821142287845,-2.9755346881256686,-5.871286439732723,-0.48159322261735005,True,1194,d_temperatura_horno_celsius,Reducción,dT
tasa_aire_nm3_min,-0.10387143373422392,-0.20154467824956704,-0.016807521544230854,10.12030942256442,-1.051211049555742,-2.0396945063568075,-0.170097318654034,True,1194,d_temperatura_horno_celsius,Reducción,dT
duracion_plan_min,-2.1234005292380274,-36.15171647125611,0.06546124607517939,6.2007533063921185,-13.166682852467472,-224.16787544089172,0.4059090380412167,False,1194,d_temperatura_horno_celsius,Reducción,dT
