,perm_media,perm_frac_pos,boruta_frac,score
tasa_feed_Fe_kg_min,-3.193863410639874e-05,0.2,0.0,0.33499999999999996
feed_CaO_kgh,-3.691913249405469e-05,0.4,0.0,0.32499999999999996
ley_sn_conc_batch_pct,-3.82683075295567e-05,0.26666666666666666,0.0,0.315
oxygen_enrichment_pct,-3.9177141327674364e-05,0.2,0.0,0.31
cum_feed_dross_Fe_kg_prev,-4.417941075710956e-05,0.4,0.0,0.3
cum_gn_nm3_prev,-4.479415848431688e-05,0.26666666666666666,0.0,0.295
ratio_feo_sio2_prev,-4.487262124381391e-05,0.6,0.0,0.29
interaccion_lanza_x_gn,-5.3276979724076805e-05,0.4,0.0,0.285
cum_feed_reciclo_kg_prev,-5.338013295232487e-05,0.06666666666666667,0.0,0.28
basicidad_B4_prev,-5.675170202679158e-05,0.06666666666666667,0.0,0.275
interaccion_B2_x_temp_prev,-5.7785426808506143e-05,0.4,0.0,0.27
ley_sn_Fe_batch_pct,-6.461379388183906e-05,0.3333333333333333,0.0,0.265
exceso_o2_combustion_pct,-7.807567986337144e-05,0.26666666666666666,0.0,0.26
presion_punta_lanza_kpa_prev,-7.89426140347259e-05,0.4666666666666667,0.0,0.255
d_posicion_vertical_lanza_mm,-8.059393528257896e-05,0.6,0.0,0.25
carbon_sobre_inventario_sn_prev,-8.325640397081182e-05,0.4666666666666667,0.0,0.245
ley_feo_escoria_pct_prev,-9.671140883448102e-05,0.26666666666666666,0.0,0.235
ley_sn_dross_batch_pct,-0.00010645284444944874,0.4,0.0,0.22499999999999998
feed_pellets_t7_kgh,-0.00012918007325479517,0.3333333333333333,0.0,0.22
feed_Fe_kgh,-0.0001602964660133852,0.06666666666666667,0.0,0.215
interaccion_FeO_x_B2_prev,-0.00019214215580979724,0.3333333333333333,0.0,0.21
ley_sio2_escoria_pct_prev,-0.00020623331402365902,0.8,0.0,0.205
feed_dross_Fe_kgh,-0.00022115358652857864,0.06666666666666667,0.0,0.195
cum_feed_conc_kg_prev,-0.00027533250757965337,0.06666666666666667,0.0,0.19
