Batch,fase,orden_escalon_fase,ley_sn_escoria_pct_prev,sn_inventario_escoria_est_kg_prev,sn_extraido_real_kg,d_ley_sn_real_pts,feo_extraido_real_kg,temperatura_real,pred_sn_kg_historico,pred_sn_kg_recomendado,pred_feo_reducido_kg_historico,pred_feo_reducido_kg_recomendado,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,rec_derivada__exceso_o2_combustion_pct,rec_derivada__oxygen_enrichment_pct,rec_derivada__relacion_C_Sn_carga,rec_derivada__relacion_CaO_carga,rec_derivada__ley_sn_carga_pct,rec_derivada__frac_carga_secundaria,fold,es_lockbox
AP0007,Fusión,1,21.4004,1511.5913369481414,2583.714577036105,3.209699999999998,-1363.0510998571094,1230.3118980188292,3683.7889429091238,3565.3233814693085,0.0,0.0,1241.6461841830303,1241.4005430327702,0.3084141108367941,0.3326310746438515,-3206.691814840259,-3135.0693328104617,71.62248202979754,35.0,35.0,292.2298158998843,292.2298158998843,1.278554116600844e-22,1.278554116600844e-22,55.16607010452829,55.16607010452829,2.6015134870283592e-23,2.6015134870283592e-23,0.004872745165118464,0.004872745165118464,50.77022117332176,45.6111184395892,33.441975120261866,37.203818402816495,25.104977794828873,25.104977794828873,33.661041821676584,33.661041821676584,122.47715750558037,122.47715750558037,18.26587815202095,38.03120898902432,0.2421860443149439,0.13129251243940943,44.21886992569549,1.4026293962791723e-05,1,False
AP0007,Fusión,2,24.6101,4304.460897044465,4109.784472427545,-0.6226999999999983,-1134.8267707415716,1227.395208797906,4074.592782653118,3832.2207846880606,0.0,0.0,1229.035992817549,1229.7624158728747,0.3123791865626207,0.31836486811996173,-3233.728808333154,-3193.9279191998194,39.80088913333475,40.0,40.0,292.4856294461382,292.4856294461382,1.278554116600844e-22,1.278554116600844e-22,55.149918024326745,55.149918024326745,2.601513487028359e-23,2.601513487028359e-23,0.005646661093564537,0.005646661093564537,50.85531035632622,45.509961643372876,37.78863793349847,36.51149318373005,25.59228071424696,25.59228071424696,34.909138378567164,34.909138378567164,122.9395784166124,122.9395784166124,18.64212206036404,38.47129775838017,0.2375300505961101,0.1309107275306115,44.216035478192694,1.6242784770287204e-05,1,False
AP0007,Fusión,3,23.9874,6343.202573977824,3890.4042873993276,-0.19340000000000046,-1419.6308627254502,1215.276891449091,5422.227435660841,5136.005802158398,0.0,0.0,1221.6270392876338,1221.6696825197184,0.30903959198234227,0.3204746537780066,-3440.981445874524,-3363.9830913095507,76.9983545649734,45.0,45.0,292.6270875792573,292.6270875792573,1.278554116600844e-22,1.278554116600844e-22,47.64421194113689,47.64421194113689,0.17233765868042256,0.17233765868042256,0.0007344095173470702,0.0007344095173470702,50.89063844542572,44.56290817830018,42.701589744678444,36.92070782577446,25.981009852753253,25.981009852753253,36.21560462458217,36.21560462458217,123.19701380014716,123.19701380014716,19.48530460226434,38.94734189560345,0.24721788548679266,0.1308962987708076,43.8676098669866,0.0005083710662924913,1,False
AP0007,Fusión,4,23.794,9173.314679995392,6228.872250630451,-1.3777000000000008,-1034.9752796130279,1202.7180665871617,6304.041991355957,6267.745769464973,0.0,0.0,1209.7349525458205,1209.4374285002884,0.25196612264453283,0.2648578416497536,-3665.6773546891927,-3615.821736435606,49.85561825358673,50.0,50.0,274.8250789365708,274.8250789365708,1.2785541166008437e-22,1.2785541166008437e-22,50.3694972463682,50.3694972463682,5.492949661964755e-23,5.492949661964755e-23,0.0021763902154977107,0.0021763902154977107,47.81639184847236,45.270425010288776,44.1354297177453,40.56999527941837,26.22049474419488,26.22049474419488,36.39549392361111,36.39549392361111,122.78469479709202,122.78469479709202,18.571904225352032,39.062825801834975,0.28256741795432805,0.1392093391218751,44.15060650839535,6.692533668546158e-06,1,False
AP0007,Fusión,5,22.4163,10123.259359697611,5596.289930627234,-0.7457999999999991,-2018.7041292965314,1191.0921081963083,7586.059751672665,7586.059751672665,0.0,0.0,1201.499317411431,1201.499317411431,0.208042171863211,0.208042171863211,-3904.8075359945046,-3904.8075359945046,0.0,55.0,55.0,292.2188552129836,292.2188552129836,1.278554116600844e-22,1.278554116600844e-22,54.605794924781456,54.605794924781456,9.217011436665913e-23,9.217011436665913e-23,0.007521881815046073,0.007521881815046073,50.85042397635324,50.85042397635324,45.93490738641649,45.93490738641649,26.609183373108216,26.609183373108216,37.333457462811715,37.333457462811715,122.3930823370423,122.3930823370423,18.44783785679058,39.46495355911304,0.29967641270079726,0.14661391900369186,44.19477305806835,2.1687382030469282e-05,1,False
AP0007,Fusión,6,21.6705,12957.462451473626,10771.634653529825,-4.0322,-3106.415930860374,1174.2077339153514,7022.650198675273,7022.650198675273,0.0,0.0,1189.8652513888971,1189.8652513888971,0.0002644338219840177,0.0002644338219840177,-4264.6830137740235,-4264.6830137740235,0.0,64.0,64.0,257.01049448732323,257.01049448732323,1.278554116600844e-22,1.278554116600844e-22,51.378683268797566,51.378683268797566,9.190474523283662e-23,9.190474523283662e-23,0.0028314833068544295,0.0028314833068544295,41.16548617217368,41.16548617217368,48.06979458684222,48.06979458684222,17.901718727068342,17.901718727068342,30.79291679122578,30.79291679122578,120.59202249641093,120.59202249641093,56.7370216542947,37.069236728263526,0.3514118369033544,0.13348428279221025,44.35603971735006,9.181441872756627e-06,1,False
AP0007,Reducción,0,17.6383,12855.485402007,10737.97756298263,-13.426100000000002,2259.3675709311083,1167.4799583187819,10209.378308582232,10209.378308582232,537.6705442096763,537.6705442096763,1161.99498907604,1161.99498907604,0.0003101543978184042,0.0003101543978184042,7553.208803648777,7553.208803648777,0.0,30.0,30.0,,,,,,,2.3765913919606245e-23,2.3765913919606245e-23,4.312302015962139e-05,4.312302015962139e-05,,,38.302771783644154,38.302771783644154,8.672174584424052,8.672174584424052,17.531879261670156,17.531879261670156,90.75695643720805,90.75695643720805,110.96692506170278,33.79003927536263,,,,,1,False
AP0007,Reducción,1,4.2122,2245.997920820993,549.8289390213948,-1.3739000000000003,-1282.9906195573567,1170.3022616733442,1075.5929531152335,1107.5609286060776,0.0,0.0,1163.2125550173296,1165.4696781329487,0.22640880409473577,0.2762242317298587,-991.0407778848223,-866.1549635030145,124.88581438180779,25.0,26.408625994425257,,,,,,,1.8528169194075503e-23,1.8528169194075503e-23,8.285359824525547e-22,8.285359824525547e-22,,,58.04535435267857,49.06586202680384,24.86888135827106,24.12509571615418,21.44205242654552,27.676620293424136,118.26853628849638,84.87148991326976,-5.70061625756742,40.42682999443616,,,,,1,False
AP0010,Fusión,1,17.365,7.148057838212834e-22,5834.549909626093,-8.741599999999998,-7.64970948339243e-22,1254.7033587194155,4940.476807798088,4940.476807798088,0.0,0.0,1248.8234258362336,1248.8234258362336,0.23400114558128784,0.23400114558128784,-3521.3900246324934,-3521.3900246324934,0.0,30.0,30.0,169.62277922453706,169.62277922453706,40.04197851110388,40.04197851110388,0.012360408998749886,0.012360408998749886,88.46197645399305,88.46197645399305,132.61807092737268,132.61807092737268,3.58245373437211e-23,3.58245373437211e-23,38.61373291015625,38.61373291015625,27.313966141958083,27.313966141958083,39.19121595594618,39.19121595594618,121.9742966812376,121.9742966812376,18.63128540577497,40.21072324877414,0.23163408879676176,8.316643392333382e-26,38.69962924139748,0.6061931101566441,1,False
AP0010,Fusión,2,8.6234,6.939592720638615e-22,5985.483549991019,8.2207,-5.457124296687316e-22,1226.6156305358516,4723.3452054984255,4723.3452054984255,0.0,0.0,1243.762030001432,1243.762030001432,0.09287819318712817,0.09287819318712817,-3764.4489925295943,-3764.4489925295943,0.0,35.0,35.0,151.97594008421248,151.97594008421248,36.17608707191096,36.17608707191096,0.01227942682136365,0.01227942682136365,79.46448588851317,79.46448588851317,119.26399148191425,119.26399148191425,3.5824537343721096e-23,3.5824537343721096e-23,38.62606903238617,38.62606903238617,28.14806918674045,28.14806918674045,40.93351119505643,40.93351119505643,122.6502621799045,122.6502621799045,18.462949999163143,40.76814275458224,0.2581316527547327,9.259551697412536e-26,38.67662953564147,0.6071567477739486,1,False
