modelo,feature,fuente,x,valor,frac_pos
Fusión_sn_kg_default,feed_Sn_kgf,pd,4783.78917478861,-2223.9874181434643,
Fusión_sn_kg_default,feed_Sn_kgf,pd,5244.195889636959,-2199.180771039188,
Fusión_sn_kg_default,feed_Sn_kgf,pd,5704.602604485307,-1888.817033806504,
Fusión_sn_kg_default,feed_Sn_kgf,pd,6165.009319333656,-1556.7048557493374,
Fusión_sn_kg_default,feed_Sn_kgf,pd,6625.416034182004,-782.6358675956244,
Fusión_sn_kg_default,feed_Sn_kgf,pd,7085.822749030353,-72.92699417968049,
Fusión_sn_kg_default,feed_Sn_kgf,pd,7546.2294638787025,-61.52876609216722,
Fusión_sn_kg_default,feed_Sn_kgf,pd,8006.636178727051,22.08504763748598,
Fusión_sn_kg_default,feed_Sn_kgf,pd,8467.042893575399,70.67278403997953,
Fusión_sn_kg_default,feed_Sn_kgf,pd,8927.449608423749,716.4797977489383,
Fusión_sn_kg_default,feed_Sn_kgf,pd,9387.856323272097,1225.753392376378,
Fusión_sn_kg_default,feed_Sn_kgf,pd,9848.263038120447,1254.8887797471439,
Fusión_sn_kg_default,feed_Sn_kgf,pd,10308.669752968795,3483.750896666364,
Fusión_sn_kg_default,feed_Sn_kgf,pd,10769.076467817144,3721.714753359527,
Fusión_sn_kg_default,feed_Sn_kgf,pd,11229.483182665492,4610.451210431527,
Fusión_sn_kg_default,feed_Sn_kgf,pd,11689.88989751384,4895.531482247842,
Fusión_sn_kg_default,feed_Sn_kgf,pd,12150.29661236219,4933.869757232002,
Fusión_sn_kg_default,feed_Sn_kgf,pd,12610.70332721054,5608.604007232731,
Fusión_sn_kg_default,feed_Sn_kgf,pd,13071.110042058888,5597.507071770008,
Fusión_sn_kg_default,feed_Sn_kgf,pd,13531.516756907236,5597.507071770008,
Fusión_sn_kg_default,feed_Sn_kgf,ale,3003.004507258624,-2239.4855500457697,
Fusión_sn_kg_default,feed_Sn_kgf,ale,5274.100163542514,-1759.6626250486038,
Fusión_sn_kg_default,feed_Sn_kgf,ale,5443.954610154448,-1646.067230985131,
Fusión_sn_kg_default,feed_Sn_kgf,ale,5594.890044517773,-1471.3790393004829,
Fusión_sn_kg_default,feed_Sn_kgf,ale,5882.838402650695,-1219.7822864369914,
Fusión_sn_kg_default,feed_Sn_kgf,ale,6160.425406908385,-1032.762907859736,
Fusión_sn_kg_default,feed_Sn_kgf,ale,6312.884834197083,-861.6401664753425,
Fusión_sn_kg_default,feed_Sn_kgf,ale,6504.6444975534405,-554.1869759955762,
Fusión_sn_kg_default,feed_Sn_kgf,ale,6771.0835652750175,-239.07031016383553,
Fusión_sn_kg_default,feed_Sn_kgf,ale,7006.530751444729,-0.008151917294071609,
Fusión_sn_kg_default,feed_Sn_kgf,ale,7177.3441552161685,99.42985687299097,
Fusión_sn_kg_default,feed_Sn_kgf,ale,7416.516690451777,93.86707515557055,
Fusión_sn_kg_default,feed_Sn_kgf,ale,7688.569898908505,-6.246750271487599,
Fusión_sn_kg_default,feed_Sn_kgf,ale,7924.526218020135,47.67791271553415,
Fusión_sn_kg_default,feed_Sn_kgf,ale,8241.240975860128,153.50697546702213,
