analisis,subset,n,variable,coef,se,p,ci95_lo,ci95_hi,r2,metodo
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,LOCKBOX,63,temperatura_media_fusion,-0.0354411589218854,0.029210987023378432,0.22502209875343426,-0.09269364144057402,0.021811323596803205,0.14853386540818148,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,LOCKBOX,63,frac_carga_secundaria_media_fusion,-62.45359317517617,44.5528574287907,0.16097901704110573,-149.77558914395374,24.868402793601405,0.14853386540818148,ols_hc3_direccional
direccional_ttest,TOTAL,356,Fusión_tasa_feed_CaO_kg_min_dirmas,-0.08448060740666108,,0.8613783686147252,,,,ttest_welch
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,TOTAL,356,Intercept,74.13340111957521,10.74379150160359,5.196031461383193e-12,53.07595671902467,95.19084552012575,0.02173282315662617,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,TOTAL,356,en_direccion_deseada,-0.22937259046446057,0.5349339621644055,0.6680784285863931,-1.2778238904140073,0.8190787094850862,0.02173282315662617,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,TOTAL,356,ley_sn_conc_batch_pct,-0.15634697110250048,0.21462564239449577,0.46632983445718557,-0.5770055003544852,0.26431155814948415,0.02173282315662617,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,TOTAL,356,ley_sn_carga_batch_pct,0.2990095950040459,0.30290493289327247,0.3235739791808957,-0.2946731642062901,0.8926923542143819,0.02173282315662617,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,TOTAL,356,espesor_ladrillo_norm_mm,-0.02144787558571641,0.01963383318287621,0.2746600929415679,-0.0599294815026212,0.01703373033118838,0.02173282315662617,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,TOTAL,356,sn_cargado_batch_kg,-0.00010311178384662294,0.00013968662971065691,0.46041417639343385,-0.00037689254720129316,0.00017066897950804728,0.02173282315662617,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,TOTAL,356,temperatura_media_fusion,0.002222252233831431,0.006238387456905727,0.7216741522282965,-0.010004762503310213,0.014449266970973075,0.02173282315662617,ols_hc3_direccional
