analisis,subset,n,variable,coef,se,p,ci95_lo,ci95_hi,r2,metodo
PLACEBO_OLS_frac_sn_dross,LOCKBOX,63,Intercept,0.8175446926183324,1.0061815979034132,0.4164921633291033,-1.1545350011793198,2.789624386415985,0.13684952641815895,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,LOCKBOX,63,dist_total_placebo,0.0006454016557002735,0.0366838103128056,0.9859630325421932,-0.07125354537309771,0.07254434868449826,0.13684952641815895,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,LOCKBOX,63,ley_sn_conc_batch_pct,0.009806408595906337,0.02643167920510052,0.7106303288433702,-0.041998730697006964,0.061611547888819646,0.13684952641815895,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,LOCKBOX,63,ley_sn_carga_batch_pct,-0.029114344568526292,0.04103197756589707,0.4779816493428025,-0.10953554281214002,0.05130685367508743,0.13684952641815895,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,LOCKBOX,63,espesor_ladrillo_norm_mm,-0.0007353708407950446,0.005961785860758414,0.901832000236464,-0.012420256411421662,0.01094951472983157,0.13684952641815895,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,LOCKBOX,63,sn_cargado_batch_kg,3.449003922762726e-06,7.0944826944836614e-06,0.6268587040994413,-1.045592664736793e-05,1.735393449289338e-05,0.13684952641815895,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,LOCKBOX,63,temperatura_media_fusion,-9.139539691208076e-05,0.0002702068947006832,0.7351806144948918,-0.0006209911788998267,0.0004382003850756652,0.13684952641815895,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,LOCKBOX,63,frac_carga_secundaria_media_fusion,0.3671471228955609,0.41553526243406846,0.3769379562561781,-0.447287025781613,1.1815812715727347,0.13684952641815895,ols_hc3_placebo
correlacion_placebo,LOCKBOX,63,frac_sn_dross~dist_total_placebo,0.00571236559139785,,0.96455933836449,,,,spearman_placebo
PLACEBO_OLS_frac_sn_polvo,LOCKBOX,63,Intercept,-0.4130927899867311,0.8489741973022364,0.6265568971041581,-2.0770516405029165,1.2508660605294541,0.15076539291027047,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,LOCKBOX,63,dist_total_placebo,-0.03907274057197336,0.023828568065765575,0.10105850172494091,-0.08577587578403514,0.007630394640088425,0.15076539291027047,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,LOCKBOX,63,ley_sn_conc_batch_pct,-0.007440746924600859,0.0173717365043884,0.6684146086490264,-0.04148872482212186,0.026607230972920143,0.15076539291027047,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,LOCKBOX,63,ley_sn_carga_batch_pct,0.02579471013584146,0.02984666664446218,0.3874555668234677,-0.032703681545877356,0.08429310181756028,0.15076539291027047,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,LOCKBOX,63,espesor_ladrillo_norm_mm,-0.0020220264341275895,0.004277973137516378,0.6364558267641118,-0.010406699710489506,0.006362646842234327,0.15076539291027047,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,LOCKBOX,63,sn_cargado_batch_kg,-5.3455125146302435e-06,5.610352064286711e-06,0.34069420833373654,-1.6341600501222144e-05,5.650575471961655e-06,0.15076539291027047,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,LOCKBOX,63,temperatura_media_fusion,0.0005422225125091265,0.00031876658596364247,0.08894266332044043,-8.254851545440387e-05,0.001166993540472657,0.15076539291027047,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,LOCKBOX,63,frac_carga_secundaria_media_fusion,0.2745398777006838,0.4078238782891097,0.5008312247047036,-0.5247802357814177,1.0738599911827853,0.15076539291027047,ols_hc3_placebo
correlacion_placebo,LOCKBOX,63,frac_sn_polvo~dist_total_placebo,-0.074644777265745,,0.5609558325282179,,,,spearman_placebo
PLACEBO_OLS_rendimiento_proxy_batch,TOTAL,356,Intercept,75.41780157675491,10.770508709461877,2.5188292678192965e-12,54.307992411034654,96.52761074247516,0.023437197063102433,ols_hc3_placebo
PLACEBO_OLS_rendimiento_proxy_batch,TOTAL,356,dist_total_placebo,-1.2214043017689278,1.2717956664493457,0.3368651158222252,-3.714078003703761,1.2712694001659055,0.023437197063102433,ols_hc3_placebo
PLACEBO_OLS_rendimiento_proxy_batch,TOTAL,356,ley_sn_conc_batch_pct,-0.13244586910421594,0.2104254528702953,0.5290744993110708,-0.5448721781605252,0.27998043995209343,0.023437197063102433,ols_hc3_placebo
PLACEBO_OLS_rendimiento_proxy_batch,TOTAL,356,ley_sn_carga_batch_pct,0.2811095733477238,0.2987199637842288,0.34668069244006405,-0.30437079713247395,0.8665899438279215,0.023437197063102433,ols_hc3_placebo
PLACEBO_OLS_rendimiento_proxy_batch,TOTAL,356,espesor_ladrillo_norm_mm,-0.023586646416417858,0.019116896076129593,0.21727314939414055,-0.06105507422182695,0.013881781388991227,0.023437197063102433,ols_hc3_placebo
PLACEBO_OLS_rendimiento_proxy_batch,TOTAL,356,sn_cargado_batch_kg,-0.00010078993436151362,0.0001407968216924038,0.47408165225730137,-0.0003767466340163329,0.00017516676529330565,0.023437197063102433,ols_hc3_placebo
PLACEBO_OLS_rendimiento_proxy_batch,TOTAL,356,temperatura_media_fusion,0.00252796703879566,0.006213576058709627,0.6841212794536169,-0.009650418251475544,0.014706352329066865,0.023437197063102433,ols_hc3_placebo
PLACEBO_OLS_rendimiento_proxy_batch,TOTAL,356,frac_carga_secundaria_media_fusion,-3.931699215045022,3.970918591908872,0.3221138320652748,-11.714556640726915,3.8511582106368714,0.023437197063102433,ols_hc3_placebo
correlacion_placebo,TOTAL,357,rendimiento_proxy_batch~dist_total_placebo,-0.05336221488783826,,0.314689895932636,,,,spearman_placebo
PLACEBO_OLS_frac_sn_dross,TOTAL,356,Intercept,-0.008587608233291397,0.08166472717886197,0.9162513226483138,-0.16864753231115015,0.15147231584456738,0.06985443545583814,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,TOTAL,356,dist_total_placebo,0.00795027921079191,0.010239053049427233,0.4374737358915237,-0.012117896001880481,0.0280184544234643,0.06985443545583814,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,TOTAL,356,ley_sn_conc_batch_pct,0.0013235727332977737,0.0014786183635163317,0.3707114254113877,-0.0015744660060737898,0.004221611472669337,0.06985443545583814,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,TOTAL,356,ley_sn_carga_batch_pct,-0.0018039434047522037,0.002515841782012073,0.4733532874671983,-0.006734902688296937,0.0031270158787925295,0.06985443545583814,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,TOTAL,356,espesor_ladrillo_norm_mm,0.0005918806047804342,0.00015836952406976518,0.0001859780727237806,0.00028148204135494524,0.0009022791682059231,0.06985443545583814,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,TOTAL,356,sn_cargado_batch_kg,2.7683600225502627e-06,1.2110540224342272e-06,0.02225954739639877,3.947377552468149e-07,5.141982289853711e-06,0.06985443545583814,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,TOTAL,356,temperatura_media_fusion,-0.00014575443442567192,4.787731168118307e-05,0.0023319759621458543,-0.00023959224099738959,-5.1916627853954275e-05,0.06985443545583814,ols_hc3_placebo
PLACEBO_OLS_frac_sn_dross,TOTAL,356,frac_carga_secundaria_media_fusion,0.005095668074807151,0.02636166935451522,0.8467252921703117,-0.04657225443239593,0.056763590582010234,0.06985443545583814,ols_hc3_placebo
correlacion_placebo,TOTAL,357,frac_sn_dross~dist_total_placebo,0.04296786192978227,,0.418296318527564,,,,spearman_placebo
PLACEBO_OLS_frac_sn_polvo,TOTAL,356,Intercept,0.25440959246574346,0.07051995981828814,0.0003090122968362296,0.11619301103068694,0.3926261739008,0.059904658475964156,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,TOTAL,356,dist_total_placebo,0.004263763806897469,0.009155577511792315,0.6414293641384605,-0.01368083837388031,0.022208365987675248,0.059904658475964156,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,TOTAL,356,ley_sn_conc_batch_pct,8.859577443774604e-07,0.0014138134334464002,0.9995000104378869,-0.0027701374526694833,0.0027719093681582386,0.059904658475964156,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,TOTAL,356,ley_sn_carga_batch_pct,-0.001007152328725073,0.0017406712429060176,0.5628591250660044,-0.004418805273745439,0.0024045006162952934,0.059904658475964156,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,TOTAL,356,espesor_ladrillo_norm_mm,-0.00035601414061626086,0.00013443731640206,0.008092655169919395,-0.0006195064389425143,-9.252184229000741e-05,0.059904658475964156,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,TOTAL,356,sn_cargado_batch_kg,-1.7604606789353747e-06,7.880971170157322e-07,0.025495455513651687,-3.3051026446060586e-06,-2.1581871326469094e-07,0.059904658475964156,ols_hc3_placebo
