Batch,rendimiento_proxy_batch,fusion_carbon_total_kg,fusion_carbon_rate_mean,fusion_carbon_rate_cv,fusion_b2_mean,fusion_frac_b2_optimo,fusion_o2_exceso_mean,fusion_o2_exceso_std,fusion_duracion_total_min,fusion_ley_sn_pico,fusion_ley_sn_final,fusion_temp_mean,fusion_temp_trend,fusion_cao_total_kg,fusion_interaccion_C_x_Sn_prev_mean,delta_FR_ley_sn_escoria_pct,delta_FR_ley_feo_escoria_pct,delta_FR_temperatura_horno_celsius,delta_FR_presion_punta_lanza_kpa,delta_FR_exceso_o2_combustion_pct,reduccion_carbon_total_kg,reduccion_carbon_rate_first,reduccion_carbon_decay_ratio,reduccion_gn_total_nm3,reduccion_o2_total_nm3,reduccion_aire_total_nm3,reduccion_o2_exceso_mean,reduccion_lanza_pos_mean,reduccion_lanza_pos_std,reduccion_frac_en_valle_lanza,reduccion_selectividad_media,reduccion_duracion_total_min,reduccion_ley_sn_inicio,reduccion_ley_sn_final,reduccion_ley_feo_final,reduccion_feo_caida_total,reduccion_sn_caida_total,n_escalones_reduccion,suma_pred_delta_sn_reduccion_modelo,recuperacion_real_batch_pct
AP0001,79.91765201995008,14117.54126315219,37.388174267162604,0.34191983606329396,0.4967413690254339,0.0,19.317198867620256,1.8533046184841822,345.0,27.9049,17.9512,1199.8433943567873,9.640629650615736,14120.866362410887,969.7041006884166,-13.734300000000001,1.1712199409078679,10.365079665245275,,-24.975742427714348,3288.33303015077,63.27719600282865,0.0688133105267218,2023.6401377360025,1548.2211246914333,10686.274905056423,-6.348214002685308,2216.3208804802844,166.53183169743346,0.0,-8.833703440806627,90.0,17.9512,,,0.7639173999462798,-16.6436,4,-15.868862112677096,67.62373749669
AP0002,73.05531072136027,14679.012220003035,38.121249795177256,0.3141318877739614,0.49416809193518485,0.0,18.654695583240287,0.39181573391098273,351.0,20.9924,15.249,1309.4844819802286,-0.553468584215859,14415.636644352333,723.3011934339852,-10.8688,0.42621393499866045,-24.696196740361756,,-23.801820696740624,3020.959989279632,48.93401318538786,0.11731826025663343,2246.6251182039255,1773.137416462999,11743.762602370087,-5.769659545814716,3330.1210406315795,883.985942029312,0.25,-6.674374061334973,103.0,15.249,1.0755,15.49049009938222,-1.1578404512489886,-14.1735,4,-13.745618611015379,67.26438959007011
AP0003,79.15175258246624,15007.779303529625,41.53353279806105,0.15595408821306664,0.49262524042537326,0.0,19.060215300566433,0.6123060594908949,351.0,22.0339,13.579,1267.0349252921192,-20.737775799854703,15711.730781490287,812.5371375499426,-11.1297,1.318908922911632,-1.744567905068834,,-24.347281326549112,3342.8119779200124,62.903888267599115,0.168673383831697,1921.4647594875757,1383.6945468266804,10647.726799858941,-6.006362361001772,2744.7677516128074,370.451694642642,0.0,-2.234345469620292,90.0,13.579,,,-0.18165230190706438,-12.4809,4,-10.378411155834796,74.59717483983013
AP0004,72.52505027310832,13875.869105683629,37.772928213670966,0.16224565706646418,0.540391628811698,0.0,18.721244187237225,0.239972717195806,352.0,19.7822,15.8259,1216.3569351554343,-5.911811437517666,16974.487200824795,700.9117412506112,-13.351400000000002,0.45297291431641185,5.860056758369183,,-25.097988752607055,3233.2288477356906,62.50077783728159,0.0707266482873228,1993.7046657986111,1478.949780795718,10768.001190863717,-6.253103007661684,3081.8997364540705,317.93478218319757,0.25,-9.497625773530435,90.0,15.8259,,,0.384403029814667,-14.921500000000002,4,-12.696063843780756,71.40497210915369
AP0005,71.60074551166002,14132.536257052574,39.5413215801202,0.25043556515028287,0.590102963323433,0.0,18.718032584147743,0.32452581358886473,338.0,21.6596,15.2977,1249.450937337607,-4.969560403326673,16342.631454079412,837.5038622495453,-10.780800000000001,0.001157840451250891,-7.226642397634805,,-33.525104947772704,3516.174568292555,15.050070617019488,1.9099798990685513,2029.3425097786057,1540.7359854759468,10492.378023987538,-8.3495665724406,3817.1136801837483,1602.8274222041146,0.0,-2330.3931182349666,121.0,15.2977,1.7373,15.424493193661025,-0.4961989578297068,-13.560400000000001,4,-12.701050366708637,66.48723551500775
AP0006,73.67015516465584,13809.300325088678,39.980763405914495,0.18849366589797725,0.5605242308358397,0.0,18.611385780050995,0.13639930476207696,330.0,23.6674,15.2055,1230.02669141176,-6.391999875194581,15504.87707251315,850.9851865903266,-12.5325,0.21600156862745123,-3.9795333408198985,,-23.88009588125052,3227.444025693095,57.413702983240924,0.16064676562800495,1947.945339012146,1515.479906972249,10331.417083062066,-5.496829626980697,2826.11190313979,170.4927418971761,0.0,-26.641480852956512,86.0,15.2055,,,-0.09108344883158637,-13.987300000000001,4,-12.824545395612716,66.61048864864912
AP0007,74.14683229482415,13778.291944259663,39.30590678080689,0.22177627941694858,0.5525697343559771,0.0,24.16219392875777,14.369736588480961,333.0,24.6101,17.6383,1210.4768121249883,-9.910744780019296,16010.994949298369,965.2499132261111,-13.426100000000002,1.1955345903840993,-6.727775596569472,,54.229903407408074,2600.2170123262886,38.302771783644154,0.0,881.8872714894981,1062.0076885137428,5679.422100328651,52.00590596168363,3708.0867214860587,1457.1198769566818,0.0,-1.2519306190180701,100.0,17.6383,1.0628,15.536932366371206,0.728924888530754,-16.5755,4,-12.45527924578786,70.55223508172126
AP0008,59.56529046993668,12712.595514026798,34.708869914158875,0.46442603398795923,0.5502336291044233,0.0,18.619283692354802,0.12565465576898238,335.0,20.8001,14.5649,1195.196995634653,0.3749335884611008,14546.78282378216,788.8496083607903,-11.5856,0.3595737845823237,-0.7371862419513491,,-25.32906516706369,3314.016009285609,58.29182312668011,0.2601113158015088,1921.8164458864399,1346.9671056859354,10751.949039713541,-6.168036207682603,2843.2175076998196,299.02622615695793,0.0,-8.637024438174208,90.0,14.5649,1.0782,16.277178361536393,0.11990081117378182,-13.486699999999999,4,-12.68964763430953,56.917572411043
AP0009,77.74576970038642,13574.684715218023,40.19496975547296,0.36970719463582113,0.5900376293068341,0.0,18.821788477211776,0.3161373679857755,309.0,23.7391,14.0545,1245.9461460727223,-14.036429807740294,11544.255186759106,868.7706776896734,-10.0035,0.9740011173784566,-12.779862038283682,,-24.632612405035733,3255.5794211206435,60.357875635290654,0.16994014519695638,2040.4260551876494,1601.0451219770644,10897.263473849827,-4.782201883832849,3443.4967502723193,494.0469865276177,0.5,4.374904837356326,90.0,14.0545,,,0.0074616384636030375,-13.1181,4,-11.810361645138265,65.78759067589957
AP0010,68.50557650116588,13483.929318309383,36.07553141525065,0.41554444909195115,0.7233413403966628,0.0,23.677776079706934,12.438849608698739,342.0,23.3321,19.0033,1227.4300561958028,-8.868983308461697,10845.222147376187,719.7216201348741,-10.7394,3.883654171367178,-13.745105334157415,,-25.25588404360521,3315.604760548838,58.87048772996471,0.2277248472290403,1938.4853121968724,1375.2540225018324,10765.603647763153,-6.380737178783923,2836.482382079147,436.1550043347116,0.25,12.393857808743718,90.0,19.0033,0.518,12.3129899543379,0.14897547139403855,-18.485300000000002,4,-18.622393999112397,68.30094269633045
