kpi,variable,importancia_perm_lockbox,importancia_perm_std,r2_oof_dev,r2_lockbox,n_dev,n_lockbox
f_dross,C_por_Sn_F,0.05462944090921997,0.03322873760283238,0.121378539175508,-0.8454343275873597,297,63
f_dross,cal_por_carga_F,0.0065068240242906585,0.012322194575771292,0.121378539175508,-0.8454343275873597,297,63
f_dross,gn_por_t_carga_F,-0.010505420748804806,0.013981171526635503,0.121378539175508,-0.8454343275873597,297,63
f_dross,exceso_o2_F,0.04714371214241564,0.02849656143894004,0.121378539175508,-0.8454343275873597,297,63
f_dross,enriq_o2_F,0.005153676095126203,0.009553788859648268,0.121378539175508,-0.8454343275873597,297,63
f_dross,T_media_F,0.0002895675822598864,0.002287609895496342,0.121378539175508,-0.8454343275873597,297,63
f_dross,T_final_F,-0.00040954641674866287,0.0012777511444285864,0.121378539175508,-0.8454343275873597,297,63
f_dross,dur_F,-0.0015865566712514045,0.011818843311218373,0.121378539175508,-0.8454343275873597,297,63
f_dross,feed_rate_F,-0.019270875892769677,0.024024250510848673,0.121378539175508,-0.8454343275873597,297,63
f_dross,lanza_media_F,0.04373361825135387,0.0340597987179768,0.121378539175508,-0.8454343275873597,297,63
f_dross,lanza_std_F,0.005028155833507108,0.05439233757593624,0.121378539175508,-0.8454343275873597,297,63
f_dross,carbon_total_R,0.0015992521408930483,0.005484742215887522,0.121378539175508,-0.8454343275873597,297,63
f_dross,carbon_por_Sn_inv_R,0.006994458350194588,0.03164251057042625,0.121378539175508,-0.8454343275873597,297,63
f_dross,gn_total_R,0.020649884734752398,0.027090522129993744,0.121378539175508,-0.8454343275873597,297,63
f_dross,exceso_o2_R,0.0,0.0,0.121378539175508,-0.8454343275873597,297,63
f_dross,dur_R,0.0,0.0,0.121378539175508,-0.8454343275873597,297,63
f_dross,carbon_rate_R0,0.01593326085049851,0.009187629470770975,0.121378539175508,-0.8454343275873597,297,63
f_dross,perfil_carbon_R,0.04546181454374128,0.012597265486164784,0.121378539175508,-0.8454343275873597,297,63
f_dross,T_media_R,-0.005989411730764704,0.002267743224663641,0.121378539175508,-0.8454343275873597,297,63
f_dross,lanza_media_R,-0.043276199874602427,0.02855957532906154,0.121378539175508,-0.8454343275873597,297,63
f_dross,feed_sn_total_t,-0.013489650107425134,0.00907448797732072,0.121378539175508,-0.8454343275873597,297,63
