fase,clave,target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda
Fusión,sn_kg,sn_extraido_est_kg,relacion_C_Sn_carga,991.8464033233194,-1496.7736020516465,3771.3551121361934,0.05162248722903377,51.20157828872113,-77.267176156666,194.68673111240187,False,1,True
Fusión,sn_kg,sn_extraido_est_kg,relacion_CaO_carga,-18798.777049820605,-30772.7719649695,-7788.501535014125,0.023397624018664777,-439.84671742240675,-720.0097484484644,-182.23243058505398,True,0,
Fusión,sn_kg,sn_extraido_est_kg,tasa_gn_nm3_min,149.7386434361888,85.38275575177275,229.9140851876559,1.4760422515594789,221.0205644030141,126.02855504419969,339.36290396562543,True,1,True
Fusión,sn_kg,sn_extraido_est_kg,exceso_o2_combustion_pct,29.765972377768776,-7.126815922945343,60.29858917542428,2.721769601314613,81.0161187713815,-19.397550933237582,164.11886701982817,False,0,
Fusión,dT,d_temperatura_horno_celsius,tasa_gn_nm3_min,-0.04300322733886589,-1.2307418760325404,0.8985951790627713,1.4912350039331133,-0.06412791788981025,-1.8353253663460325,1.3400165853839483,False,1,False
Fusión,dT,d_temperatura_horno_celsius,tasa_o2_nm3_min,-0.33651036667815315,-0.7411831660899363,0.21479773710444153,3.333177422863195,-1.1216487567710354,-2.4704949954172375,0.7159589677986286,False,0,
Fusión,dT,d_temperatura_horno_celsius,tasa_aire_nm3_min,0.13512522873810476,-0.15468854204066831,0.42305520528540314,5.436636278274587,0.7346267206677322,-0.8409853394917011,2.2999972767675256,False,-1,False
Fusión,dT,d_temperatura_horno_celsius,tasa_feed_Carbon_kg_min,-0.0154681698879343,-0.18067618463340682,0.12804467106750614,7.185600688580564,-0.11114809219782185,-1.2982669167119172,0.9200778765917439,False,0,
Reducción,sn_kg,sn_extraido_est_kg,Cx_sn_v4,1.672937754088376,-0.16046533773284893,3.2828136852424024,275.50136625823814,460.89663691633604,-44.20841978248949,904.4196554555235,False,1,True
Reducción,sn_kg,sn_extraido_est_kg,tasa_gn_nm3_min,16.539681576656385,4.572050616623185,29.336812044528408,4.922976013367435,81.42445567061466,22.508095517537733,144.42442200388223,True,1,True
Reducción,sn_kg,sn_extraido_est_kg,exceso_o2_combustion_pct,-0.033306400570097594,-1.9971458117848953,1.6952215548247431,10.776273061898971,-0.3589188672523592,-21.52178861222192,18.26817037520837,False,-1,True
Reducción,feo_kg,feo_extraido_est_kg,tasa_feed_Carbon_kg_min,18.810511778904168,-15.458342084507775,59.02944336949673,21.99076854783762,413.65761079625486,-339.94082291370825,1298.1028266462909,False,1,True
Reducción,feo_kg,feo_extraido_est_kg,Cx_av_v4,-17.288428557556365,-60.37355370065254,22.144718724226024,17.46592144463136,-301.95833508740094,-1054.4797462688302,386.7779176507889,False,1,False
Reducción,feo_kg,feo_extraido_est_kg,tasa_gn_nm3_min,11.533038047898975,-10.424350837434334,33.798739922072706,4.915809154051561,56.69421400988673,-51.244119271704754,166.14815510433294,False,1,True
Reducción,feo_kg,feo_extraido_est_kg,exceso_o2_combustion_pct,-4.658415921161407,-9.36416257207922,-0.32143763296449374,10.827673626498992,-50.43980721082238,-101.39209611595113,-3.480421781013912,True,-1,True
Reducción,feo_kg,feo_extraido_est_kg,tasa_aire_nm3_min,0.8587941367082461,-4.898161483500656,6.021671430121219,9.311100762978667,7.996318741545756,-45.60727512621568,56.06838944740852,False,-1,False
Reducción,dT,d_temperatura_horno_celsius,tasa_gn_nm3_min,0.45585976684752655,0.003920023794819816,0.8420982817878933,5.000946414336985,2.279730266456632,0.019603828940819818,4.211288382826501,True,1,True
Reducción,dT,d_temperatura_horno_celsius,tasa_o2_nm3_min,-0.4186467188917882,-0.7345580043257732,-0.0793694607326669,8.78522632200191,-3.677906174427872,-6.453258314639975,-0.6972786755917222,True,0,
Reducción,dT,d_temperatura_horno_celsius,tasa_aire_nm3_min,-0.04074432718594212,-0.12329325362799648,0.039668295545344366,10.132722009522976,-0.412850940840201,-1.2492962646620984,0.40194781135257307,False,-1,True
Reducción,dT,d_temperatura_horno_celsius,tasa_feed_Carbon_kg_min,0.08558716510699724,-0.02844218409324667,0.24050699722835703,21.999766137066832,1.8828976166884657,-0.625721398478829,5.291097693352035,False,0,
