n_escalones,uplift_fisico_fusion_kg,uplift_fisico_reduccion_kg,uplift_fisico_total_kg,uplift_J_fusion_kg,uplift_J_reduccion_kg,uplift_J_total_kg,reduccion_sn_extraido_adicional_kg,reduccion_feo_reducido_adicional_kg,pct_escalones_con_mejora,support_medio_historico,support_medio_recomendado,Batch,es_lockbox,fold,dist_Fusión_tasa_feed_Carbon_kg_min,dir_Fusión_tasa_feed_Carbon_kg_min,dist_Fusión_tasa_gn_nm3_min,dir_Fusión_tasa_gn_nm3_min,dist_Fusión_tasa_o2_nm3_min,dir_Fusión_tasa_o2_nm3_min,dist_Fusión_tasa_aire_nm3_min,dir_Fusión_tasa_aire_nm3_min,dist_F,dist_Reducción_tasa_feed_Carbon_kg_min,dir_Reducción_tasa_feed_Carbon_kg_min,dist_Reducción_tasa_gn_nm3_min,dir_Reducción_tasa_gn_nm3_min,dist_Reducción_tasa_o2_nm3_min,dir_Reducción_tasa_o2_nm3_min,dist_Reducción_tasa_aire_nm3_min,dir_Reducción_tasa_aire_nm3_min,dist_R,dist_total,rendimiento_proxy_batch,f_metal,f_dross,f_polvo,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,sn_cargado_batch_kg,temperatura_media_fusion,frac_carga_secundaria_media_fusion,fecha_inicio_batch
10,0.0,60.247377762198475,60.247377762198475,0.0,59.48000890386533,59.48000890386533,-41.5268562502805,-143.45831867915172,40.0,0.23189057772935978,0.23173710395769226,AP0001,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14850594992924268,-0.05094067631465036,0.1867120298198772,-0.10450000178304189,0.1858085283196273,0.17424421229507803,0.17454273038472892,0.1735317319161019,0.17389230961336902,0.08694615480668452,79.91765201995008,0.7991765201995008,0.08263694984335675,0.11818652995714247,41.43282990669513,299.99971591319826,49907.386443483614,1199.8433943567873,7.04913158954446e-05,2026-04-21 18:36:00
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16594734092747215,0.16594734092747215,AP0002,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.05531072136027,0.7305531072136027,0.12935509971758247,0.14009179306881472,41.43282990669513,299.99971591319826,49489.247137855884,1309.4844819802286,3.2638419299333144e-05,2026-04-22 03:22:00
10,0.0,208.18346037649138,208.18346037649138,0.0,210.47752833342906,210.47752833342906,55.54514266847028,-231.45694748943743,40.0,0.24658323496584136,0.2470420485572291,AP0003,False,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1974824384155915,-0.1355726370585844,0.28145531790644,-0.031539180801366556,0.3523512870849371,0.3523512870849371,0.28815699561525676,-0.046195296115950545,0.27986150975555635,0.13993075487777817,79.15175258246624,0.7915175258246625,0.07712140760278896,0.13136106657254842,41.432829906695126,299.99971591319826,50071.225995084955,1267.0349252921192,3.2441315410357124e-05,2026-04-22 12:29:00
10,393.51618038254554,225.77842513916755,619.294605521713,393.6343421472171,197.37786366484238,591.0122058120595,12.773933015003536,-315.69800502369867,50.0,0.2567503103855109,0.25109383044357997,AP0004,False,4,0.3453995315722114,0.3453995315722114,0.5272017818233836,0.5272017818233836,0.5087356435316278,0.5087356435316278,0.04040996489141794,0.011191854596171953,0.35543673045466023,0.13849617635337788,-0.13849617635337788,0.16784283130471303,-0.1319486626679833,0.2181781221524024,0.2181781221524024,0.13646883264333812,-0.07681610637558947,0.16524649061345786,0.260341610534059,72.52505027310832,0.7252505027310832,0.12284919932885231,0.1519002979400646,41.43282990669514,299.99971591319826,50407.47014784682,1216.3569351554343,2.62387222673284e-05,2026-04-22 21:08:00
10,49.799802829663946,11.054661497281675,60.85446432694562,38.03002681490568,39.41504628106799,77.44507309597367,-41.176856110932704,-74.14878950510513,20.0,0.2049782042158827,0.2082963259696883,AP0005,False,3,0.04642045155509664,0.04642045155509664,0.04792126177630434,-0.04792126177630434,0.04259419772632935,-0.04259419772632935,0.035158147107001166,0.035158147107001166,0.043023514541182875,0.07694995807577404,-0.07694995807577404,0.03324422403552487,-0.03324422403552487,0.016556127234495236,0.016556127234495236,0.001780931580544301,-0.001780931580544301,0.03213281023158461,0.03757816238638374,71.60074551166002,0.7160074551166002,0.12240181182456374,0.16159073305883612,41.43282990669513,299.99971591319826,48723.45759162705,1249.450937337607,0.014676235221650857,2026-04-23 05:45:00
9,97.30400826738506,83.86694958760296,181.17095785498802,95.89342322542177,80.89526652558322,176.788689751005,2.5742674287585885,-121.97767826332671,44.44444444444444,0.26862618261822946,0.26765234526178877,AP0006,False,4,0.09102705591523656,0.09102705591523656,0.08806629049972763,-0.08806629049972763,0.08373219134119607,-0.08373219134119607,0.06517239638198245,0.06517239638198245,0.08199948353453568,0.05659504340042504,-0.05105786351448068,0.16792139532381625,-0.08257859256198721,0.1197625642803809,0.1197625642803809,0.023215864382374853,0.018342227478823893,0.09187371684674926,0.08693660019064248,73.67015516465584,0.7367015516465584,0.08747735129382754,0.175821097059614,41.43282990669514,299.99971591319826,49795.58125591482,1230.02669141176,1.1348174603105027e-05,2026-04-23 14:40:00
8,0.0,0.12177274321219045,0.12177274321219045,0.0,20.203103368275663,20.203103368275663,-19.886578378175045,0.0,12.5,0.1794361623198632,0.18445649497612898,AP0007,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38012213156908986,-0.38012213156908986,0.19640795180448983,0.19640795180448983,0.13647868629303847,-0.13647868629303847,0.0026518454946914986,0.0026518454946914986,0.17891515379032744,0.0894575768951637,74.14683229482415,0.7414683229482415,0.08838031171581676,0.1701513653359418,41.43282990669513,299.99971591319826,49049.84223379435,1210.4768121249883,8.27745483211954e-05,2026-04-23 22:38:00
4,0.0,121.88502865053186,121.88502865053186,0.0,128.96644587925562,128.96644587925562,111.30304185467105,-26.829512223532845,100.0,0.3302713096920167,0.3338120183063759,AP0008,False,0,,,,,,,,,,0.2028611860027155,0.07662684133332867,0.24612283870644763,0.02962532618962954,0.43894575048608564,0.43894575048608564,0.09970257137001826,-0.029833308620149275,0.24690808664131675,0.24690808664131675,59.56529046993668,0.5956529046993667,0.21681947670288612,0.18752761859774708,41.80029722790323,299.99971591319826,45648.046639036,1195.196995634653,,2026-04-24 07:23:00
10,673.4364657884581,12.797479609689486,686.2339453981476,700.2523542709617,24.382352133492876,724.6347064044546,8.0676352809393,0.0,40.0,0.2424510861185997,0.2501312383198611,AP0009,False,2,0.6477530020489537,0.6477530020489537,0.2781969477729763,0.24094143413360827,0.2839295928001846,0.2839295928001846,0.09163028060783225,0.07016763696706092,0.3253774558074867,0.06037356539063777,-0.06037356539063777,0.018737485126929004,0.018737485126929004,0.05004801474169752,0.05004801474169752,0.10725193464907101,-0.10725193464907101,0.05910274997708383,0.19224010289228527,77.74576970038642,0.7774576970038642,0.07465371759361254,0.1478885854025233,42.415478561836736,299.99971591319826,49688.51977121447,1245.9461460727223,0.5889689319920993,2026-04-24 15:46:00
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10743340920651775,0.10743340920651775,AP0010,False,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.50557650116588,0.6850557650116589,0.12254939092734289,0.19239484406099827,42.415478561836736,299.99971591319826,47940.42176779384,1227.4300561958028,0.599878308490001,2026-04-24 23:48:00
