limpiar_dataset: 2 valor(es) marcados como NaN en 2 columna(s) (detalle en el reporte devuelto).
Reducción | d_ley_sn_escoria_pct   | duracion_plan_min            | theta=-0.02842 [-0.596,+1.28] | 1sd->-0.167 (-0.03 sd) | NO_SIGNIFICATIVO
Reducción | d_ley_sn_escoria_pct   | posicion_vertical_lanza_mm   | theta=+0.0002075 [+0.000139,+0.000337] | 1sd->+0.149 (+0.03 sd) | ROBUSTO
Reducción | d_ley_feo_escoria_pct  | tasa_feed_Carbon_kg_min      | theta=-0.003299 [-0.0112,+0.0033] | 1sd->-0.0725 (-0.06 sd) | NO_SIGNIFICATIVO
Reducción | d_ley_feo_escoria_pct  | tasa_gn_nm3_min              | theta=-0.02947 [-0.0452,-0.0143] | 1sd->-0.147 (-0.13 sd) | ROBUSTO
Reducción | d_ley_feo_escoria_pct  | exceso_o2_combustion_pct     | theta=+0.00711 [+0.00338,+0.0108] | 1sd->+0.0797 (+0.07 sd) | ROBUSTO
Reducción | d_ley_feo_escoria_pct  | oxygen_enrichment_pct        | theta=-0.0116 [-0.0347,+0.00216] | 1sd->-0.0544 (-0.05 sd) | NO_SIGNIFICATIVO
Reducción | d_ley_feo_escoria_pct  | duracion_plan_min            | theta=-0.1893 [-0.441,+0.594] | 1sd->-1.12 (-0.98 sd) | NO_SIGNIFICATIVO
Reducción | d_ley_feo_escoria_pct  | posicion_vertical_lanza_mm   | theta=-9.477e-05 [-0.000197,-7.99e-07] | 1sd->-0.0683 (-0.06 sd) | SIGNIFICATIVO_MODERADO
         fase                 target                      accion     n  theta_por_unidad     ci95_lo    ci95_hi  efecto_por_1sd_accion  efecto_por_1sd_en_sd_target  placebo_std  pasa_placebo_3sigma  frac_subset_mismo_signo               veredicto
0      Fusión     sn_extraido_est_kg     tasa_feed_Carbon_kg_min  1752           22.9061      1.8592    38.1981               195.9901                       0.0645       5.1719                 True                   1.0000                 ROBUSTO
1      Fusión     sn_extraido_est_kg          relacion_CaO_carga  1752       -18074.6911 -28381.9631 -4989.5081              -422.5619                      -0.1390    2265.4127                 True                   1.0000                 ROBUSTO
2      Fusión     sn_extraido_est_kg      tasa_feed_total_kg_min  1752            8.5620      6.6028    11.1050               338.1325                       0.1112       0.4563                 True                   1.0000                 ROBUSTO
3      Fusión     sn_extraido_est_kg       frac_carga_secundaria  1746         2188.0421    -13.8898  4666.4022               200.9769                       0.0661     252.0205                 True                   1.0000        NO_SIGNIFICATIVO
4      Fusión     sn_extraido_est_kg   tasa_feed_dross_Fe_kg_min  1746           14.5941      5.7976    22.3466               242.3202                       0.0796       1.1212                 True                   1.0000                 ROBUSTO
5      Fusión     sn_extraido_est_kg    tasa_feed_pellets_kg_min  1752           19.5242     11.6496    26.3014               467.5032                       0.1538       1.0545                 True                   1.0000                 ROBUSTO
6      Fusión     sn_extraido_est_kg           duracion_plan_min  1752           45.7358    -41.5246   144.0918               452.7808                       0.1489       2.1486                 True                   1.0000        NO_SIGNIFICATIVO
7      Fusión     sn_extraido_est_kg             tasa_gn_nm3_min  1752          213.7125    153.3710   304.4989               315.3332                       0.1037      11.1693                 True                   1.0000                 ROBUSTO
8      Fusión     sn_extraido_est_kg    exceso_o2_combustion_pct  1752            2.2819    -24.5074    27.7471                 6.2055                       0.0020       3.3428                False                   1.0000        NO_SIGNIFICATIVO
9      Fusión     sn_extraido_est_kg  posicion_vertical_lanza_mm  1752           -0.3382     -0.6504    -0.0735              -415.2716                      -0.1366       0.0264                 True                   1.0000                 ROBUSTO
10     Fusión   d_ley_sn_escoria_pct     tasa_feed_Carbon_kg_min  1779            0.0136     -0.0227     0.0383                 0.1184                       0.0304       0.0064                False                   1.0000        NO_SIGNIFICATIVO
11     Fusión   d_ley_sn_escoria_pct          relacion_CaO_carga  1777           -5.9244    -26.6910    16.6584                -0.1379                      -0.0354       1.2012                 True                   1.0000        NO_SIGNIFICATIVO
12     Fusión   d_ley_sn_escoria_pct      tasa_feed_total_kg_min  1779            0.0103      0.0058     0.0137                 0.4351                       0.1116       0.0030                 True                   1.0000                 ROBUSTO
13     Fusión   d_ley_sn_escoria_pct       frac_carga_secundaria  1770           -0.8367     -4.8008     6.8732                -0.0764                      -0.0196       0.7069                False                   0.6667        NO_SIGNIFICATIVO
14     Fusión   d_ley_sn_escoria_pct   tasa_feed_dross_Fe_kg_min  1771            0.0233      0.0077     0.0441                 0.3869                       0.0991       0.0021                 True                   1.0000                 ROBUSTO
15     Fusión   d_ley_sn_escoria_pct    tasa_feed_pellets_kg_min  1778            0.0176      0.0041     0.0290                 0.4237                       0.1087       0.0018                 True                   1.0000                 ROBUSTO
16     Fusión   d_ley_sn_escoria_pct           duracion_plan_min  1779           -0.0110     -0.1192     0.0962                -0.1095                      -0.0281       0.0044                False                   0.6667        NO_SIGNIFICATIVO
17     Fusión   d_ley_sn_escoria_pct             tasa_gn_nm3_min  1778            0.0335     -0.1015     0.1093                 0.0541                       0.0139       0.0205                False                   1.0000        NO_SIGNIFICATIVO
18     Fusión   d_ley_sn_escoria_pct    exceso_o2_combustion_pct  1778           -0.0087     -0.0881     0.0632                -0.0340                      -0.0087       0.0161                False                   1.0000        NO_SIGNIFICATIVO
19     Fusión   d_ley_sn_escoria_pct  posicion_vertical_lanza_mm  1778            0.0002     -0.0003     0.0006                 0.1960                       0.0503       0.0000                 True                   1.0000        NO_SIGNIFICATIVO
20     Fusión  d_ley_feo_escoria_pct     tasa_feed_Carbon_kg_min  1774            0.0080      0.0009     0.0166                 0.0697                       0.0582       0.0002                 True                   1.0000                 ROBUSTO
21     Fusión  d_ley_feo_escoria_pct           duracion_plan_min  1774            0.0042     -0.0175     0.0234                 0.0412                       0.0344       0.0013                 True                   1.0000        NO_SIGNIFICATIVO
22     Fusión  d_ley_feo_escoria_pct             tasa_gn_nm3_min  1773            0.0133     -0.0225     0.0555                 0.0196                       0.0164       0.0233                False                   1.0000        NO_SIGNIFICATIVO
23     Fusión  d_ley_feo_escoria_pct    exceso_o2_combustion_pct  1773            0.0146     -0.0098     0.0334                 0.0407                       0.0339       0.0055                False                   1.0000        NO_SIGNIFICATIVO
24     Fusión  d_ley_feo_escoria_pct  posicion_vertical_lanza_mm  1773            0.0000     -0.0001     0.0001                 0.0098                       0.0081       0.0000                False                   0.6667        NO_SIGNIFICATIVO
25  Reducción     sn_extraido_est_kg     tasa_feed_Carbon_kg_min  1074            8.7055      0.8280    14.7107               190.8782                       0.0505       0.4161                 True                   1.0000                 ROBUSTO
