variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,escenario,fraccion_fe_dross,periodo
gn_2,-0.006042047944892421,0.0020144384174132263,-0.010068852964119256,-0.0020152429256655854,0.0038913780179639515,242,63,12,yfe,base,0.6,LB
gn_3,-0.0016858600728280287,0.004084027745712891,-0.009849715211282138,0.0064779950656260795,0.6811819838113841,242,63,12,yfe,base,0.6,LB
gn_0,-0.002405622891808441,0.002621456999071109,-0.007564607078462559,0.0027533612948456767,0.35953815848954834,1084,298,12,yfe,Sn_II,0.3,DEV
gn_1,-0.0031478220689861195,0.0016325649294300381,-0.006360682954211419,6.503881623918031e-05,0.05479021816272246,1084,298,12,yfe,Sn_II,0.3,DEV
gn_2,-0.0039785333533555595,0.0017091050958843994,-0.007342024025192595,-0.0006150426815185231,0.020591889910381755,1084,298,12,yfe,Sn_II,0.3,DEV
gn_3,-0.007248271293679662,0.0025728000304081054,-0.012311499367610241,-0.002185043219749083,0.005168092150191891,1084,298,12,yfe,Sn_II,0.3,DEV
gn_0,-0.01712137376687481,0.007469764280757407,-0.03205321980306219,-0.002189527730687429,0.02530801468710319,242,63,12,yfe,Sn_II,0.3,LB
gn_1,-0.002886954996456032,0.0023861841392330925,-0.007656869125179794,0.0018829591322677298,0.2309244321351472,242,63,12,yfe,Sn_II,0.3,LB
gn_2,-0.006236323917274101,0.0018845131660185505,-0.010003412059619578,-0.002469235774928623,0.001561379055664113,242,63,12,yfe,Sn_II,0.3,LB
gn_3,-0.0018452418559715216,0.003905927861226916,-0.00965308039815123,0.005962596686208188,0.6382851228347141,242,63,12,yfe,Sn_II,0.3,LB
gn_0,-0.0031332228222798308,0.002716362107463315,-0.008478978698723855,0.0022125330541641923,0.24964785859483102,1084,298,12,yfe,Sn_II,0.5,DEV
gn_1,-0.0030380534785775072,0.0016736719017013163,-0.00633181220801078,0.00025570525085576515,0.07050129978216749,1084,298,12,yfe,Sn_II,0.5,DEV
gn_2,-0.003990955681626354,0.0017621337246212306,-0.007458805821190766,-0.0005231055420619425,0.024242805272856622,1084,298,12,yfe,Sn_II,0.5,DEV
gn_3,-0.007345245630413775,0.0025923737265964707,-0.012446994415973776,-0.002243496844853774,0.004920841784784211,1084,298,12,yfe,Sn_II,0.5,DEV
gn_0,-0.018249981778181518,0.007762347960581431,-0.033766694256685936,-0.002733269299677099,0.021912426299770058,242,63,12,yfe,Sn_II,0.5,LB
