target,modelo,orden,n,mae,r2
d_temperatura_horno_celsius,conjunto_hgb,0,259,11.923771857565564,-0.0985841358183781
d_temperatura_horno_celsius,conjunto_hgb,1,257,13.573465355233848,-0.1354557662376712
d_temperatura_horno_celsius,conjunto_hgb,2,257,13.195371647186589,-0.013387565797113199
d_temperatura_horno_celsius,conjunto_hgb,3,189,8.28684573115938,-0.36570299315551025
d_temperatura_horno_celsius,conjunto_interacciones,0,259,12.167571143072857,-0.1432460765537258
d_temperatura_horno_celsius,conjunto_interacciones,1,257,14.339462000232949,-0.29274413594688853
d_temperatura_horno_celsius,conjunto_interacciones,2,257,13.67660093305188,-0.10397152650032337
d_temperatura_horno_celsius,conjunto_interacciones,3,189,7.638755228473865,-0.4335547558436841
d_temperatura_horno_celsius,conjunto_lineal,0,259,12.129059845391739,-0.14070032712942537
d_temperatura_horno_celsius,conjunto_lineal,1,257,14.260658029000767,-0.2813642542551622
d_temperatura_horno_celsius,conjunto_lineal,2,257,13.728496079014285,-0.11270816922209836
d_temperatura_horno_celsius,conjunto_lineal,3,189,7.5856054008086895,-0.4193900067149148
d_temperatura_horno_celsius,estado,0,259,12.429198539386654,-0.17597433091203785
d_temperatura_horno_celsius,estado,1,257,14.44146957118306,-0.298598083481985
d_temperatura_horno_celsius,estado,2,257,14.4480612937383,-0.16713293903243964
d_temperatura_horno_celsius,estado,3,189,7.602094516853966,-0.40281098219333256
d_temperatura_horno_celsius,estado_hgb,0,259,12.04228981485656,-0.0890814502868904
d_temperatura_horno_celsius,estado_hgb,1,257,13.642339633784907,-0.1533364475062502
d_temperatura_horno_celsius,estado_hgb,2,257,12.953359130234588,0.03483551245548566
d_temperatura_horno_celsius,estado_hgb,3,189,7.61667137322949,-0.2711502109973565
d_temperatura_horno_celsius,gn_por_orden,0,259,12.398274685332064,-0.16883809021681717
d_temperatura_horno_celsius,gn_por_orden,1,257,14.884053739099452,-0.32196279505138947
d_temperatura_horno_celsius,gn_por_orden,2,257,14.29338233705269,-0.14511368127705349
d_temperatura_horno_celsius,gn_por_orden,3,189,7.504189812057556,-0.32480872170991937
m6_ln_sn_dep,conjunto_hgb,0,259,0.2979147091036378,0.10381140855862392
m6_ln_sn_dep,conjunto_hgb,1,257,0.20491775290048697,0.5447928044260152
m6_ln_sn_dep,conjunto_hgb,2,257,0.23625997654241407,0.01945169724691842
m6_ln_sn_dep,conjunto_hgb,3,189,0.24627576814044497,-0.11523110152313998
m6_ln_sn_dep,conjunto_interacciones,0,259,0.3151516733350184,0.031991505053470815
m6_ln_sn_dep,conjunto_interacciones,1,257,0.26455833086623404,0.3069547292467203
m6_ln_sn_dep,conjunto_interacciones,2,257,0.23408687619316648,0.046084816286887764
m6_ln_sn_dep,conjunto_interacciones,3,189,0.2481991866885641,-0.1022777721264303
m6_ln_sn_dep,conjunto_lineal,0,259,0.31618114087573657,0.030442604189307
m6_ln_sn_dep,conjunto_lineal,1,257,0.2644261037485182,0.3111983231391743
m6_ln_sn_dep,conjunto_lineal,2,257,0.23416121880822388,0.04513835772908181
m6_ln_sn_dep,conjunto_lineal,3,189,0.248425254198304,-0.10272564995821698
m6_ln_sn_dep,estado,0,259,0.3238046058941398,0.0003918879158738564
m6_ln_sn_dep,estado,1,257,0.2625342080036627,0.3211621376383127
m6_ln_sn_dep,estado,2,257,0.23959720627629175,0.004755972460165125
m6_ln_sn_dep,estado,3,189,0.2552394626362567,-0.1566791012909179
m6_ln_sn_dep,estado_hgb,0,259,0.30361124148607294,0.09753825071277511
m6_ln_sn_dep,estado_hgb,1,257,0.20285345881712366,0.5356682694526806
m6_ln_sn_dep,estado_hgb,2,257,0.23720896319253928,0.014588615262210447
m6_ln_sn_dep,estado_hgb,3,189,0.24798618685988266,-0.13982257474572557
m6_ln_sn_dep,gn_por_orden,0,259,0.31628031037046217,0.03036037206436082
m6_ln_sn_dep,gn_por_orden,1,257,0.2629541913827093,0.3125846275712766
m6_ln_sn_dep,gn_por_orden,2,257,0.2369238005649898,0.023150192075944265
m6_ln_sn_dep,gn_por_orden,3,189,0.24976712063302905,-0.11881182620734254
