periodo,modelo,referencia,delta_mae,ci_lo,ci_hi
TOTAL,incremental_fenomenologico,persistencia,-3.877787158412687,-4.928597836278794,-3.001027380967806
TOTAL,incremental_fenomenologico,reciente_150,-3.260940714180335,-5.426071824283775,-1.571452461314565
TOTAL,incremental_fenomenologico,incremental_base,-1.558103097824534,-1.9832440431240295,-1.096493049430371
TOTAL,incremental_reciente_150,persistencia,-4.062270255185783,-5.134758124319954,-3.1770083806348643
TOTAL,incremental_reciente_150,reciente_150,-3.445423810953431,-5.585688894691759,-1.710662236002533
TOTAL,incremental_reciente_150,incremental_base,-1.7425861945976304,-2.241627535636549,-1.229436841934111
TOTAL,incremental_selector_pasado,persistencia,-3.8214382429941645,-4.9123132168992205,-2.8802007462540598
TOTAL,incremental_selector_pasado,reciente_150,-3.2045917987618124,-5.445861356352192,-1.4367484991563018
TOTAL,incremental_selector_pasado,incremental_base,-1.501754182406012,-2.024617741436544,-1.0237645871377052
DEV,incremental_fenomenologico,persistencia,-3.8605478580142827,-5.132942005055354,-2.6601106293315313
DEV,incremental_fenomenologico,reciente_150,-4.133758748961808,-6.816277744048228,-1.9896628473676752
DEV,incremental_fenomenologico,incremental_base,-1.6233683850748715,-2.160599950075868,-1.0334471158100003
DEV,incremental_reciente_150,persistencia,-4.043445495780873,-5.3990513572475844,-2.843442128560704
DEV,incremental_reciente_150,reciente_150,-4.3166563867284,-7.011624945604594,-2.1309802749426874
DEV,incremental_reciente_150,incremental_base,-1.8062660228414626,-2.4319590941011517,-1.210848224429148
DEV,incremental_selector_pasado,persistencia,-3.7263701832471847,-5.1265836429216805,-2.4830805513797736
DEV,incremental_selector_pasado,reciente_150,-3.9995810741947104,-6.917354912636587,-1.720568027938532
DEV,incremental_selector_pasado,incremental_base,-1.489190710307774,-2.1393069409095156,-0.8953756177827623
LB,incremental_fenomenologico,persistencia,-3.9322414564965364,-4.407495805691337,-3.413346477634108
LB,incremental_fenomenologico,reciente_150,-0.503944064632506,-0.8365784903698315,-0.14853558880485365
LB,incremental_fenomenologico,incremental_base,-1.351947666668707,-1.6452943489382237,-1.056170184555917
LB,incremental_reciente_150,persistencia,-4.121732590448911,-4.802118035358631,-3.361729288522864
LB,incremental_reciente_150,reciente_150,-0.6934351985848803,-1.1842582194169233,-0.21633287923643366
LB,incremental_reciente_150,incremental_base,-1.5414388006210813,-2.1381072561802488,-0.9552225945440401
LB,incremental_selector_pasado,persistencia,-4.121732590448911,-4.809029447298637,-3.362446725554509
LB,incremental_selector_pasado,reciente_150,-0.6934351985848803,-1.2107176343984105,-0.22859308379150436
LB,incremental_selector_pasado,incremental_base,-1.5414388006210813,-2.155131967779108,-0.9687238056969605
