train_end,modelo,variable,theta
159,acoplado,d_aire,0.001413472911304955
159,acoplado,C_x_exceso,-1.7866791207516016e-05
159,acoplado,C_x_GN,7.492483937082532e-05
159,acoplado,C_x_Sn,0.00032244697959492893
179,v11_gn,gn_0,-0.006124217620732747
179,v11_gn,gn_1,-0.0041633843513082264
179,v11_gn,gn_2,-0.0019911982132628037
179,v11_gn,gn_3,-0.008009642699490786
179,v11_gn,d_carbon,0.0018981589141479581
179,conjunto,gn_0,-0.009529690892938
179,conjunto,gn_1,-0.006140887472870453
179,conjunto,gn_2,-0.0047207191493357755
179,conjunto,gn_3,-0.011468688340986369
179,conjunto,d_carbon,0.0017133070191312414
179,conjunto,d_exceso,-0.0018667997801343054
179,conjunto,d_aire,0.0009671793417035906
179,acoplado,gn_0,-0.012036729789437752
179,acoplado,gn_1,-0.0058279176109049076
179,acoplado,gn_2,-0.0037175420011228964
179,acoplado,gn_3,-0.011184169523434831
179,acoplado,d_carbon,0.00012844186950811576
179,acoplado,d_exceso,-0.001591865871049227
179,acoplado,d_aire,0.0012461412406153582
179,acoplado,C_x_exceso,-6.252764132818868e-05
179,acoplado,C_x_GN,2.6195932195269018e-05
179,acoplado,C_x_Sn,0.0002658551487523166
199,v11_gn,gn_0,-0.004640627162940882
199,v11_gn,gn_1,-0.004394724524170896
199,v11_gn,gn_2,-0.002054478287732978
199,v11_gn,gn_3,-0.008240005441002143
199,v11_gn,d_carbon,0.0014425016248083638
199,conjunto,gn_0,-0.007512770577534476
199,conjunto,gn_1,-0.005832293544014658
199,conjunto,gn_2,-0.004502982855803104
199,conjunto,gn_3,-0.010488557039016367
199,conjunto,d_carbon,0.001242185143706935
199,conjunto,d_exceso,-0.0011896921341801483
199,conjunto,d_aire,0.0009346806680179706
199,acoplado,gn_0,-0.009722860210259159
199,acoplado,gn_1,-0.005325202662472421
199,acoplado,gn_2,-0.00402864365110064
199,acoplado,gn_3,-0.010147516739402555
199,acoplado,d_carbon,9.626880538000335e-07
199,acoplado,d_exceso,-0.0009296417629740498
199,acoplado,d_aire,0.0010579520736487846
199,acoplado,C_x_exceso,-7.06328060600413e-05
199,acoplado,C_x_GN,-2.914834633028162e-05
199,acoplado,C_x_Sn,0.00019210185684330494
219,v11_gn,gn_0,-0.0035092703952041785
219,v11_gn,gn_1,-0.004735096619222392
219,v11_gn,gn_2,-0.0027089488476957726
219,v11_gn,gn_3,-0.006993237582167212
219,v11_gn,d_carbon,0.0012715111471168824
219,conjunto,gn_0,-0.005558196337368091
219,conjunto,gn_1,-0.0054729291750420335
219,conjunto,gn_2,-0.004418632083160913
219,conjunto,gn_3,-0.008184336196218956
219,conjunto,d_carbon,0.001075189631118817
219,conjunto,d_exceso,-0.00030330659580080023
219,conjunto,d_aire,0.0008194695840325673
219,acoplado,gn_0,-0.007460928571807855
219,acoplado,gn_1,-0.005127526032638683
219,acoplado,gn_2,-0.0039010105545986056
219,acoplado,gn_3,-0.007878662079474396
219,acoplado,d_carbon,-0.0001729327703769218
219,acoplado,d_exceso,-4.0271535084274945e-05
219,acoplado,d_aire,0.001005832892206519
219,acoplado,C_x_exceso,-4.143490974984574e-05
219,acoplado,C_x_GN,4.834229579648913e-06
219,acoplado,C_x_Sn,0.00020126776119997716
239,v11_gn,gn_0,-0.002923480772767498
239,v11_gn,gn_1,-0.0037632529863093887
239,v11_gn,gn_2,-0.0031208668810272433
239,v11_gn,gn_3,-0.007129343487950687
239,v11_gn,d_carbon,0.0012817621574612332
239,conjunto,gn_0,-0.004671664151836866
239,conjunto,gn_1,-0.004383774185550094
239,conjunto,gn_2,-0.0047492350180276316
239,conjunto,gn_3,-0.008133137221266247
239,conjunto,d_carbon,0.001066862710588168
239,conjunto,d_exceso,-5.97872370358724e-05
239,conjunto,d_aire,0.0008079765681532691
239,acoplado,gn_0,-0.005759569979164334
239,acoplado,gn_1,-0.0042273602418655696
239,acoplado,gn_2,-0.004417208413902399
239,acoplado,gn_3,-0.007964902243751104
