Batch,pos,y,R3_observado,pred,modelo,target,train_end
AP0111,110,17.56929522824832,True,14.526758174932269,v11_gn,dross_pp,99
AP0112,111,14.098359586201786,True,14.609072414640206,v11_gn,dross_pp,99
AP0113,112,11.336840477066264,True,15.602025115965768,v11_gn,dross_pp,99
AP0114,113,15.70853868130271,True,14.406814768538585,v11_gn,dross_pp,99
AP0115,114,17.933117655326907,False,15.465467988480395,v11_gn,dross_pp,99
AP0116,115,13.639342675016891,True,15.124715092115014,v11_gn,dross_pp,99
AP0117,116,18.440033809326213,True,16.682756687920662,v11_gn,dross_pp,99
AP0118,117,15.591018673349128,True,15.404109183841488,v11_gn,dross_pp,99
AP0119,118,17.47367886643327,False,15.166335154322512,v11_gn,dross_pp,99
AP0120,119,14.950643077353728,False,14.258135193490608,v11_gn,dross_pp,99
AP0101,100,17.130481013505733,True,13.936510828106453,conjunto,dross_pp,99
AP0102,101,11.289255471536087,True,13.015256573472982,conjunto,dross_pp,99
AP0104,103,19.64768908020944,True,13.566305495246052,conjunto,dross_pp,99
AP0105,104,12.760228788210942,False,12.410016062715659,conjunto,dross_pp,99
AP0106,105,12.17892648272844,False,12.747213968090533,conjunto,dross_pp,99
AP0107,106,13.869490189926386,False,13.366090235918337,conjunto,dross_pp,99
AP0108,107,8.508845228383212,True,12.74846350220293,conjunto,dross_pp,99
AP0109,108,5.7721476263108205,True,13.03756717654236,conjunto,dross_pp,99
AP0110,109,13.45013874823783,False,14.88267738559849,conjunto,dross_pp,99
AP0111,110,17.56929522824832,True,14.52041467035749,conjunto,dross_pp,99
AP0112,111,14.098359586201786,True,14.907297635128959,conjunto,dross_pp,99
AP0113,112,11.336840477066264,True,15.845514319240564,conjunto,dross_pp,99
AP0114,113,15.70853868130271,True,14.943055839067917,conjunto,dross_pp,99
AP0115,114,17.933117655326907,False,15.36459966435488,conjunto,dross_pp,99
AP0116,115,13.639342675016891,True,15.670136919379614,conjunto,dross_pp,99
AP0117,116,18.440033809326213,True,16.492499711025545,conjunto,dross_pp,99
AP0118,117,15.591018673349128,True,15.14073890250855,conjunto,dross_pp,99
AP0119,118,17.47367886643327,False,15.214890946210732,conjunto,dross_pp,99
AP0120,119,14.950643077353728,False,14.82968594463177,conjunto,dross_pp,99
AP0101,100,17.130481013505733,True,13.898740930980267,acoplado,dross_pp,99
AP0102,101,11.289255471536087,True,12.724332420796427,acoplado,dross_pp,99
AP0104,103,19.64768908020944,True,13.630190896954796,acoplado,dross_pp,99
AP0105,104,12.760228788210942,False,12.480805788198674,acoplado,dross_pp,99
AP0106,105,12.17892648272844,False,12.904958767737755,acoplado,dross_pp,99
AP0107,106,13.869490189926386,False,13.563067567877546,acoplado,dross_pp,99
AP0108,107,8.508845228383212,True,13.096323453905399,acoplado,dross_pp,99
AP0109,108,5.7721476263108205,True,13.359143388370914,acoplado,dross_pp,99
