variable,sd_within,sd_independiente,fraccion_var_independiente,vif
gn_0,0.9645074605470656,0.6738478527940726,0.48810416675119467,2.0487430104437894
gn_1,1.3026125958756423,0.9426533442718473,0.5236890323369657,1.9095301567372787
gn_2,1.2341418629038485,0.997642398506992,0.6534609313273712,1.5303133700261256
gn_3,1.0312805203995485,0.8218103959909453,0.6350232591208299,1.5747454689840323
d_carbon,5.454058788578039,2.8528142485032855,0.2735944984790728,3.6550442554914526
d_exceso,2.3910395528713897,1.603876324319266,0.44995411971351096,2.2224488146407175
d_aire,7.654798638736719,5.216973819029167,0.4644829455207394,2.1529315761612815
C_x_exceso,27.16872961943999,19.275066999303213,0.5033303623924192,1.986766693840644
C_x_GN,33.6110287985302,19.44079956871767,0.33455277274775264,2.989065048801684
C_x_Sn,42.10870362273376,21.038210897323765,0.24961683154326111,4.0061401060877175
