Batch,orden_escalon_fase,pos,y,pred,modelo,target,train_end
AP0101,0,100,2.0136043058871227,1.593833091787737,estado,m6_ln_sn_dep,99
AP0101,1,100,0.17491778831373844,0.4907547122980847,estado,m6_ln_sn_dep,99
AP0101,2,100,0.23730192475964507,0.42748986548731494,estado,m6_ln_sn_dep,99
AP0101,3,100,0.4784284106729349,0.35433558479403493,estado,m6_ln_sn_dep,99
AP0102,0,101,1.711209127262046,1.8659902715833911,estado,m6_ln_sn_dep,99
AP0102,1,101,0.8707430974355465,0.6406816139130175,estado,m6_ln_sn_dep,99
AP0102,2,101,0.17660252441488136,0.4654500020494515,estado,m6_ln_sn_dep,99
AP0102,3,101,0.613275149019787,0.3857007792119837,estado,m6_ln_sn_dep,99
AP0103,0,102,2.351066264860745,1.6300141896285534,estado,m6_ln_sn_dep,99
AP0103,1,102,0.5634408317319498,0.5155463072886304,estado,m6_ln_sn_dep,99
AP0104,0,103,1.8539058291990682,1.6742613856399708,estado,m6_ln_sn_dep,99
AP0104,1,103,0.44488824982898895,0.5272840507172654,estado,m6_ln_sn_dep,99
AP0104,2,103,0.10896257494541933,0.44350712170668705,estado,m6_ln_sn_dep,99
AP0104,3,103,0.380599970068584,0.38442189587316616,estado,m6_ln_sn_dep,99
AP0105,0,104,1.7725852981274919,1.8341730229277813,estado,m6_ln_sn_dep,99
AP0105,1,104,0.7484530719282255,0.6417160021320825,estado,m6_ln_sn_dep,99
AP0105,2,104,0.5772673491192105,0.4624243463318301,estado,m6_ln_sn_dep,99
AP0106,0,105,0.9767984660798376,1.761418456634111,estado,m6_ln_sn_dep,99
AP0106,1,105,1.5786601998738439,0.829844334609106,estado,m6_ln_sn_dep,99
AP0106,2,105,0.9411630344159095,0.47279718886372635,estado,m6_ln_sn_dep,99
AP0107,0,106,1.8985838613959742,1.5050483430781982,estado,m6_ln_sn_dep,99
AP0107,1,106,0.12092651146738907,0.5077989937875989,estado,m6_ln_sn_dep,99
AP0107,2,106,0.5982994084259353,0.45651535144811933,estado,m6_ln_sn_dep,99
AP0108,0,107,1.7634794375259824,1.8399994215956796,estado,m6_ln_sn_dep,99
AP0108,1,107,0.5827333641068588,0.6163189984310004,estado,m6_ln_sn_dep,99
AP0108,2,107,0.3422494721641726,0.4815855134112598,estado,m6_ln_sn_dep,99
AP0108,3,107,0.08262177028603328,0.37684732775932844,estado,m6_ln_sn_dep,99
AP0109,0,108,0.9913748960903911,1.7143543274376727,estado,m6_ln_sn_dep,99
AP0109,1,108,1.3659947324992525,0.8233048390099856,estado,m6_ln_sn_dep,99
AP0109,2,108,0.29999699259106377,0.4779920970451653,estado,m6_ln_sn_dep,99
