escenario,ratio_masa_mediana,n_mass
base,1.0,3850
Sn_II,0.9980449524617624,3850
FeIII_30_F,1.0,3850
SnII_FeIII30F,0.9980449524617623,3850
delta0,1.0406446228728057,3850
delta02,0.9609446572654203,3850
