Batch,orden_escalon_fase,pos,delta_gn,delta_log_fe,kg_lineal_v11,kg_exacto_condicional,ratio_exacto_lineal
AP0001,0,0,-0.0,0.0,0.0,0.0,
AP0001,1,0,-0.0,0.0,0.0,0.0,
AP0001,2,0,-0.0,0.0,0.0,0.0,
AP0002,0,1,-0.0,0.0,0.0,0.0,
AP0002,1,1,-1.8814350382487,0.00413915708414714,39.7169934393954,40.491351720690815,1.0194969008033554
AP0002,2,1,-1.2714446682400151,0.003432900604248041,33.512936146850585,29.40692884262427,0.8774799293552147
AP0002,3,1,-0.331569998604909,0.001923105991908472,16.445459193215406,15.131783444004546,0.9201192418054938
AP0003,0,2,-0.0,0.0,0.0,0.0,
AP0003,1,2,-0.0,0.0,0.0,0.0,
AP0003,2,2,-0.16878336588541742,0.00045571508789062705,4.308294941533598,4.052626989073412,0.9406568129782736
AP0004,0,3,-0.0,0.0,0.0,0.0,
AP0004,1,3,-0.13112353515624875,0.00028847177734374726,2.671995531840868,2.8354340873007864,1.061167226334139
AP0004,2,3,-0.0,0.0,0.0,0.0,
AP0005,0,4,-0.0,0.0,0.0,0.0,
AP0005,1,4,-0.0,0.0,0.0,0.0,
AP0005,2,4,-4.442741139729815,0.011995401077270502,112.80098555351593,110.95180429758425,0.9836066923807649
AP0005,3,4,-0.0,0.0,0.0,0.0,
AP0006,0,5,-1.3454156494140612,0.004708954772949215,50.658992282282,41.31309436859426,0.8155135447304096
AP0006,1,5,-0.0,0.0,0.0,0.0,
AP0007,0,6,-0.0,0.0,0.0,0.0,
AP0007,1,6,-1.5355480249377287,0.0033782056548630032,30.420573176615367,30.447798931805927,1.0008949783763932
AP0008,0,7,-0.0,0.0,0.0,0.0,
AP0008,1,7,-0.0,0.0,0.0,0.0,
AP0008,2,7,-0.0,0.0,0.0,0.0,
AP0008,3,7,-0.0,0.0,0.0,0.0,
AP0009,0,8,-0.1862253598813659,0.0006517887595847806,6.123183048112581,5.538240316054217,0.9044708075093937
AP0009,1,8,-1.9384872775607676,0.004264672010633689,36.22505255856646,34.70029563768088,0.9579087727085986
AP0009,2,8,-2.1502264383104084,0.005805611383438103,47.13777833102601,43.11740839710271,0.9147102371755798
AP0010,0,9,-0.0,0.0,0.0,0.0,
AP0010,1,9,-0.0,0.0,0.0,0.0,
AP0010,2,9,-1.620852152506508,0.004376300811767572,30.955287623451188,24.07674792014736,0.7777911228938875
AP0010,3,9,-1.668680510344327,0.009678346959997097,53.130169133853464,49.08289173185287,0.9238233668745889
AP0011,0,10,-0.0,0.0,0.0,0.0,
AP0011,1,10,-0.0,0.0,0.0,0.0,
AP0011,2,10,-0.0,0.0,0.0,0.0,
AP0011,3,10,-0.0,0.0,0.0,0.0,
AP0012,0,11,-0.0,0.0,0.0,0.0,
AP0012,1,11,-0.0,0.0,0.0,0.0,
AP0012,2,11,-0.05785806443955721,0.00015621677398680448,1.255161837968558,1.079847512246274,0.8603253218676367
AP0013,0,12,-0.0,0.0,0.0,0.0,
AP0013,1,12,-0.0,0.0,0.0,0.0,
AP0013,2,12,-3.498325364854594,0.009445478485107404,88.38805997454737,80.015228593973,0.9052719181415969
AP0013,3,12,-3.9694974451889244,0.02302308518209576,194.11519542135161,180.17847621595325,0.9282038730911975
AP0014,0,13,-0.0,0.0,0.0,0.0,
AP0014,1,13,-0.0,0.0,0.0,0.0,
AP0014,2,13,-0.0,0.0,0.0,0.0,
AP0015,0,14,-0.0,0.0,0.0,0.0,
AP0015,1,14,-0.7639773220486106,0.0016807501085069434,17.56338080481546,15.297828295573359,0.8710070381995624
AP0015,2,14,-0.0,0.0,0.0,0.0,
AP0015,3,14,-0.0,0.0,0.0,0.0,
AP0016,0,15,-0.04565454553674897,0.0001597909093786214,1.799797158797899,1.57620830486683,0.8757699706113516
AP0016,1,15,-0.0,0.0,0.0,0.0,
AP0016,2,15,-0.12714179144964888,0.000343282836914052,3.2365531166397785,2.8456023194030173,0.8792076684214439
AP0017,0,16,-0.7885706809714961,0.002759997383400236,30.909003020633367,26.833196665542786,0.8681353017963805
AP0017,1,16,-0.7789214609986708,0.0017136272141970758,16.637215050686322,15.99929950191515,0.9616573118260645
AP0017,2,16,-0.0,0.0,0.0,0.0,
AP0017,3,16,-0.0,0.0,0.0,0.0,
AP0018,0,17,-0.5909343691225395,0.0020682702919288883,22.683876452973305,19.273485019206568,0.8496557040928638
AP0018,1,17,-1.7195032280815958,0.003782907101779511,35.21514138653125,31.856977203110493,0.9046386284081439
AP0018,2,17,-0.2085367329915364,0.0005630491790771483,4.732640449185289,4.34703341980244,0.9185217990838009
AP0018,3,17,-0.02844758210358833,0.0001649959762008123,1.2734964310829389,1.1963546793253237,0.9394252312964737
AP0019,0,18,-0.9696684321650757,0.003393839512577765,34.07609295986869,30.334302791337652,0.8901930989289842
AP0019,1,18,-0.39144988335503683,0.000861189743381081,7.68430144612175,7.147454563372609,0.9301371911925597
AP0019,2,18,-0.18724978976779383,0.0005055744323730434,4.194214515501056,3.834114802751592,0.9141437064273654
AP0019,3,18,-0.07219104766845774,0.0004187080764770549,3.17454552137649,2.9779873826481476,0.9380830618415217
AP0020,0,19,-0.7970089382595447,0.0027895312839084064,29.417950150380634,24.72671424695187,0.8405315163208928
AP0020,1,19,-0.0,0.0,0.0,0.0,
AP0020,2,19,-0.0,0.0,0.0,0.0,
AP0020,3,19,-0.0,0.0,0.0,0.0,
AP0021,0,20,-1.2128034577546245,0.004244812102141186,52.94410141682044,44.70005209829465,0.844287671375859
AP0021,1,20,-1.850401028103299,0.004070882261827258,42.77756157176518,37.70097173298115,0.8813258715023445
AP0021,2,20,-1.3786071520893515,0.0037222393106412493,34.402025463206826,36.580410731817366,1.0633214248079763
AP0021,3,20,-0.017130846854964688,9.935891175879518e-05,0.9746363114182144,0.9452392019995661,0.9698378676494498
AP0022,0,21,-0.8863900191695606,0.003102365067093462,36.00495031004139,29.196730851661034,0.8109087944920281
AP0022,1,21,-0.6014100070529516,0.0013231020155164935,12.432567093619344,12.41529736683626,0.9986109283261422
AP0022,2,21,-0.0,0.0,0.0,0.0,
AP0022,3,21,-0.0,0.0,0.0,0.0,
AP0023,0,22,-0.7443536150897003,0.002605237652813951,28.927627015585767,26.831511922632874,0.9275393349124856
AP0023,1,22,-0.0,0.0,0.0,0.0,
AP0023,2,22,-0.0,0.0,0.0,0.0,
AP0023,3,22,-0.0,0.0,0.0,0.0,
AP0024,0,23,-1.5437875140154809,0.005403256299054183,69.79837324015911,56.79420837364804,0.8136895709335958
AP0024,1,23,-0.8246238335503477,0.001814172433810765,19.017490814607477,19.47811976713841,1.0242213316689035
AP0024,2,23,-0.17992994520399108,0.00048581085205077595,5.2112472393242255,4.938273411799393,0.9476183310849342
AP0024,3,23,-0.21057446654816303,0.0012213319059793456,12.411838770223289,12.097661532851195,0.9746872930604107
AP0025,0,24,-2.4191799511900562,0.008467129829165197,99.21206232158303,88.41017742149143,0.8911232702221359
AP0025,1,24,-0.9613652479383674,0.0021150035454644083,21.990607730812652,21.951450071304457,0.9982193461869029
AP0025,2,24,-0.0,0.0,0.0,0.0,
AP0025,3,24,-0.0,0.0,0.0,0.0,
AP0026,0,25,-1.8794924813729708,0.0065782236848053975,80.50662536860264,71.32897862579343,0.8860013483264388
AP0026,1,25,-0.0,0.0,0.0,0.0,
AP0026,2,25,-0.0,0.0,0.0,0.0,
AP0027,0,26,-1.14081971345124,0.003992868997079339,49.69047281541341,40.95157434851013,0.8241333202973151
AP0027,1,26,-0.0,0.0,0.0,0.0,
AP0027,2,26,-0.4119318135579384,0.0011122158966064338,10.774085436841023,10.32998055866151,0.9587802713480501
AP0027,3,26,-1.9872365315755207,0.011525971883138019,106.99079755304186,99.3267120519334,0.9283668719516844
AP0028,0,27,-1.0176006062825493,0.003561602121988923,41.474132531479185,34.95887330104308,0.8429078841976749
AP0028,1,27,-0.0,0.0,0.0,0.0,
AP0028,2,27,-0.0,0.0,0.0,0.0,
AP0029,0,28,-1.9660851711697056,0.00688129809909397,83.47156627896976,78.23633757862162,0.937281293095046
AP0029,1,28,-0.1421115383572058,0.0003126453843858528,3.5423792049370304,2.9755577002076365,0.8399884733008222
AP0029,2,28,-0.0,0.0,0.0,0.0,
AP0030,0,29,-0.0,0.0,0.0,0.0,
AP0030,1,29,-2.0960906575520823,0.004611399446614582,53.78351528186953,43.540456338828115,0.8095502146083344
AP0030,2,29,-1.8531145222981777,0.00500340921020508,47.13293881447213,45.502076992842575,0.965398681630079
AP0030,3,29,-0.12297097665292256,0.0007132316645869508,6.470068573987642,5.976238884158776,0.9236747363367576
AP0031,0,30,-1.1072005773473599,0.0038752020207157597,47.404617692271025,39.19960669628095,0.8269153640421018
AP0031,1,30,-1.2355698649088538,0.0027182537027994787,27.44325296260551,24.175532508424862,0.8809280933775132
AP0031,2,30,-2.500156606038413,0.006750422836303715,59.955170573542404,55.45576927839096,0.9249539071925019
AP0031,3,30,-0.868515568485968,0.005037390297218614,41.24342257988936,37.73781897013327,0.9150021169323262
AP0032,0,31,-0.0,0.0,0.0,0.0,
AP0032,1,31,-0.0,0.0,0.0,0.0,
AP0032,2,31,-0.0,0.0,0.0,0.0,
AP0033,0,32,-0.0,0.0,0.0,0.0,
AP0033,1,32,-0.0,0.0,0.0,0.0,
AP0033,2,32,-0.0,0.0,0.0,0.0,
AP0033,3,32,-0.0,0.0,0.0,0.0,
AP0034,0,33,-0.022808091905382355,7.982832166883825e-05,0.9760579026995445,0.8018995763967554,0.8215696775559026
AP0034,1,33,-0.0,0.0,0.0,0.0,
AP0034,2,33,-0.0,0.0,0.0,0.0,
AP0034,3,33,-0.0,0.0,0.0,0.0,
AP0035,0,34,-2.3351254950629325,0.008172939232720264,110.0327228326071,89.63926247571283,0.8146600408324088
AP0035,1,34,-2.6783472086588525,0.005892363859049476,64.36260627252712,62.96117782827656,0.9782260457521474
AP0035,2,34,-4.225192353990337,0.011408019355773912,121.53836713303379,116.46392035827918,0.9582481903084957
AP0035,3,34,-1.1064293529369174,0.0064172902470341206,65.1408262897496,63.143639576569264,0.9693404762123105
AP0036,0,35,-0.0,0.0,0.0,0.0,
AP0036,1,35,-0.0,0.0,0.0,0.0,
AP0036,2,35,-0.0,0.0,0.0,0.0,
AP0037,0,36,-0.0,0.0,0.0,0.0,
AP0037,1,36,-0.0,0.0,0.0,0.0,
AP0037,2,36,-0.7952131144205694,0.0021470754089355374,15.780400089560565,16.092614748553455,1.01978496471705
AP0037,3,36,-0.0,0.0,0.0,0.0,
AP0038,0,37,-1.9407245777271385,0.006792536022044985,93.8070307907267,82.62310379342352,0.8807773052506768
AP0038,1,37,-2.99011622450087,0.006578255693901914,79.74518873295033,66.30031444796185,0.8314020632641237
AP0038,2,37,-3.9792343457539836,0.010743932733535756,107.92918194993284,102.36438152164754,0.9484402612180759
AP0038,3,37,-2.072669847276476,0.01202148511420356,113.9222634311975,111.31164664383465,0.9770842264827408
AP0039,0,38,-1.7309808914749674,0.0060584331201623855,76.79249962684594,60.36580054311115,0.7860897983063938
AP0039,1,38,-2.2589034966362824,0.004969587692599821,49.36677634444764,43.06942654748386,0.8724374921095681
AP0039,2,38,-0.09764439900716226,0.00026363987731933814,2.279188539988804,2.078765047540224,0.9120636626009165
AP0040,0,39,-1.7701978895399257,0.00619569261338974,78.96194835279758,76.1776176476371,0.9647383231639595
AP0040,1,39,-1.159728746202255,0.0025514032416449612,31.27307269406845,24.35218604270115,0.7786950224216381
AP0040,2,39,-1.3724513414171007,0.003705618621826172,35.323637737414444,37.77752721815988,1.0694687647684231
AP0040,3,39,-0.0,0.0,0.0,0.0,
AP0041,0,40,-2.435039458098231,0.008522638103343808,115.62736525137693,88.87053625445752,0.7685943207410343
AP0041,1,40,-0.22972427029080222,0.0005053933946397649,5.247607367583945,5.076519973634238,0.9673970665171017
AP0041,2,40,-0.5522792561848959,0.001491153991699219,14.974394960650752,14.605205508768123,0.9753452842099615
AP0041,3,40,-0.02005077785915077,0.00011629451158307445,1.1382051746164246,1.0905035035917099,0.9580904461791871
AP0042,0,41,-2.039300118905519,0.007137550416169317,95.44814586477244,84.0126693384955,0.8801917373808568
AP0042,1,41,-2.64787731933594,0.0058253301025390685,68.32274616663508,54.20978835673488,0.7934369064223569
AP0042,2,41,-1.9921786329481357,0.005378882308959967,49.90954892424217,51.588693262685496,1.0336437490347208
AP0042,3,41,-0.30623404043691593,0.0017761574345341122,16.989297073545323,16.74578724015339,0.9856668682442954
AP0043,0,42,-2.379970669216579,0.008329897342258027,95.83559562134054,84.10296723580751,0.8775754633811612
AP0043,1,42,-1.1645839708116306,0.0025620847357855875,25.76054746536493,21.500616936733653,0.8346335405193249
AP0043,2,42,-1.357042626274957,0.0036640150909423843,30.708472756807836,29.290793473632615,0.9538342627976856
AP0043,3,42,-1.9067121717664932,0.01105893059624566,88.24521016600335,93.45457414907607,1.0590328242549718
AP0044,0,43,-0.0,0.0,0.0,0.0,
AP0044,1,43,-0.0,0.0,0.0,0.0,
AP0044,2,43,-0.0,0.0,0.0,0.0,
AP0044,3,43,-0.0,0.0,0.0,0.0,
AP0045,0,44,-0.0,0.0,0.0,0.0,
AP0045,1,44,-0.0,0.0,0.0,0.0,
AP0045,2,44,-3.8786593458387593,0.01047238023376465,105.32464257349022,110.03680494279655,1.0447394100200096
AP0045,3,44,-0.2663191430362666,0.001544651029610346,16.145329568058965,14.899964522114088,0.9228653066080088
AP0046,0,45,-2.781178046332464,0.009734123162163624,121.09359557727421,106.98738776328803,0.8835098772421494
AP0046,1,45,-3.697601793077258,0.008134723944769967,88.97399964561541,77.10328021251591,0.866582153433804
AP0046,2,45,-2.5246163770887584,0.006816464218139648,64.34600140358351,56.096737449525484,0.871798343733623
AP0046,3,45,-0.0415712275056741,0.00024111311953290977,1.9775080915393959,1.9342298957503798,0.9781147819449244
AP0047,0,46,-0.0,0.0,0.0,0.0,
AP0047,1,46,-0.9291464436848962,0.0020441221761067717,21.444063346674746,18.81089181186033,0.8772074353519044
AP0047,2,46,-1.2753456115722628,0.00344343315124511,31.655577511880775,29.220225045471516,0.9230671920139433
AP0047,3,46,-1.818803258825234,0.010549058901186356,89.36298575893522,76.08510572332561,0.8514163339234445
AP0048,0,47,-2.808402551721638,0.009829408931025733,126.43812310787628,101.76756821371397,0.8048804087900487
AP0048,1,47,-0.0,0.0,0.0,0.0,
AP0048,2,47,-2.5180016486693937,0.0067986044514073635,57.4224720758885,60.96880398792423,1.061758607455091
AP0048,3,47,-0.7912846694757896,0.004589451082959579,41.01771961168265,40.196063060482224,0.9799682537454764
AP0049,0,48,-0.0,0.0,0.0,0.0,
AP0049,1,48,-3.7802246771918426,0.008316494289822054,77.56525500701463,70.92958949923556,0.9144505422282313
AP0049,2,48,-7.210603603786886,0.019468629730224594,165.35425800430394,168.48524856983406,1.018935046507533
AP0049,3,48,-0.5429798455885901,0.0031492831044138228,26.99005582532843,23.99431698399369,0.8890058301204613
AP0050,0,49,-0.0,0.0,0.0,0.0,
AP0050,1,49,-3.0513695475260434,0.006713013004557296,67.84366028650759,60.06618742565805,0.8853618329552853
AP0050,2,49,-2.582121251424155,0.0069717273788452196,62.17194395866915,52.9520496365848,0.8517032967762184
AP0051,0,50,-0.0,0.0,0.0,0.0,
AP0051,1,50,-4.8982188313802055,0.010776081429036452,109.73997209840597,95.91390627971279,0.874010667632619
AP0051,2,50,-5.905462070041235,0.015944747589111335,141.15499965592855,154.45301257049263,1.0942085859302084
AP0051,3,50,-0.0,0.0,0.0,0.0,
AP0052,0,51,-0.0,0.0,0.0,0.0,
AP0052,1,51,-0.0,0.0,0.0,0.0,
AP0052,2,51,-0.0,0.0,0.0,0.0,
AP0053,0,52,-0.0,0.0,0.0,0.0,
AP0053,1,52,-0.0,0.0,0.0,0.0,
AP0053,2,52,-0.0,0.0,0.0,0.0,
AP0053,3,52,-1.7081956912309657,0.0099075350091396,89.45810297501123,79.61344733673889,0.8899523317521914
AP0054,0,53,-0.0,0.0,0.0,0.0,
AP0054,1,53,-3.01263563368056,0.006627798394097232,67.42111157485053,65.17450910903223,0.9666780565709876
AP0054,2,53,-0.23877554999457473,0.0006446939849853519,6.318617915163711,5.473402245756011,0.8662340909426867
AP0054,3,53,-0.36919691297742574,0.002141342095269069,18.173969771278312,17.325106028743598,0.9532923322082203
AP0055,0,54,-0.0,0.0,0.0,0.0,
AP0055,1,54,-0.0,0.0,0.0,0.0,
AP0055,2,54,-0.0,0.0,0.0,0.0,
AP0055,3,54,-0.0,0.0,0.0,0.0,
AP0056,0,55,-0.0,0.0,0.0,0.0,
AP0056,1,55,-0.0,0.0,0.0,0.0,
AP0056,2,55,-0.0,0.0,0.0,0.0,
AP0057,0,56,-0.8607453974971051,0.003012608891239868,35.23041326420274,29.21764067512906,0.8293300579819427
AP0057,1,56,-0.17399024793837015,0.0003827785454644143,3.706769953899028,3.9901252247097467,1.0764426372110485
AP0057,2,56,-0.12651614718967252,0.0003415935974121158,3.560127385948868,3.229573299470895,0.9071510508914356
AP0058,0,57,-0.0,0.0,0.0,0.0,
AP0058,1,57,-2.404216406928171,0.0052892760952419765,61.172163948110956,59.153241340435365,0.9669960570728193
AP0058,2,57,-6.361627163357202,0.017176393341064446,191.58664340443116,194.7765338604199,1.0166498582537147
AP0058,3,57,-0.03192023383246578,0.00018513735622830154,2.081438429817681,1.899974485529643,0.9128180100412902
AP0059,0,58,-0.0,0.0,0.0,0.0,
AP0059,1,58,-0.0,0.0,0.0,0.0,
AP0059,2,58,-0.0,0.0,0.0,0.0,
AP0059,3,58,-0.0,0.0,0.0,0.0,
AP0060,0,59,-0.0,0.0,0.0,0.0,
AP0060,1,59,-0.8267706553141281,0.0018188954416910818,20.39176725389511,19.127733600546712,0.9380125499859777
AP0060,2,59,-0.0,0.0,0.0,0.0,
AP0060,3,59,-2.2753028139005487,0.013196756320623181,141.85459617656545,137.78085956803346,0.9712823079524231
AP0061,0,60,-0.0,0.0,0.0,0.0,
AP0061,1,60,-0.0,0.0,0.0,0.0,
AP0061,2,60,-2.1597608439127605,0.005831354278564453,61.07334074648313,57.484958896904786,0.9412447099549736
AP0061,3,60,-0.0,0.0,0.0,0.0,
AP0062,0,61,-0.0,0.0,0.0,0.0,
AP0062,1,61,-2.7145898437500016,0.005972097656250004,62.42464035067449,56.138357703058,0.8992980558269478
AP0062,2,61,-0.8355508761935759,0.002255987365722655,21.143262216711168,20.542677099008415,0.9715944913539376
AP0062,3,61,-0.0,0.0,0.0,0.0,
AP0063,0,62,-0.0,0.0,0.0,0.0,
AP0063,1,62,-1.434159098307294,0.003155150016276047,34.531451328501646,35.02900499374999,1.0144087099182442
AP0063,2,62,-0.2139923010219711,0.0005777792127593219,6.404487591816875,5.880270920372509,0.9181485382040295
AP0063,3,62,-0.0,0.0,0.0,0.0,
AP0064,0,63,-0.0,0.0,0.0,0.0,
AP0064,1,63,-0.0,0.0,0.0,0.0,
AP0064,2,63,-2.2912982686360728,0.006186505325317396,60.44986429223971,55.815756523767995,0.9233396497621812
AP0065,0,64,-1.741549196596491,0.006095422188087719,68.59370722601203,56.248879352475775,0.8200297319860435
AP0065,1,64,-2.5015876329210087,0.00550349279242622,50.63189807682421,50.891315438753296,1.0051235954365265
AP0065,2,64,-0.13492655436197865,0.00036430169677734235,3.3594706581092457,3.120074157718533,0.9287398150619812
AP0066,0,65,-0.36122363055193674,0.0012642827069317786,14.84483920220072,13.454884264728271,0.9063678010559797
AP0066,1,65,-2.6211016710069437,0.005766423676215276,61.3292639528182,60.307034787399374,0.983332114238233
AP0066,2,65,-0.301335915459525,0.0008136069717407175,8.4844427566201,7.971490816782869,0.9395420589717584
AP0067,0,66,-0.3775574069552903,0.001321450924343516,15.18326550843322,13.84301493652966,0.9117284373931849
AP0067,1,66,-1.042999864366319,0.002294599701605902,24.021471080818483,20.81661613588507,0.8665837352695465
AP0068,0,67,-0.0,0.0,0.0,0.0,
AP0068,1,67,-3.326687947591143,0.007318713484700515,82.0624611192105,81.18366933316659,0.9892911841290343
AP0068,2,67,-0.8039232550726965,0.0021705927886962804,23.989548767624637,20.322256500298575,0.8471295853519639
AP0068,3,67,-0.010714867001489381,6.21462286086384e-05,0.5812151518831398,0.5209113315444754,0.896245271405469
AP0069,0,68,-0.0,0.0,0.0,0.0,
AP0069,1,68,-0.0,0.0,0.0,0.0,
AP0069,2,68,-0.0,0.0,0.0,0.0,
AP0070,0,69,-0.0,0.0,0.0,0.0,
AP0070,1,69,-0.0,0.0,0.0,0.0,
AP0070,2,69,-0.0,0.0,0.0,0.0,
AP0071,0,70,-0.0,0.0,0.0,0.0,
AP0071,1,70,-0.0,0.0,0.0,0.0,
AP0071,2,70,-1.0458940463595923,0.0028239139251708995,28.097825559231932,25.58664448098369,0.9106272094630768
AP0071,3,70,-0.3070608859591992,0.0017809531385633553,16.11391329862369,16.988437218881913,1.0542713556943935
AP0072,0,71,-1.0723646262839956,0.0037532761919939848,50.80951405212974,44.1672231019172,0.8692707247032976
AP0072,1,71,-0.0,0.0,0.0,0.0,
AP0072,2,71,-1.2674846310085712,0.0034222085037231426,39.54692645869351,38.31191753748537,0.9687710517150278
AP0072,3,71,-0.0,0.0,0.0,0.0,
AP0073,0,72,-0.0,0.0,0.0,0.0,
AP0073,1,72,-0.0,0.0,0.0,0.0,
AP0073,2,72,-0.0,0.0,0.0,0.0,
AP0073,3,72,-0.0,0.0,0.0,0.0,
AP0074,0,73,-1.2896217628761555,0.0045136761700665445,59.71285605840332,48.67552408718225,0.8151598717631963
AP0074,1,73,-0.0,0.0,0.0,0.0,
AP0074,2,73,-0.14671680439754198,0.00039613537187336336,4.021438814136871,3.7099090248585567,0.9225327541517803
AP0074,3,73,-0.0,0.0,0.0,0.0,
AP0075,0,74,-2.217085899070451,0.007759800646746579,105.92456691655622,91.63974939777633,0.865141600908947
AP0075,1,74,-0.0,0.0,0.0,0.0,
AP0075,2,74,-0.0,0.0,0.0,0.0,
AP0076,0,75,-0.0,0.0,0.0,0.0,
AP0076,1,75,-0.0,0.0,0.0,0.0,
AP0076,2,75,-0.25540632459852475,0.0006895970764160169,8.003844097968095,7.0296748313216195,0.8782873260994947
AP0077,0,76,-0.5001606128833878,0.0017505621450918571,23.66968537863491,18.961499371345564,0.8010879345468985
AP0077,1,76,-0.8375817260742231,0.001842679797363291,19.941821856404797,19.899646304751517,0.9978850702830978
