periodo,modelo,target,variable,theta,se,ci_lo,ci_hi,p,n,batches,q_bh
DEV,carbon_simple,m6_ln_sn_dep,gn_0,0.012784430866091321,0.011795875508199487,-0.010429657801434069,0.03599851953361671,0.2793302333446509,1084,298,0.5460674334737244
DEV,carbon_simple,m6_ln_sn_dep,gn_1,-0.010822312683017442,0.007185973137655794,-0.02496418943172008,0.0033195640656851974,0.1331215027713397,1084,298,0.4373992233915447
DEV,carbon_simple,m6_ln_sn_dep,gn_2,-0.007761527121694088,0.0069541762086356065,-0.021447231332852198,0.005924177089464022,0.2652832852842383,1084,298,0.5460674334737244
DEV,carbon_simple,m6_ln_sn_dep,gn_3,-0.002429742955397383,0.010177050162961436,-0.022458010013032825,0.017598524102238056,0.8114662118194166,1084,298,0.8748620096178085
DEV,carbon_simple,m6_ln_sn_dep,d_carbon,0.0006437067480640107,0.0018175758956669361,-0.0029332526707294398,0.0042206661668574615,0.72347272701675,1084,298,0.8183543961337009
DEV,carbon_simple,m6_ln_sn_dep,d_exceso,-0.011628952655619989,0.004078475344852217,-0.019655324942942233,-0.003602580368297744,0.004659267176262912,1084,298,0.03739938277296816
DEV,carbon_simple,m6_ln_sn_dep,d_aire,0.0033115758973969933,0.0009990563739863025,0.0013454494124698502,0.005277702382324136,0.0010311320391039817,1084,298,0.014229622139634947
DEV,carbon_simple,m8_ln_feo_ret_dross50,gn_0,-0.0019788789991850037,0.002277327760323791,-0.00646062251338414,0.0025028645150141325,0.3855773212817475,1084,298,0.5781945395105278
DEV,carbon_simple,m8_ln_feo_ret_dross50,gn_1,-0.0013249311521847176,0.0013902073159152537,-0.004060836246763426,0.0014109739423939904,0.3413418877021549,1084,298,0.5781945395105278
DEV,carbon_simple,m8_ln_feo_ret_dross50,gn_2,0.0004569175680545698,0.00125418580850822,-0.0020112994408502567,0.0029251345769593963,0.715882713872457,1084,298,0.8183543961337009
DEV,carbon_simple,m8_ln_feo_ret_dross50,gn_3,-0.0014867368633102549,0.0018030859802781291,-0.005035180367334438,0.002061706640713928,0.4102881012130548,1084,298,0.5781945395105278
DEV,carbon_simple,m8_ln_feo_ret_dross50,d_carbon,4.4160975357081624e-05,0.00036570017873186503,-0.0006755309516143664,0.0007638529023285298,0.9039649053961808,1084,298,0.9450542192778254
DEV,carbon_simple,m8_ln_feo_ret_dross50,d_exceso,0.0016943723682313937,0.0007499308763198038,0.00021852075846307104,0.0031702239779997166,0.024584982395954563,1084,298,0.11309091902139098
DEV,carbon_simple,m8_ln_feo_ret_dross50,d_aire,-0.0001701179198528804,0.00025080823248533116,-0.00066370438941274,0.0003234685497069792,0.49812302280954757,1084,298,0.6609709341126688
DEV,carbon_simple,d_temperatura_horno_celsius,gn_0,-0.6529257125072342,0.44432041892883994,-1.5273409769474497,0.22148955193298148,0.14275759656537163,1084,298,0.44773973468230194
DEV,carbon_simple,d_temperatura_horno_celsius,gn_1,-0.6973160199664402,0.34380342374673567,-1.3739154938679543,-0.020716546064926233,0.043427943292923744,1084,298,0.18728300545073365
DEV,carbon_simple,d_temperatura_horno_celsius,gn_2,-0.38522376281354476,0.4399003029871284,-1.2509403119002194,0.48049278627312986,0.3818970250185419,1084,298,0.5781945395105278
DEV,carbon_simple,d_temperatura_horno_celsius,gn_3,-1.0460887997654689,0.4249867369047291,-1.882455696497372,-0.20972190303356564,0.014405544585448798,1084,298,0.08444704990021189
DEV,carbon_simple,d_temperatura_horno_celsius,d_carbon,0.08811792367799048,0.07862097826525785,-0.06660686629699852,0.2428427136529795,0.26328098028534763,1084,298,0.5460674334737244
DEV,carbon_simple,d_temperatura_horno_celsius,d_exceso,-0.6885214877171519,0.19563689759935535,-1.073531679148397,-0.3035112962859068,0.0005003352060543641,1084,298,0.013103700880619835
DEV,carbon_simple,d_temperatura_horno_celsius,d_aire,0.05416812357397674,0.05025224355533999,-0.0447274638561255,0.15306371100407898,0.28194216395540267,1084,298,0.5460674334737244
DEV,carbon_por_inventario,m6_ln_sn_dep,gn_0,0.016017616772813426,0.013716752796149138,-0.010976726751666225,0.04301196029729308,0.24384777846979172,1084,298,0.5460674334737244
DEV,carbon_por_inventario,m6_ln_sn_dep,gn_1,-0.010755610622487578,0.00702934621242474,-0.02458924816270517,0.0030780269177300146,0.12705606893535476,1084,298,0.4373992233915447
DEV,carbon_por_inventario,m6_ln_sn_dep,gn_2,-0.007881656912243986,0.0069174382301275756,-0.021495061386942665,0.005731747562454693,0.25545881249468816,1084,298,0.5460674334737244
DEV,carbon_por_inventario,m6_ln_sn_dep,gn_3,-0.002456030142128802,0.010167128612851687,-0.022464771752602065,0.01755271146834446,0.8092833532573986,1084,298,0.8748620096178085
DEV,carbon_por_inventario,m6_ln_sn_dep,C_x_Sn,-0.00011450431596510994,0.0002720558814166858,-0.000649905808574853,0.0004208971766446331,0.6741432497236546,1084,298,0.8136689484721211
DEV,carbon_por_inventario,m6_ln_sn_dep,d_exceso,-0.011524444168666204,0.00406324838149015,-0.019520850042950393,-0.003528038294382016,0.004878180361691499,1084,298,0.03739938277296816
