periodo,target,modelo,n,mae,r2
TOTAL,d_temperatura_horno_celsius,base,1037,11.62443229993138,0.10811528203314413
TOTAL,d_temperatura_horno_celsius,fenomenologico,1037,10.096702737627432,0.32521736343342733
TOTAL,d_temperatura_horno_celsius,reciente_150,1037,9.944906733320945,0.3415448438371784
TOTAL,d_temperatura_horno_celsius,selector_pasado,1037,10.181294705318587,0.30020246577182874
TOTAL,ley_feo_escoria_pct,base,962,0.7081597885300436,0.6255043223317803
TOTAL,ley_feo_escoria_pct,fenomenologico,962,0.7167499355596634,0.61522786645856
TOTAL,ley_feo_escoria_pct,persistencia,962,0.9395225330655144,0.5208081871674672
TOTAL,ley_feo_escoria_pct,reciente_150,962,0.7175429468357895,0.6185197101641081
TOTAL,ley_feo_escoria_pct,selector_pasado,962,0.7179686781017967,0.6210717787280323
TOTAL,ley_sn_escoria_pct,base,963,0.5901063736066445,0.5139132086158333
TOTAL,ley_sn_escoria_pct,fenomenologico,963,0.5816678543293571,0.520078255050481
TOTAL,ley_sn_escoria_pct,persistencia,963,3.9042198338525447,-20.034293278087702
TOTAL,ley_sn_escoria_pct,reciente_150,963,0.5968899801707983,0.49699922060503077
TOTAL,ley_sn_escoria_pct,selector_pasado,963,0.5753997343097107,0.5305724428007662
TOTAL,m6_ln_sn_dep,base,962,0.2488455837776648,0.774448922824405
TOTAL,m6_ln_sn_dep,fenomenologico,962,0.241371001812434,0.7822734333771744
TOTAL,m6_ln_sn_dep,reciente_150,962,0.2451229929949085,0.7769847376089001
TOTAL,m6_ln_sn_dep,selector_pasado,962,0.24299178294710352,0.7809497661758495
TOTAL,m8_ln_feo_ret_dross50,base,962,0.04845565787478317,0.398888531155849
TOTAL,m8_ln_feo_ret_dross50,fenomenologico,962,0.04702712113744013,0.4240203939684053
TOTAL,m8_ln_feo_ret_dross50,reciente_150,962,0.04770426067688398,0.41008610108556076
TOTAL,m8_ln_feo_ret_dross50,selector_pasado,962,0.047323295731265806,0.4173471969770468
TOTAL,temperatura_horno_celsius,base,1037,14.245905376475923,0.877868410300084
TOTAL,temperatura_horno_celsius,fenomenologico,1037,13.539646272276302,0.8925313338089793
TOTAL,temperatura_horno_celsius,persistencia,1037,14.062670554885118,0.8820622092087647
TOTAL,temperatura_horno_celsius,reciente_150,1037,13.389242575640571,0.8944552169244387
TOTAL,temperatura_horno_celsius,selector_pasado,1037,13.905309404680839,0.8881407750918033
DEV,d_temperatura_horno_celsius,base,785,13.075250930356532,0.019617120042397573
DEV,d_temperatura_horno_celsius,fenomenologico,785,11.491092020663949,0.2568016483733184
DEV,d_temperatura_horno_celsius,reciente_150,785,11.351396873262892,0.2730298947795565
DEV,d_temperatura_horno_celsius,selector_pasado,785,11.663669901239397,0.22428645994842122
DEV,ley_feo_escoria_pct,base,720,0.7497178624005739,0.5987550343438103
DEV,ley_feo_escoria_pct,fenomenologico,720,0.7691910096943243,0.583536739535482
DEV,ley_feo_escoria_pct,persistencia,720,0.9402845532873727,0.5594158409193282
DEV,ley_feo_escoria_pct,reciente_150,720,0.7604796015655236,0.5921139319916756
DEV,ley_feo_escoria_pct,selector_pasado,720,0.7628236287450549,0.5933024796303517
DEV,ley_sn_escoria_pct,base,721,0.576239032116738,0.5197304758348442
DEV,ley_sn_escoria_pct,fenomenologico,721,0.5740446008610384,0.5244769863732246
DEV,ley_sn_escoria_pct,persistencia,721,3.7102248266296813,-19.106182724721148
DEV,ley_sn_escoria_pct,reciente_150,721,0.5771002457348255,0.5379101373313859
DEV,ley_sn_escoria_pct,selector_pasado,721,0.5656726180886119,0.5394771229360045
DEV,m6_ln_sn_dep,base,720,0.2515924520401607,0.7665612197463176
DEV,m6_ln_sn_dep,fenomenologico,720,0.24226847493651069,0.7754631419808983
DEV,m6_ln_sn_dep,reciente_150,720,0.2471905008556955,0.7728254126276513
DEV,m6_ln_sn_dep,selector_pasado,720,0.24443401861922193,0.7736288856717523
DEV,m8_ln_feo_ret_dross50,base,720,0.05042711331682587,0.33079518330635915
DEV,m8_ln_feo_ret_dross50,fenomenologico,720,0.048794770525318554,0.3642353397135969
DEV,m8_ln_feo_ret_dross50,reciente_150,720,0.04907628745410315,0.35720177511637385
DEV,m8_ln_feo_ret_dross50,selector_pasado,720,0.04919049269095787,0.3550564316493581
DEV,temperatura_horno_celsius,base,785,16.503078407505253,0.8580067042337025
DEV,temperatura_horno_celsius,fenomenologico,785,15.904652490525462,0.874292656438127
DEV,temperatura_horno_celsius,persistencia,785,15.467886644178714,0.8680463986045655
DEV,temperatura_horno_celsius,reciente_150,785,15.678824387201828,0.87675889346049
DEV,temperatura_horno_celsius,selector_pasado,785,16.26666861731549,0.8693752592606505
LB,d_temperatura_horno_celsius,base,252,7.105017121821275,0.4124265523099896
LB,d_temperatura_horno_celsius,fenomenologico,252,5.753069455152564,0.5675054351139208
LB,d_temperatura_horno_celsius,reciente_150,252,5.5635783212001915,0.5924575691462872
LB,d_temperatura_horno_celsius,selector_pasado,252,5.5635783212001915,0.5924575691462872
LB,ley_feo_escoria_pct,base,242,0.5845159323863173,0.7352072233096567
LB,ley_feo_escoria_pct,fenomenologico,242,0.5607269050763743,0.746689465988583
LB,ley_feo_escoria_pct,persistencia,242,0.9372553654632914,0.33665584275044513
LB,ley_feo_escoria_pct,reciente_150,242,0.5897975278051754,0.7265152344888948
LB,ley_feo_escoria_pct,selector_pasado,242,0.5845159323863173,0.7352072233096567
LB,ley_sn_escoria_pct,base,242,0.6314218827563246,0.49047053917676675
LB,ley_sn_escoria_pct,fenomenologico,242,0.6043801094973642,0.5001268168141176
LB,ley_sn_escoria_pct,persistencia,242,4.482196694214876,-22.655184533317282
LB,ley_sn_escoria_pct,reciente_150,242,0.6558503046680555,0.3898712205665277
LB,ley_sn_escoria_pct,selector_pasado,242,0.6043801094973642,0.5001268168141176
LB,m6_ln_sn_dep,base,242,0.2406730831619747,0.7948452219056601
LB,m6_ln_sn_dep,fenomenologico,242,0.2387008338399745,0.7998778929972232
LB,m6_ln_sn_dep,reciente_150,242,0.2389717299380217,0.7877136638491579
LB,m6_ln_sn_dep,selector_pasado,242,0.2387008338399745,0.7998778929972232
LB,m8_ln_feo_ret_dross50,base,242,0.042590170609201575,0.5797975846999912
LB,m8_ln_feo_ret_dross50,fenomenologico,242,0.0417679989916861,0.5828059694906912
LB,m8_ln_feo_ret_dross50,reciente_150,242,0.043622197538050106,0.550460068254762
LB,m8_ln_feo_ret_dross50,selector_pasado,242,0.0417679989916861,0.5828059694906912
LB,temperatura_horno_celsius,base,252,7.214632244102812,0.8600163111088805
LB,temperatura_horno_celsius,fenomenologico,252,6.172464203523954,0.891787727437515
LB,temperatura_horno_celsius,persistencia,252,9.685310911649113,0.7633460501824015
LB,temperatura_horno_celsius,reciente_150,252,6.25701351978507,0.8894832083310718
LB,temperatura_horno_celsius,selector_pasado,252,6.549488047862574,0.883077095425279
