periodo,target,modelo,referencia,delta_mae,ci_lo,ci_hi,n
TOTAL,dross_pp,v11_gn,solo_contexto,-0.10006002499531964,-0.21902196821013756,0.007720277448601351,256
TOTAL,dross_pp,conjunto,solo_contexto,-0.056069229025089276,-0.1169614576241154,0.0025659205402737014,256
TOTAL,dross_pp,acoplado,solo_contexto,-0.0372055872828487,-0.09202782287341647,0.008291667891392109,256
TOTAL,dross_pp,conjunto,v11_gn,0.04399079597023038,-0.026822899144717992,0.11575589398056492,256
TOTAL,dross_pp,acoplado,v11_gn,0.06285443771247096,-0.0228803632966786,0.158674221158159,256
TOTAL,feo_neto_kg,v11_gn,solo_contexto,-43.422277758243325,-87.67821486887733,-0.5361885913022951,186
TOTAL,feo_neto_kg,conjunto,solo_contexto,8.076824377252564,-4.273239259683372,20.075332143418407,186
TOTAL,feo_neto_kg,acoplado,solo_contexto,26.743177721944814,5.772171214546507,50.93691475453277,186
TOTAL,feo_neto_kg,conjunto,v11_gn,51.499102135495896,11.230348749739916,95.72039712065255,186
TOTAL,feo_neto_kg,acoplado,v11_gn,70.16545548018814,16.347360825861305,130.44541819927852,186
TOTAL,polvo_pp,v11_gn,solo_contexto,0.038465852249288376,-0.010863418105907213,0.09296072535590728,256
TOTAL,polvo_pp,conjunto,solo_contexto,0.03758914894841164,0.009906170577293892,0.06899528055935096,256
TOTAL,polvo_pp,acoplado,solo_contexto,0.030079594947117892,0.008990756734382647,0.05493118876503839,256
TOTAL,polvo_pp,conjunto,v11_gn,-0.0008767033008767397,-0.030868387806408663,0.029918194077770036,256
TOTAL,polvo_pp,acoplado,v11_gn,-0.008386257302170484,-0.04740027857108162,0.02941036208869619,256
TOTAL,recuperacion_refinada_pct,v11_gn,solo_contexto,-0.042419238894904204,-0.20419937739866145,0.11988703631809455,256
TOTAL,recuperacion_refinada_pct,conjunto,solo_contexto,-0.031739501599381464,-0.14262119725654215,0.06328900114437283,256
TOTAL,recuperacion_refinada_pct,acoplado,solo_contexto,-0.013367996808364035,-0.09682899534734174,0.06163667920029911,256
TOTAL,recuperacion_refinada_pct,conjunto,v11_gn,0.01067973729552274,-0.08164908985454264,0.10352053666323682,256
TOTAL,recuperacion_refinada_pct,acoplado,v11_gn,0.02905124208654017,-0.09229212985522156,0.147112139259068,256
DEV,dross_pp,v11_gn,solo_contexto,-0.11422303133394844,-0.254422481902192,-0.00484041144261238,193
DEV,dross_pp,conjunto,solo_contexto,-0.03147998109917913,-0.09125241805931598,0.026856109430191347,193
DEV,dross_pp,acoplado,solo_contexto,-0.0010404887689302066,-0.03655764877912509,0.03391566428240221,193
DEV,dross_pp,conjunto,v11_gn,0.08274305023476933,0.01362353630309634,0.1657989697471715,193
DEV,dross_pp,acoplado,v11_gn,0.11318254256501825,0.01856919108327001,0.22391078118178154,193
DEV,feo_neto_kg,v11_gn,solo_contexto,-59.13635801139674,-115.07221626194989,-14.632022489299318,133
DEV,feo_neto_kg,conjunto,solo_contexto,8.721833886183822,-6.1592417332121006,21.64654829967349,133
DEV,feo_neto_kg,acoplado,solo_contexto,36.99026930141748,8.044188024047797,66.451283544908,133
DEV,feo_neto_kg,conjunto,v11_gn,67.85819189758058,18.635768617859426,120.21718988513487,133
DEV,feo_neto_kg,acoplado,v11_gn,96.12662731281421,24.301589581155238,176.66516280949222,133
DEV,polvo_pp,v11_gn,solo_contexto,0.03233795442076299,-0.026363358196427815,0.09411156365940665,193
DEV,polvo_pp,conjunto,solo_contexto,0.038839406320180715,0.005756860823832193,0.07680765908030522,193
DEV,polvo_pp,acoplado,solo_contexto,0.032764388898399215,0.008191707727173566,0.061294150022956,193
DEV,polvo_pp,conjunto,v11_gn,0.006501451899417725,-0.031195564952106083,0.04573138616064091,193
DEV,polvo_pp,acoplado,v11_gn,0.00042643447763622506,-0.051991847459180805,0.04724550658838173,193
DEV,recuperacion_refinada_pct,v11_gn,solo_contexto,-0.1329831964121107,-0.31307731534409794,0.03834304952273847,193
DEV,recuperacion_refinada_pct,conjunto,solo_contexto,-0.05583030406557034,-0.18676465007660817,0.05675263401331763,193
DEV,recuperacion_refinada_pct,acoplado,solo_contexto,-0.01926511393442236,-0.10902125932091464,0.0583129879166561,193
DEV,recuperacion_refinada_pct,conjunto,v11_gn,0.07715289234654035,-0.019047101988986636,0.17066988916868592,193
DEV,recuperacion_refinada_pct,acoplado,v11_gn,0.11371808247768833,-0.01694568275005863,0.23487813135610489,193
LB,dross_pp,v11_gn,solo_contexto,-0.05667176748174253,-0.31897918520488444,0.19855763533327847,63
LB,dross_pp,conjunto,solo_contexto,-0.1313981948933537,-0.28083520126099304,0.01775705281070883,63
LB,dross_pp,acoplado,solo_contexto,-0.14799707955564662,-0.2893275716351024,-0.005528074528131196,63
LB,dross_pp,conjunto,v11_gn,-0.07472642741161116,-0.21672847857144067,0.0565909222247927,63
LB,dross_pp,acoplado,v11_gn,-0.0913253120739041,-0.24781024086071501,0.04809362251009021,63
LB,feo_neto_kg,v11_gn,solo_contexto,-3.988831085235714,-63.35804907154037,59.4062850186246,53
LB,feo_neto_kg,conjunto,solo_contexto,6.4582156095571435,-15.43642752479753,26.74675268550797,53
LB,feo_neto_kg,acoplado,solo_contexto,1.0287780979851187,-10.734205971868583,12.156394760861687,53
LB,feo_neto_kg,conjunto,v11_gn,10.447046694792858,-42.75242364231347,64.16080496624082,53
LB,feo_neto_kg,acoplado,v11_gn,5.0176091832208325,-54.57581610880162,60.61044823729894,53
LB,polvo_pp,v11_gn,solo_contexto,0.057238618612866145,0.014859492578234747,0.11421860356950664,63
LB,polvo_pp,conjunto,solo_contexto,0.03375899541267462,0.003490478960790652,0.07032344075580865,63
LB,polvo_pp,acoplado,solo_contexto,0.02185474998525606,-0.003310626531929211,0.051855324000973146,63
LB,polvo_pp,conjunto,v11_gn,-0.023479623200191528,-0.0415756538638568,-0.008327736590263852,63
LB,polvo_pp,acoplado,v11_gn,-0.03538386862761009,-0.06097503244355823,-0.015646076991994076,63
LB,recuperacion_refinada_pct,v11_gn,solo_contexto,0.2350227261974903,-0.03631255135213482,0.5198294047160288,63
LB,recuperacion_refinada_pct,conjunto,solo_contexto,0.04206248055894318,-0.12079334423365826,0.2089583108519883,63
LB,recuperacion_refinada_pct,acoplado,solo_contexto,0.004697774704798771,-0.14945230636753684,0.16220688746431247,63
LB,recuperacion_refinada_pct,conjunto,v11_gn,-0.1929602456385471,-0.32913976293092045,-0.06255845433345882,63
LB,recuperacion_refinada_pct,acoplado,v11_gn,-0.23032495149269153,-0.377263897301464,-0.09106350377554104,63
R3_completo,dross_pp,v11_gn,solo_contexto,-0.13343665483293327,-0.28410579694860777,0.007721666574388947,186
R3_completo,dross_pp,conjunto,solo_contexto,-0.06875772737902455,-0.14418899954776881,0.0036562431416070386,186
R3_completo,dross_pp,acoplado,solo_contexto,-0.04569998126256894,-0.11315937402012505,0.014699189398627095,186
R3_completo,dross_pp,conjunto,v11_gn,0.06467892745390869,-0.021318264557274272,0.1601627015535761,186
R3_completo,dross_pp,acoplado,v11_gn,0.0877366735703643,-0.022557590513521426,0.20879941311682534,186
R3_completo,feo_neto_kg,v11_gn,solo_contexto,-43.422277758243325,-88.51663210155577,-1.5996413807026384,186
R3_completo,feo_neto_kg,conjunto,solo_contexto,8.076824377252564,-4.025518201213982,19.047600130347952,186
R3_completo,feo_neto_kg,acoplado,solo_contexto,26.743177721944814,4.536829325500471,50.95121745702584,186
R3_completo,feo_neto_kg,conjunto,v11_gn,51.499102135495896,10.405325001831391,96.94830441373529,186
R3_completo,feo_neto_kg,acoplado,v11_gn,70.16545548018814,15.51733198183298,131.07325166626632,186
R3_completo,polvo_pp,v11_gn,solo_contexto,0.07600673018242231,-3.0392385061185513e-05,0.15344750706024346,186
R3_completo,polvo_pp,conjunto,solo_contexto,0.05895504937295447,0.01480990043263067,0.11340112158682204,186
R3_completo,polvo_pp,acoplado,solo_contexto,0.045604861283126956,0.013949822774370497,0.08726400342824533,186
R3_completo,polvo_pp,conjunto,v11_gn,-0.01705168080946785,-0.05659617818869878,0.02292623684710668,186
R3_completo,polvo_pp,acoplado,v11_gn,-0.03040186889929536,-0.08573868942374202,0.022797253855224922,186
R3_completo,recuperacion_refinada_pct,v11_gn,solo_contexto,-0.03601423878376497,-0.25470053710797996,0.18364472521337674,186
R3_completo,recuperacion_refinada_pct,conjunto,solo_contexto,-0.03512112542715524,-0.17692378898847233,0.09169647697141302,186
R3_completo,recuperacion_refinada_pct,acoplado,solo_contexto,-0.02490148479725073,-0.12934549925309918,0.07260740214492681,186
R3_completo,recuperacion_refinada_pct,conjunto,v11_gn,0.0008931133566097277,-0.12256114185392557,0.12569384453482502,186
R3_completo,recuperacion_refinada_pct,acoplado,v11_gn,0.011112753986514236,-0.14281356164556214,0.17011576153570884,186
