periodo,fold,n_train,n_test,batches_train,batches_test,overlap
DEV,0,866,218,238,60,0
DEV,1,867,217,238,60,0
DEV,2,867,217,238,60,0
DEV,3,868,216,239,59,0
DEV,4,868,216,239,59,0
LB,0,192,50,50,13,0
LB,1,195,47,51,12,0
LB,2,195,47,51,12,0
LB,3,193,49,50,13,0
LB,4,193,49,50,13,0
