periodo,R,receta_GN,ejec_GN,rec_GN-receta,%rec_GN,receta_C,ejec_C,rec_C-receta,%rec_C
b140-199,0,26.7,27.7,-2.6,96.7,60.0,64.2,-0.4,33.3
b140-199,1,23.3,23.8,-2.5,93.3,16.7,27.2,0.7,33.3
b140-199,2,16.7,18.1,-0.9,70.0,15.0,9.7,0.1,33.3
b140-199,3,15.0,16.6,-0.9,55.0,10.0,5.5,0.1,33.3
b200-299,0,28.3,29.2,-1.1,55.0,55.0,61.3,0.9,20.0
b200-299,1,25.7,25.8,-1.1,48.0,26.7,29.8,0.8,20.0
b200-299,2,18.3,19.1,-0.9,39.0,16.7,11.2,0.5,20.0
b200-299,3,16.7,16.8,-0.6,31.0,13.3,5.4,0.2,20.0
b300-361 (lockbox),0,30.8,30.8,-0.8,46.8,53.3,62.0,2.7,51.6
b300-361 (lockbox),1,26.7,25.9,-1.0,45.2,36.7,33.8,0.9,51.6
b300-361 (lockbox),2,16.7,18.5,-0.7,35.5,16.7,11.3,1.3,51.6
b300-361 (lockbox),3,15.0,15.3,-0.6,37.1,10.0,6.4,1.4,51.6
