desvio,var_pre,n,corr,p
d_gn,feed_sn_total_t,362,0.09267826524584759,0.07823542684473347
d_gn,ley_sn_conc_batch_pct,362,-0.06408147390197665,0.2238832869639856
d_gn,frac_carga_secundaria_F,361,0.05456816262794948,0.30115023395044876
d_gn,feed_dross_Fe_total_t,362,0.048631250917559085,0.3562060191835391
d_gn,F_lnirf_F0,361,-0.028865628072733115,0.5846131835643774
d_gn,kpi_prev,361,-0.13660116709897405,0.009360127970000786
d_carbon,feed_sn_total_t,362,-0.07479500770096832,0.15556686718148088
d_carbon,ley_sn_conc_batch_pct,362,-0.016860561766816717,0.7491902136527324
d_carbon,frac_carga_secundaria_F,361,0.10501310227490684,0.04616898244500802
d_carbon,feed_dross_Fe_total_t,362,-0.013992680112354793,0.7907620930728291
d_carbon,F_lnirf_F0,361,-0.001802836003838847,0.9727694072916002
d_carbon,kpi_prev,361,0.042747675339168054,0.41807858232228745
