palanca,orden,n,valores_distintos
gn,0,362,13
gn,1,362,12
gn,2,362,7
gn,3,361,6
carbon,0,362,9
carbon,1,362,15
carbon,2,362,3
carbon,3,362,5
o2,0,362,14
o2,1,362,16
o2,2,362,9
o2,3,361,8
aire,0,362,2
aire,1,362,2
aire,2,362,2
aire,3,362,2
