quitando,t_P5,t_P50,t_P95,pend_P5,pend_P50,pend_P95,pct_t_gt_1.645,pct_t_gt_2.33
5,2.281844127466767,2.54629566900972,2.768081445995023,0.5848659489984127,0.6390402627257794,0.7059983273324376,100.0,92.66666666666666
10,1.6065453163022017,2.3144284809494082,2.64787351348301,0.40224020078237116,0.566880212212196,0.6685104218202765,92.0,48.0
20,1.739704564397127,2.1875960884188035,2.707991391464673,0.45752420812694905,0.5581538369407671,0.6629780436882705,97.33333333333334,25.666666666666664
