placebo,n,pendiente,t,p_uni_perm
lead1,260,0.8551072564769656,1.8292695870993296,0.021956087824351298
lead3,258,0.32084219740590697,0.7684236946062868,0.2315369261477046
lag1,260,0.16235038949519362,0.20210760802538255,0.3093812375249501
kpi_prev,260,0.21804362605474953,0.8776076016160992,0.21157684630738524
