variante,modo,n,pendiente,t,p_perm,p_circ,spearman
original_E15-01 (DEV cte),js,261,0.6296194941372358,2.5851727587714723,0.001998001998001998,0.006024096385542169,0.1728720783472034
original_E15-01 (DEV cte),ols,261,0.5555570056108745,2.7397649574254244,0.002997002997002997,0.006024096385542169,0.1970160838547256
expansivo_centrado (>=40),js,222,0.5643195413477513,2.04172633834904,0.006993006993006993,0.017064846416382253,0.1670171886473654
expansivo_centrado (>=40),ols,222,0.46435736343172107,2.0436529869384095,0.012987012987012988,0.027303754266211604,0.16934461803889395
expansivo_sin_centrar,js,222,0.6587195234886171,2.534505767928691,0.006993006993006993,0.010238907849829351,0.21021502398447794
expansivo_sin_centrar,ols,222,0.5048940014746744,2.3810274102522793,0.005994005994005994,0.020477815699658702,0.19796147018515786
crudo_fisico (sin estandarizar),js,261,0.5942809373403672,2.4423645183309763,0.003996003996003996,0.006024096385542169,0.15631643954886915
crudo_fisico (sin estandarizar),ols,261,0.5415614077484115,2.67490367178584,0.003996003996003996,0.009036144578313253,0.19801229743319768
