nula,W,modo,n,pendiente,t,n_reps,p_perm
bloque10,60,js,261,0.6927574944898637,2.5125346824731802,500,0.007984031936127744
bloque10,60,ols,261,0.6025722286956209,3.189364303051823,500,0.003992015968063872
bloque10,80,js,261,0.6655304938966755,2.816818883167966,500,0.005988023952095809
bloque10,80,ols,261,0.587985974058058,3.1608410053202407,500,0.005988023952095809
bloque10,100,js,261,0.6296194941372358,2.5851727587714723,500,0.011976047904191617
bloque10,100,ols,261,0.5555570056108745,2.7397649574254244,500,0.011976047904191617
bloque10,120,js,241,0.6662891348930032,2.4589433434493646,500,0.015968063872255488
bloque10,120,ols,241,0.5746924343538415,2.5071180496148733,500,0.013972055888223553
bloque10,150,js,211,0.6588238251513857,2.2057425443971934,500,0.02594810379241517
bloque10,150,ols,211,0.5939078222445846,2.3377620958920695,500,0.029940119760479042
bloque10,exp,js,261,0.6805458095649046,1.9889016979035579,500,0.05788423153692615
bloque10,exp,ols,261,0.6973259024080446,2.288080465961822,500,0.0499001996007984
bloque20,60,js,261,0.6927574944898637,2.5125346824731802,500,0.003992015968063872
bloque20,60,ols,261,0.6025722286956209,3.189364303051823,500,0.001996007984031936
bloque20,80,js,261,0.6655304938966755,2.816818883167966,500,0.001996007984031936
bloque20,80,ols,261,0.587985974058058,3.1608410053202407,500,0.001996007984031936
bloque20,100,js,261,0.6296194941372358,2.5851727587714723,500,0.001996007984031936
bloque20,100,ols,261,0.5555570056108745,2.7397649574254244,500,0.001996007984031936
bloque20,120,js,241,0.6662891348930032,2.4589433434493646,500,0.005988023952095809
bloque20,120,ols,241,0.5746924343538415,2.5071180496148733,500,0.003992015968063872
bloque20,150,js,211,0.6588238251513857,2.2057425443971934,500,0.003992015968063872
bloque20,150,ols,211,0.5939078222445846,2.3377620958920695,500,0.005988023952095809
bloque20,exp,js,261,0.6805458095649046,1.9889016979035579,500,0.011976047904191617
bloque20,exp,ols,261,0.6973259024080446,2.288080465961822,500,0.013972055888223553
bloque40,60,js,261,0.6927574944898637,2.5125346824731802,500,0.005988023952095809
bloque40,60,ols,261,0.6025722286956209,3.189364303051823,500,0.001996007984031936
bloque40,80,js,261,0.6655304938966755,2.816818883167966,500,0.003992015968063872
bloque40,80,ols,261,0.587985974058058,3.1608410053202407,500,0.001996007984031936
bloque40,100,js,261,0.6296194941372358,2.5851727587714723,500,0.003992015968063872
bloque40,100,ols,261,0.5555570056108745,2.7397649574254244,500,0.001996007984031936
bloque40,120,js,241,0.6662891348930032,2.4589433434493646,500,0.003992015968063872
bloque40,120,ols,241,0.5746924343538415,2.5071180496148733,500,0.003992015968063872
bloque40,150,js,211,0.6588238251513857,2.2057425443971934,500,0.003992015968063872
bloque40,150,ols,211,0.5939078222445846,2.3377620958920695,500,0.007984031936127744
bloque40,exp,js,261,0.6805458095649046,1.9889016979035579,500,0.011976047904191617
bloque40,exp,ols,261,0.6973259024080446,2.288080465961822,500,0.005988023952095809
circular,60,js,261,0.6927574944898637,2.5125346824731802,331,0.012048192771084338
circular,60,ols,261,0.6025722286956209,3.189364303051823,331,0.0030120481927710845
circular,80,js,261,0.6655304938966755,2.816818883167966,331,0.006024096385542169
circular,80,ols,261,0.587985974058058,3.1608410053202407,331,0.0030120481927710845
circular,100,js,261,0.6296194941372358,2.5851727587714723,331,0.006024096385542169
circular,100,ols,261,0.5555570056108745,2.7397649574254244,331,0.006024096385542169
circular,120,js,241,0.6662891348930032,2.4589433434493646,331,0.006024096385542169
circular,120,ols,241,0.5746924343538415,2.5071180496148733,331,0.009036144578313253
circular,150,js,211,0.6588238251513857,2.2057425443971934,331,0.009036144578313253
circular,150,ols,211,0.5939078222445846,2.3377620958920695,331,0.009036144578313253
circular,exp,js,261,0.6805458095649046,1.9889016979035579,331,0.02710843373493976
circular,exp,ols,261,0.6973259024080446,2.288080465961822,331,0.018072289156626505
signo20,60,js,261,0.6927574944898637,2.5125346824731802,500,0.003992015968063872
signo20,60,ols,261,0.6025722286956209,3.189364303051823,500,0.001996007984031936
signo20,80,js,261,0.6655304938966755,2.816818883167966,500,0.001996007984031936
signo20,80,ols,261,0.587985974058058,3.1608410053202407,500,0.001996007984031936
signo20,100,js,261,0.6296194941372358,2.5851727587714723,500,0.005988023952095809
signo20,100,ols,261,0.5555570056108745,2.7397649574254244,500,0.001996007984031936
signo20,120,js,241,0.6662891348930032,2.4589433434493646,500,0.003992015968063872
signo20,120,ols,241,0.5746924343538415,2.5071180496148733,500,0.003992015968063872
signo20,150,js,211,0.6588238251513857,2.2057425443971934,500,0.005988023952095809
signo20,150,ols,211,0.5939078222445846,2.3377620958920695,500,0.011976047904191617
signo20,exp,js,261,0.6805458095649046,1.9889016979035579,500,0.021956087824351298
signo20,exp,ols,261,0.6973259024080446,2.288080465961822,500,0.011976047904191617
